z1,max_up,min_up,max_do,min_do,max_st,min_st,max_sea,min_sea,ctr_up,ctr_do,ctr_st,ctr_sea,up_bnd,do_bnd,st_bnd,sea_bnd,zlc
0.25,0.00893417136870825,0.005849077929225848,-0.005038539749960748,-0.012161338156597607,-0.00010035633796360632,-0.0007983097025035536,-0.0033456736951557736,-0.005757040487939067,0.007397811451658343,-0.008611960334989913,-0.00034162646992207644,-0.004571340542707154,0.04940319941117857,-0.04015971909678652,-0.038641720849557394,-0.042761476303946486,0.19221956458683565
0.26326530612244897,0.006723100888377082,0.00452255378480284,-0.004006130968243817,-0.009669451035850294,-0.00010770992609175976,-0.0007195609650051697,-0.0025745688601755733,-0.004349710428048414,0.005634718590006819,-0.006847349174045765,-0.000332336917206807,-0.0034624161372179825,0.04081441409587544,-0.031930897111779745,-0.03051244765474612,-0.034376271665268555,0.2105035933065421
0.27653061224489794,0.005280311740879552,0.0035740197717738205,-0.003342342022496045,-0.008067288061168403,-0.00011811215500695258,-0.0006781668563089017,-0.0020089238491778484,-0.0034123678421528344,0.004418253081785921,-0.005712789489043953,-0.0003346484869460757,-0.0027023954625448256,0.034615629424168064,-0.02664016231089022,-0.025638077842893518,-0.028419232675946492,0.22776818172082458
0.28979591836734697,0.004220940995249758,0.002771497166123802,-0.002869713674816916,-0.006926522394178348,-0.0001316370949526432,-0.000660415824205895,-0.0015232091021712539,-0.0027128479991952287,0.003500565436250421,-0.004904964844326961,-0.00034568383764190707,-0.0021326324764164,0.029620934597940487,-0.022873074499363058,-0.022539239196366617,-0.02372975189605796,0.24434084952198415
0.30306122448979594,0.003391073860356559,0.0021293210878584427,-0.0025071236369671344,-0.0060513521501529685,-0.00014855420549208254,-0.0006609616465076246,-0.0011573473467118207,-0.002182271689689795,0.002776938434751277,-0.004285219604875564,-0.0003641358259940474,-0.0016859028812005713,0.025360638418771782,-0.01998304786665587,-0.020511925390065324,-0.019838072742589426,0.26041126392625685
0.3163265306122449,0.002735767578368259,0.0016068287542578268,-0.002212986231662697,-0.00534140350869602,-0.00016917856363927617,-0.0006794746140387474,-0.0008767048098542843,-0.0017509487170103265,0.0021952161623730775,-0.003782474803162249,-0.0003892626025846428,-0.0013285884810275692,0.021633149138774625,-0.017638623458180003,-0.019171257289166903,-0.016530460452545952,0.2761000634462223
0.3295918367346939,0.002195908298050856,0.0012050785504529005,-0.001964253123926746,-0.004741045551027453,-0.00019379156962128803,-0.0007078456933027985,-0.0006518030843072599,-0.0013968193097399488,0.0017248429677788036,-0.003357335821607629,-0.00042048756199320917,-0.001040959000597625,0.0183447770099965,-0.01565609434608471,-0.018284191120880512,-0.013696460345259395,0.2914891090832692
0.3428571428571429,0.0017497371774769991,0.0008968405341084133,-0.0017475481344006074,-0.0042179926847937714,-0.00022260271147517881,-0.0007440973201961577,-0.0004789836693841329,-0.0011077913533223214,0.0013452165703059017,-0.0029869398603158573,-0.0004572467530659289,-0.0008097417900226723,0.015447773207457802,-0.013928845591857924,-0.017699304090491263,-0.011270445688377262,0.30663665168002907
0.35612244897959183,0.0013831201553263085,0.0006617440715770438,-0.0015548764316547106,-0.003752948079296997,-0.00025570236474742195,-0.0007864219154522153,-0.0003490148224555292,-0.0008766695712150275,0.0010405996975022458,-0.0026576220134663696,-0.0004988780997569012,-0.0006248698236706732,0.01291079254094628,-0.012393154331263024,-0.01731149692827288,-0.009204763583616812,0.32158568069865695
0.3693877551020408,0.0010916274037324656,0.0004839042415795877,-0.0013812817762883939,-0.0033339490417079324,-0.00029126187654028454,-0.0008330854840333259,-0.00025204688658716145,-0.0006907398010358745,0.0007981630195416363,-0.002360910989921778,-0.000544597041104632,-0.00047820746501765646,0.010708278675341451,-0.011009516820758307,-0.01704506762902911,-0.007459922858576711,0.3363688532987524
