NUP,NDO,NST,NSEA,AST,BUP,BSEA,PP2,MSS2,PP1,MSS1,chi
0.14391770411938634,-0.15453094878496687,-0.13098023347483964,-0.0794223461470804,1.7431213270956187,3.451185335417531,2.144758821960422,1.3426526354130404,0.13590530569028028,1.626239989190861,0.4825296170789623,186.21219865118334
0.14740427576468526,-0.16682725262991682,-0.13851685284916443,-0.08160590144062342,1.8385723418981137,3.435002251017497,2.0927586094011894,1.3470872961699796,0.15596526899173793,1.6241034307147715,0.47947512808186954,182.70913514088764
0.14599983386186663,-0.16296857075074406,-0.13809053577212577,-0.07983308050351759,1.8843167820611457,3.4394893537342934,2.1210222869236306,1.386200693371924,0.15181230223488879,1.6241947246652746,0.48059004474453915,185.92150650059233
0.1470693784872602,-0.15978486068180062,-0.13532535159566386,-0.07944571371278987,1.839968623682412,3.4426790431971397,2.1051190334159937,1.3518683866083643,0.15123661277654507,1.623316200212304,0.4806254672683804,183.72374240128084
0.14824774834404778,-0.16300955913051443,-0.14002234524570328,-0.0811686491290893,1.9703825104334192,3.439382883943169,2.101579905337695,1.3581475297882397,0.14525551402299783,1.618558503558027,0.48029244420843625,184.18080312629274
0.15448772744375855,-0.16456538940158677,-0.14008443404377424,-0.08178625677893876,1.97800465466018,3.4382333921235433,2.0782637733671363,1.3253420491726384,0.14763850247361088,1.622941808367122,0.479902656699682,190.3230108019534
0.14778407156048345,-0.1626620552734251,-0.13297667833257484,-0.07867707433935547,1.8538702644006866,3.4390584097525476,2.1087844228006136,1.345977004386067,0.1440013784872741,1.6234378953373927,0.4799847768484464,183.83913163883477
0.14959145015142294,-0.16508723023381403,-0.14351822365280806,-0.08369844932114019,1.9071654476577533,3.4374654759066217,2.103456892372822,1.3441233308952878,0.14888555037042595,1.625284089664037,0.4807233985966407,182.2929159354424
0.1503657778238061,-0.17955739528683096,-0.13309868432382932,-0.08394507913593051,1.9505065009671994,3.4275642006045923,2.079683601794656,1.3393581442623899,0.14977917371803903,1.6206374413130487,0.4777322348430609,189.27559472795005
0.14973092077747338,-0.17164966386208996,-0.13455263003213075,-0.08260639666997892,1.761526635686016,3.435219488758271,2.0999500729635816,1.3393743577076371,0.151589380231426,1.6210636139820604,0.4792701427199402,182.92895176369163
