,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,had1,had2,z1,z2,conv,reference,mins,maxx,valid_min,valid_max
142,142,142,142,310.0,105.0,0.45,0.294,-0.03212107409412733,0.007938777353969051,-0.037474649370143776,-0.015158958827823631,True,True
143,143,143,143,310.0,105.0,0.45,0.3670000000000001,-0.04045415507333172,0.01256335599431045,-0.047342946682284164,-0.019665564931600116,True,True
144,144,144,144,310.0,105.0,0.45,0.439,-0.04744030992191662,0.01782016069611016,-0.05562518136367713,-0.02373437872406038,True,True
145,145,145,145,310.0,105.0,0.45,0.511,-0.05415705642879263,0.023533164450475253,-0.06372212866242853,-0.027711271179640937,True,True
146,146,146,146,310.0,105.0,0.45,0.583,-0.06129574601349778,0.02947614695209455,-0.07265939143203186,-0.03196195081486965,True,True
147,147,147,147,310.0,105.0,0.45,0.6559999999999999,-0.06924496904242024,0.03544973505158671,-0.08291020497201622,-0.03675977047445385,True,True
148,148,148,148,310.0,105.0,0.45,0.728,-0.07812624893845528,0.041305214452426894,-0.09444832114779808,-0.04215675495887464,True,True
149,149,149,149,310.0,105.0,0.45,0.8,-0.08692149529051729,0.047005379166905815,-0.10591330360340664,-0.047531391608687794,True,True
150,150,150,150,310.0,105.0,0.6,0.15,-0.012715643591705407,-0.011082853420528477,-0.014986819765477487,-0.0063997676184926605,True,True
151,151,151,151,310.0,105.0,0.6,0.222,-0.024205123673824654,-0.013792137966952066,-0.028429689487535038,-0.012779551812653831,True,True
152,152,152,152,310.0,105.0,0.6,0.294,-0.03378100639173976,-0.01590941690236955,-0.039547106049759084,-0.0185399623880824,True,True
153,153,153,153,310.0,105.0,0.6,0.3670000000000001,-0.04092249257119844,-0.017500873370813734,-0.04775263830425217,-0.023250637943386908,True,True
154,154,154,154,310.0,105.0,0.6,0.439,-0.04634022762376156,-0.01856712633402499,-0.053883191333989014,-0.027385873464173212,True,True
155,155,155,155,310.0,105.0,0.6,0.511,-0.05129618078097768,-0.019006969876985403,-0.05938550687299762,-0.031690370264201496,True,True
156,156,156,156,310.0,105.0,0.6,0.583,-0.05628878576942326,-0.018758138344005453,-0.0660211748640732,-0.03666181446825347,True,True
157,157,157,157,310.0,105.0,0.6,0.6559999999999999,-0.061883128255699416,-0.01767763619959429,-0.07388128595359894,-0.04291674389829926,True,True
158,158,158,158,310.0,105.0,0.6,0.728,-0.06916316938059873,-0.015692722565288822,-0.08443058277412388,-0.0499224097363392,True,True
159,159,159,159,310.0,105.0,0.6,0.8,-0.07739680654764018,-0.01281722911448816,-0.09662813457191498,-0.056072742900403205,True,True
