,Unnamed: 0,Unnamed: 0.1,had1,had2,z1,z2,mins,maxx,fit_line,conv,valid_min,valid_max,reference
0,0,0,300.0,200.0,0.25,0.15,-0.013253838518680823,0.0035326200357211498,,-0.010766465843826132,True,True,-0.016370201421845296
1,1,1,300.0,200.0,0.25,0.222,-0.027522103190715165,0.011188272790744429,,-0.023279191063894044,True,True,-0.023591955866295627
2,2,2,300.0,200.0,0.25,0.294,-0.04302968089036068,0.02115351836395624,,-0.035371548736102154,True,True,-0.0303207181694304
3,3,3,300.0,200.0,0.25,0.3670000000000001,-0.0560129365356397,0.031068113949577383,,-0.045260336044371005,True,True,-0.03625491958121728
4,4,4,300.0,200.0,0.25,0.439,-0.06629079976303419,0.03993143463971673,,-0.0529820917240666,True,True,-0.04137736193843507
5,5,5,300.0,200.0,0.25,0.511,-0.07457272230045965,0.04759192369149906,,-0.05918996041329756,True,True,-0.045882725935758886
6,6,6,300.0,200.0,0.25,0.583,-0.08132104032400181,0.053974893828326584,,-0.06423184074139954,True,True,-0.04976365979265948
7,7,7,300.0,200.0,0.25,0.6559999999999999,-0.08709105755380528,0.059258438200177885,,-0.06842069405444452,True,True,-0.05314133733961365
8,8,8,300.0,200.0,0.25,0.728,-0.09236494481914798,0.06381916270426219,,-0.07217095749360697,True,True,-0.056045800985529096
9,9,9,300.0,200.0,0.25,0.8,-0.0968533493590338,0.06763228296198237,,-0.07545629601967087,True,True,-0.05854314514286243
10,10,10,300.0,200.0,0.35,0.15,-0.009491166007506152,-0.002601393237728818,,-0.007437040928287167,True,True,-0.0606710404951073
11,11,11,300.0,200.0,0.35,0.222,-0.019445649151596044,-0.005320695761217198,,-0.015650772608340833,True,True,-0.06256815977614291
12,12,12,300.0,200.0,0.35,0.294,-0.028073624631526455,-0.0071080015614950285,,-0.02293149812148858,True,True,-0.0642736064072362
13,13,13,300.0,200.0,0.35,0.3670000000000001,-0.0344915358362091,-0.006910384783535748,,-0.028432613585520364,True,True,-0.06584849042847528
14,14,14,300.0,200.0,0.35,0.439,-0.03896106327890781,-0.005515516514491706,,-0.03242192780531078,True,True,-0.06734641053866465
15,15,15,300.0,200.0,0.35,0.511,-0.04235599266025396,-0.004060904004364206,,-0.035459572714431835,True,True,-0.011634783177934623
16,16,16,300.0,200.0,0.35,0.583,-0.04572042663667226,-0.002708625286705689,,-0.037871042407754484,True,True,-0.016093472098554443
17,17,17,300.0,200.0,0.35,0.6559999999999999,-0.04849383975446507,-0.0016424023263302003,,-0.03985841215469873,True,True,-0.020384516694294988
18,18,18,300.0,200.0,0.35,0.728,-0.05092970762684387,-0.0008305892378392307,,-0.04161775326091372,True,True,-0.0243877768396603
19,19,19,300.0,200.0,0.35,0.8,-0.05298671796565427,-0.0002619351942111695,,-0.04312380519338533,True,True,-0.028045917270782955
20,20,20,300.0,200.0,0.45,0.15,-0.013128171011991367,-0.006737250385566541,,-0.009878543184652169,True,True,-0.03137557380712793
21,21,21,300.0,200.0,0.45,0.222,-0.025777405906674662,-0.013218358866663484,,-0.019408038634558544,True,True,-0.034362916746691126
22,22,22,300.0,200.0,0.45,0.294,-0.035720986559338336,-0.01845916982812991,,-0.02696999102052048,True,True,-0.037038603358837935
23,23,23,300.0,200.0,0.45,0.3670000000000001,-0.04227659775863514,-0.022134064037329666,,-0.03206185924562641,True,True,-0.03941144376077922
24,24,24,300.0,200.0,0.45,0.439,-0.046352802639253336,-0.02465710330328279,,-0.03534039951628083,True,True,-0.0415088078067074
25,25,25,300.0,200.0,0.45,0.511,-0.049053778569299336,-0.026503580885364725,,-0.03759770356947744,True,True,-0.043346253057858684
26,26,26,300.0,200.0,0.45,0.583,-0.05102776592925349,-0.0277762735574358,,-0.03928852956374925,True,True,-0.04498652820709224
27,27,27,300.0,200.0,0.45,0.6559999999999999,-0.052694916981810315,-0.02866440109076445,,-0.040693864218476566,True,True,-0.04645039588378788
28,28,28,300.0,200.0,0.45,0.728,-0.05409853619302772,-0.02935449590622932,,-0.0418416324497101,True,True,-0.04777066704061672
