,Unnamed: 0,Unnamed: 0.1,had1,had2,z1,z2,mins,maxx,fit_line,conv,valid_min,valid_max,reference
42,42,42,300.0,105.0,0.25,0.294,-0.023199144757649063,0.03521745720536121,,0.009593273050436715,True,True,-0.10000578540084057
43,43,43,300.0,105.0,0.25,0.3670000000000001,-0.024906540074463357,0.046833382302115,,0.017438673690240446,True,True,-0.10950555581267918
44,44,44,300.0,105.0,0.25,0.439,-0.024569848386785654,0.057037807126913996,,0.0257307712016771,True,True,-0.11922656031212556
45,45,45,300.0,105.0,0.25,0.511,-0.022743507692830275,0.06704435715172202,,0.03510080724391309,True,True,-0.016249417204488616
46,46,46,300.0,105.0,0.25,0.583,-0.019675626048213667,0.07770432825564033,,0.04605329972007845,True,True,-0.02215100856641325
47,47,47,300.0,105.0,0.25,0.6559999999999999,-0.01577782706756505,0.08902724116059083,,0.058269606130980325,True,True,-0.028033113601810468
48,48,48,300.0,105.0,0.25,0.728,-0.011208165930648207,0.10415314736575892,,0.07178542190901525,True,True,-0.03385693072930972
49,49,49,300.0,105.0,0.25,0.8,-0.006984669947007428,0.11895582544995226,,0.0842228975382931,True,True,-0.03961095372402467
50,50,50,300.0,105.0,0.35,0.15,-0.006151143560875617,0.0009606322099613522,,-0.004175393792699647,True,True,-0.045334577543061264
51,51,51,300.0,105.0,0.35,0.222,-0.011016850641434995,0.0027606132379715664,,-0.005362827117178961,True,True,-0.051074732254275605
52,52,52,300.0,105.0,0.35,0.294,-0.014061310627915834,0.004873001774834368,,-0.004437016268379358,True,True,-0.05694487523018218
53,53,53,300.0,105.0,0.35,0.3670000000000001,-0.015391109954743045,0.009120648012055404,,-0.0017095640479111494,True,True,-0.06307238058606048
54,54,54,300.0,105.0,0.35,0.439,-0.015453525513843436,0.01402099700629814,,0.0016098885332830894,True,True,-0.0696135337821667
55,55,55,300.0,105.0,0.35,0.511,-0.014572962241050251,0.019625171843263338,,0.005909281235345156,True,True,-0.07676150535143995
56,56,56,300.0,105.0,0.35,0.583,-0.012887538225063432,0.02702260510341105,,0.01130517686886075,True,True,-0.084713706637551
57,57,57,300.0,105.0,0.35,0.6559999999999999,-0.010616185888576114,0.03542503788084518,,0.01756545798969853,True,True,-0.09375424184575974
58,58,58,300.0,105.0,0.35,0.728,-0.007863167668529852,0.04487033246665451,,0.02463798289622905,True,True,-0.10425066924634452
59,59,59,300.0,105.0,0.35,0.8,-0.005260561068171638,0.053625842618603786,,0.03121170147383685,True,True,-0.11685362972963755
60,60,60,300.0,105.0,0.45,0.15,-0.009105315170628481,-0.002809369439397795,,-0.007924527045432223,True,True,-0.002372964565989944
61,61,61,300.0,105.0,0.45,0.222,-0.015642479892309713,-0.0047152462330140345,,-0.013622717199281124,True,True,0.0020075232298218627
62,62,62,300.0,105.0,0.45,0.294,-0.019647185740853983,-0.005632209788790546,,-0.016970148843020557,True,True,0.0072919379668291906
63,63,63,300.0,105.0,0.45,0.3670000000000001,-0.021578728309850956,-0.0056973543745108225,,-0.01823840445883633,True,True,0.012785143424857473
64,64,64,300.0,105.0,0.45,0.439,-0.021848635123465618,-0.005134615951917167,,-0.017943823252969792,True,True,0.018327753320457413
65,65,65,300.0,105.0,0.45,0.511,-0.020795925327526776,-0.003993588803724092,,-0.01636122135959129,True,True,0.024208048764992243
66,66,66,300.0,105.0,0.45,0.583,-0.018744824982947238,-0.0022239782514194,,-0.01355529047355442,True,True,0.03054548743609193
67,67,67,300.0,105.0,0.45,0.6559999999999999,-0.016461979599560375,0.0005137412470231045,,-0.009674278717755157,True,True,0.03764018735987708
68,68,68,300.0,105.0,0.45,0.728,-0.01333849930473723,0.007476853917846349,,-0.004724835505043439,True,True,0.04552796100586458
69,69,69,300.0,105.0,0.45,0.8,-0.0101498514045438,0.014543834520329283,,0.00023706592433559042,True,True,0.0540557632869404
70,70,70,300.0,105.0,0.6,0.15,-0.013526343458597398,-0.007413284104537625,,-0.011802476081244209,True,True,0.06298107831171589
71,71,71,300.0,105.0,0.6,0.222,-0.024566626335732908,-0.013488687990952765,,-0.02144246512247544,True,True,0.07198151062589403
72,72,72,300.0,105.0,0.6,0.294,-0.03273218535006683,-0.0179764310222714,,-0.028577332404174663,True,True,0.080796903181521
73,73,73,300.0,105.0,0.6,0.3670000000000001,-0.03783411993905742,-0.02074736828194166,,-0.03304022670711209,True,True,0.08924812356815197
74,74,74,300.0,105.0,0.6,0.439,-0.040624263214908425,-0.022199643657397454,,-0.0354865121330997,True,True,0.09734431711984508
75,75,75,300.0,105.0,0.6,0.511,-0.04193405351964165,-0.02279988456967828,,-0.036642586283535804,True,True,-0.0060817021593063715
76,76,76,300.0,105.0,0.6,0.583,-0.04184345264881656,-0.022444204977424078,,-0.036482898552261236,True,True,-0.005978325063309704
77,77,77,300.0,105.0,0.6,0.6559999999999999,-0.04029631044107538,-0.021133582504320264,,-0.034981142948114795,True,True,-0.005064853762878098
78,78,78,300.0,105.0,0.6,0.728,-0.037076605647642334,-0.018622552838817814,,-0.031943256267808015,True,True,-0.003581934994692537
79,79,79,300.0,105.0,0.6,0.8,-0.03261990091019936,-0.015199412438082077,,-0.027765130761846283,True,True,-0.0016209754451922665
80,80,80,310.0,100.0,0.25,0.15,-0.010665067159807947,0.00906583520666537,,-0.0016960171968606838,True,True,0.0009169573936334672
81,81,81,310.0,100.0,0.25,0.222,-0.018583550922960986,0.021928175725274012,,0.0025180521930663192,True,True,0.004058307985806839
82,82,82,310.0,100.0,0.25,0.294,-0.023199144757649063,0.03521745720536121,,0.009593273050436715,True,True,0.007938777353969051
83,83,83,310.0,100.0,0.25,0.3670000000000001,-0.024906540074463357,0.046833382302115,,0.017438673690240446,True,True,0.01256335599431045
84,84,84,310.0,100.0,0.25,0.439,-0.024569848386785654,0.057037807126913996,,0.0257307712016771,True,True,0.01782016069611016
85,85,85,310.0,100.0,0.25,0.511,-0.022743507692830275,0.06704435715172202,,0.03510080724391309,True,True,0.023533164450475253
86,86,86,310.0,100.0,0.25,0.583,-0.019675626048213667,0.07770432825564033,,0.04605329972007845,True,True,0.02947614695209455
87,87,87,310.0,100.0,0.25,0.6559999999999999,-0.01577782706756505,0.08902724116059083,,0.058269606130980325,True,True,0.03544973505158671
88,88,88,310.0,100.0,0.25,0.728,-0.011208165930648207,0.10415314736575892,,0.07178542190901525,True,True,0.041305214452426894
89,89,89,310.0,100.0,0.25,0.8,-0.006984669947007428,0.11895582544995226,,0.0842228975382931,True,True,0.047005379166905815
90,90,90,310.0,100.0,0.35,0.15,-0.006151143560875617,0.0009606322099613522,,-0.004175393792699647,True,True,-0.011082853420528477
91,91,91,310.0,100.0,0.35,0.222,-0.011016850641434995,0.0027606132379715664,,-0.005362827117178961,True,True,-0.013792137966952066
92,92,92,310.0,100.0,0.35,0.294,-0.014061310627915834,0.004873001774834368,,-0.004437016268379358,True,True,-0.01590941690236955
93,93,93,310.0,100.0,0.35,0.3670000000000001,-0.015391109954743045,0.009120648012055404,,-0.0017095640479111494,True,True,-0.017500873370813734
94,94,94,310.0,100.0,0.35,0.439,-0.015453525513843436,0.01402099700629814,,0.0016098885332830894,True,True,-0.01856712633402499
95,95,95,310.0,100.0,0.35,0.511,-0.014572962241050251,0.019625171843263338,,0.005909281235345156,True,True,-0.019006969876985403
96,96,96,310.0,100.0,0.35,0.583,-0.012887538225063432,0.02702260510341105,,0.01130517686886075,True,True,-0.018758138344005453
97,97,97,310.0,100.0,0.35,0.6559999999999999,-0.010616185888576114,0.03542503788084518,,0.01756545798969853,True,True,-0.01767763619959429
98,98,98,310.0,100.0,0.35,0.728,-0.007863167668529852,0.04487033246665451,,0.02463798289622905,True,True,-0.015692722565288822
99,99,99,310.0,100.0,0.35,0.8,-0.005260561068171638,0.053625842618603786,,0.03121170147383685,True,True,-0.01281722911448816
100,100,100,310.0,100.0,0.45,0.15,-0.009105315170628481,-0.002809369439397795,,-0.007924527045432223,True,True,-0.009132356850495722
101,101,101,310.0,100.0,0.45,0.222,-0.015642479892309713,-0.0047152462330140345,,-0.013622717199281124,True,True,-0.004781818315197975
102,102,102,310.0,100.0,0.45,0.294,-0.019647185740853983,-0.005632209788790546,,-0.016970148843020557,True,True,7.389487617446989e-05
103,103,103,310.0,100.0,0.45,0.3670000000000001,-0.021578728309850956,-0.0056973543745108225,,-0.01823840445883633,True,True,0.005282325270733503
104,104,104,310.0,100.0,0.45,0.439,-0.021848635123465618,-0.005134615951917167,,-0.017943823252969792,True,True,0.010760975036172007
105,105,105,310.0,100.0,0.45,0.511,-0.020795925327526776,-0.003993588803724092,,-0.01636122135959129,True,True,-0.015327227187344222
106,106,106,310.0,100.0,0.45,0.583,-0.018744824982947238,-0.0022239782514194,,-0.01355529047355442,True,True,-0.0203211309339953
107,107,107,310.0,100.0,0.45,0.6559999999999999,-0.016461979599560375,0.0005137412470231045,,-0.009674278717755157,True,True,-0.02501559006181095
108,108,108,310.0,100.0,0.45,0.728,-0.01333849930473723,0.007476853917846349,,-0.004724835505043439,True,True,-0.0293933606906966
109,109,109,310.0,100.0,0.45,0.8,-0.0101498514045438,0.014543834520329283,,0.00023706592433559042,True,True,-0.033416682216860484
110,110,110,310.0,100.0,0.6,0.15,-0.013526343458597398,-0.007413284104537625,,-0.011802476081244209,True,True,-0.037003702214582115
111,111,111,310.0,100.0,0.6,0.222,-0.024566626335732908,-0.013488687990952765,,-0.02144246512247544,True,True,-0.04007524196876136
