,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,had1,had2,z1,z2,conv,reference,mins,maxx,valid_min,valid_max
19,19,19,19,300.0,200.0,0.35,0.8,-0.04312380519338533,-0.028045917270782955,-0.0549586413328433,0.0006415994373818424,True,True
20,20,20,20,300.0,200.0,0.45,0.15,-0.009878543184652169,-0.03137557380712793,-0.013128171011991369,-0.005306882396051079,True,True
21,21,21,21,300.0,200.0,0.45,0.222,-0.019408038634558544,-0.034362916746691126,-0.025777405906674662,-0.010355084941145771,True,True
22,22,22,22,300.0,200.0,0.45,0.294,-0.02696999102052048,-0.037038603358837935,-0.035720986559338336,-0.014306580547837853,True,True
23,23,23,23,300.0,200.0,0.45,0.3670000000000001,-0.03206185924562641,-0.03941144376077922,-0.04227659775863514,-0.016937685807838526,True,True
24,24,24,24,300.0,200.0,0.45,0.439,-0.03534039951628083,-0.0415088078067074,-0.046352802639253336,-0.01862720358779501,True,True
25,25,25,25,300.0,200.0,0.45,0.511,-0.03759770356947744,-0.043346253057858684,-0.049053778569299336,-0.019821035040442792,True,True
26,26,26,26,300.0,200.0,0.45,0.583,-0.03928852956374925,-0.04498652820709224,-0.05102776592925349,-0.02072919664280797,True,True
27,27,27,27,300.0,200.0,0.45,0.6559999999999999,-0.040693864218476566,-0.04645039588378788,-0.053078032409178084,-0.021481535735560286,True,True
28,28,28,28,300.0,200.0,0.45,0.728,-0.0418416324497101,-0.04777066704061672,-0.054850606279505165,-0.022077231679184302,True,True
29,29,29,29,300.0,200.0,0.45,0.8,-0.042844980533728885,-0.04897861343517798,-0.056427147766016435,-0.022594787053867183,True,True
30,30,30,30,300.0,200.0,0.6,0.15,-0.016678038198158683,-0.0145053790581364,-0.02016925032124854,-0.0061324839187975565,True,True
31,31,31,31,300.0,200.0,0.6,0.222,-0.0322042286164426,-0.01947096734455649,-0.03898973964772338,-0.01184157071842414,True,True
32,32,32,32,300.0,200.0,0.6,0.294,-0.04444084143925512,-0.024168754837821344,-0.053833704537327866,-0.016316069994172552,True,True
33,33,33,33,300.0,200.0,0.6,0.3670000000000001,-0.05258381969294418,-0.02855388556061253,-0.06371353754495529,-0.019352936977150192,True,True
