had1,had2,z1,z2,fit_line,conv,ffs1,ffs2,ffs3,ffs4
300.0,100.0,0.25,0.15,-0.019968527147016284,-0.01218793828125083,0.023819162935745257,-0.03351597522661299,-0.00041994355519918945,-0.0020701406902917468
300.0,100.0,0.25,0.20357142857142854,-0.02935963866816464,-0.021330940670113638,0.03420202012994657,-0.0521091246819174,-0.0005824640933236167,-0.0028712968809610044
300.0,100.0,0.25,0.2571428571428571,-0.03831414191305173,-0.03090186746815497,0.04219955985874604,-0.06900479820483309,-0.000693609648950353,-0.003419196555570504
300.0,100.0,0.25,0.3107142857142857,-0.04650992977528313,-0.04017309991023784,0.04811767582078654,-0.08378332395231337,-0.0007634826483227577,-0.0037636403203639267
300.0,100.0,0.25,0.3642857142857143,-0.05407423108234154,-0.049307735288565524,0.05274160015112018,-0.09727343362412719,-0.0008068454238345746,-0.003977400110029992
300.0,100.0,0.25,0.4178571428571428,-0.06151221520391836,-0.058995520373560505,0.05654523743352156,-0.11063824723199468,-0.0008293021016095857,-0.004088101850431207
300.0,100.0,0.25,0.4714285714285714,-0.06909412291195881,-0.06976706694594231,0.059818517703879574,-0.1246437374119613,-0.000835559250400549,-0.004118946896526119
300.0,100.0,0.25,0.525,-0.07723234677733254,-0.08216693006820391,0.06248942128307972,-0.13979312386683143,-0.0008220635995281193,-0.004052419155673574
300.0,100.0,0.25,0.5785714285714285,-0.08602088791467223,-0.0963749584937912,0.06433329534324879,-0.1560408638466649,-0.0007858038528173478,-0.003873674235894926
300.0,100.0,0.25,0.6321428571428571,-0.09538932199559194,-0.1120882903709389,0.06516439484942514,-0.17297852713790704,-0.0007258076345786764,-0.0035779187442298963
300.0,100.0,0.25,0.6857142857142857,-0.10517299614238787,-0.12873155666811792,0.06489007793930135,-0.1898378817844014,-0.000644588861435943,-0.0031775452058894877
300.0,100.0,0.25,0.7392857142857143,-0.11502301158409378,-0.1455353997963946,0.06357670637164034,-0.20591808866444838,-0.0005465905207483577,-0.0026944556331915206
300.0,100.0,0.25,0.7928571428571428,-0.12469422697235448,-0.1619489032641053,0.0614972039360657,-0.22084447902408066,-0.00043937447227810174,-0.0021659267348606687
300.0,100.0,0.25,0.8464285714285714,-0.13398890199461838,-0.1778592872467999,0.05893222885475834,-0.23482426445496815,-0.00032870990356301694,-0.001620398118373101
300.0,100.0,0.25,0.9,-0.14294565483522,-0.194159552401288,0.05619880725552972,-0.24903875799657937,-0.00021883009465377756,-0.001078738029419945
