had1,had2,z1,z2,fit_line,conv,ffs1,ffs2,ffs3,ffs4
300.0,200.0,0.25,0.15,-0.016370201421845296,-0.009729741910565897,0.004967130274529255,-0.0017793512855000311,-0.004742719791738802,-0.008171802068505162
300.0,200.0,0.25,0.20357142857142854,-0.023591955866295627,-0.017435057348449544,0.0061987227033175885,-0.002218029449953417,-0.007888285101065474,-0.0135259955048539
300.0,200.0,0.25,0.2571428571428571,-0.0303207181694304,-0.02521755256571317,0.0066448258384494835,-0.0023737888374742114,-0.010576996803908178,-0.018926034289853216
300.0,200.0,0.25,0.3107142857142857,-0.03625491958121728,-0.03245942067134648,0.006722935705446933,-0.002399821110233145,-0.012660455044384296,-0.024109464293225333
300.0,200.0,0.25,0.3642857142857143,-0.04137736193843507,-0.03957240350912633,0.006809506291784132,-0.002429873407123675,-0.014418988525559479,-0.0295478053862118
300.0,200.0,0.25,0.4178571428571428,-0.045882725935758886,-0.04736233517781141,0.007024885279473704,-0.002504173964003281,-0.01613166213259527,-0.03576164070222718
300.0,200.0,0.25,0.4714285714285714,-0.04976365979265948,-0.05668898931949535,0.007401961282177382,-0.002637938252729481,-0.0181692189934863,-0.04331189998717014
300.0,200.0,0.25,0.525,-0.05314133733961365,-0.06799311970749908,0.007839101260739657,-0.002790807057542032,-0.020681355306658898,-0.05237525971464113
300.0,200.0,0.25,0.5785714285714285,-0.056045800985529096,-0.08130635784205795,0.008201890049620407,-0.002919322468155415,-0.02371716126137893,-0.06289973093655704
300.0,200.0,0.25,0.6321428571428571,-0.05854314514286243,-0.09617606248593183,0.008354632658917142,-0.0029710745351876756,-0.027173136573005942,-0.07442746250859779
300.0,200.0,0.25,0.6857142857142857,-0.0606710404951073,-0.1116566310161023,0.008172969424744792,-0.00290297636103836,-0.030811373356397286,-0.08616327079732176
300.0,200.0,0.25,0.7392857142857143,-0.06256815977614291,-0.12660210036193104,0.007587831997545691,-0.0026881881880058763,-0.03434241985852743,-0.0972118049322078
300.0,200.0,0.25,0.7928571428571428,-0.0642736064072362,-0.14017221764161436,0.006535722180002963,-0.0023222376829303074,-0.03750854980655466,-0.10689118801701565
300.0,200.0,0.25,0.8464285714285714,-0.06584849042847528,-0.1518979385680309,0.005158883549606032,-0.0018237897822920269,-0.040186442650371974,-0.11505281941728512
300.0,200.0,0.25,0.9,-0.06734641053866465,-0.16227700899161995,0.0034815882803106565,-0.0012272907488876685,-0.042485639472278534,-0.12197247816109513
300.0,200.0,0.35,0.15,-0.011634783177934623,-0.007505609962910143,0.0014785309525939005,-0.0009177544721703471,-0.005138225782928273,-0.002928265030945305
300.0,200.0,0.35,0.20357142857142854,-0.016093472098554443,-0.013692384791360727,0.002009381418485809,-0.0012437983167125509,-0.009242615878803121,-0.005219399850171787
300.0,200.0,0.35,0.2571428571428571,-0.020384516694294988,-0.019764777745248253,0.002261171460590864,-0.0013987841914088485,-0.013015507826817208,-0.0076179056785297536
300.0,200.0,0.35,0.3107142857142857,-0.0243877768396603,-0.025224698258220813,0.0023630093031865814,-0.0014611688152983819,-0.016131985319156977,-0.010005805807439854
300.0,200.0,0.35,0.3642857142857143,-0.028045917270782955,-0.03042190471948632,0.0024507318484740374,-0.0015149391008228122,-0.01884351083734251,-0.01252959555940517
300.0,200.0,0.35,0.4178571428571428,-0.03137557380712793,-0.0359364654506898,0.002577559877487302,-0.0015937336672011073,-0.021506793373942217,-0.01543400902184368
300.0,200.0,0.35,0.4714285714285714,-0.034362916746691126,-0.04252110421838652,0.002762853518921337,-0.001708614188354215,-0.024634164542943274,-0.018970018682201144
300.0,200.0,0.35,0.525,-0.037038603358837935,-0.050533984082555876,0.002972531571027971,-0.001837032205605079,-0.02845775188240239,-0.023251989169338783
300.0,200.0,0.35,0.5785714285714285,-0.03941144376077922,-0.06008960133218594,0.003157808538707907,-0.0019505988108618512,-0.0330718956627424,-0.0282732432728585
300.0,200.0,0.35,0.6321428571428571,-0.0415088078067074,-0.07087602864579816,0.0032613206005410993,-0.002013899970759202,-0.038354640126861086,-0.03381102222228684
300.0,200.0,0.35,0.6857142857142857,-0.043346253057858684,-0.08219912351501478,0.0032327140022867713,-0.00199365759071331,-0.04396647443012558,-0.039492088278882835
