had1,z1,pt,conv
300.0,0.25,0.01,-0.006111109701140727
300.0,0.25,0.07263157894736841,-0.041462063333635855
300.0,0.25,0.13526315789473686,-0.06505990321204223
300.0,0.25,0.19789473684210526,-0.07240756064956538
300.0,0.25,0.2605263157894737,-0.06568781024599148
300.0,0.25,0.3231578947368421,-0.05117026645331898
300.0,0.25,0.3857894736842105,-0.03571352751468217
300.0,0.25,0.4484210526315789,-0.022872337770576373
300.0,0.25,0.5110526315789473,-0.013938478709302076
300.0,0.25,0.5736842105263157,-0.0085138461362702
300.0,0.25,0.6363157894736842,-0.005481846697690396
300.0,0.25,0.6989473684210525,-0.0038172418234298814
300.0,0.25,0.7615789473684209,-0.0028517786350041228
300.0,0.25,0.8242105263157894,-0.00222926787855137
300.0,0.25,0.8868421052631578,-0.0017827525270248785
300.0,0.25,0.9494736842105262,-0.0014369363576315999
300.0,0.25,1.0121052631578946,-0.0011561194890075878
300.0,0.25,1.0747368421052628,-0.0009209987699927492
300.0,0.25,1.1373684210526314,-0.0007196705350903085
300.0,0.25,1.2,-0.0005431354003709532
300.0,0.35,0.01,-0.016055830410572937
300.0,0.35,0.07263157894736841,-0.10894054968204968
300.0,0.35,0.13526315789473686,-0.1710590829674914
300.0,0.35,0.19789473684210526,-0.19072111851566734
300.0,0.35,0.2605263157894737,-0.17367067560442295
300.0,0.35,0.3231578947368421,-0.13780511123972156
300.0,0.35,0.3857894736842105,-0.09742043349630006
300.0,0.35,0.4484210526315789,-0.06365314421056287
300.0,0.35,0.5110526315789473,-0.040258532015891905
300.0,0.35,0.5736842105263157,-0.02602289984039759
300.0,0.35,0.6363157894736842,-0.018017855363498283
300.0,0.35,0.6989473684210525,-0.013598507973835425
300.0,0.35,0.7615789473684209,-0.011044768411116705
300.0,0.35,0.8242105263157894,-0.009427644436877974
300.0,0.35,0.8868421052631578,-0.008295550403968137
300.0,0.35,0.9494736842105262,-0.007440981716886257
300.0,0.35,1.0121052631578946,-0.006762972978168065
300.0,0.35,1.0747368421052628,-0.0062073052399430435
300.0,0.35,1.1373684210526314,-0.005740432004215842
300.0,0.35,1.2,-0.005340242029264232
300.0,0.45,0.01,-0.04348245841267376
300.0,0.45,0.07263157894736841,-0.2956443388479968
300.0,0.45,0.13526315789473686,-0.46626881707324636
300.0,0.45,0.19789473684210526,-0.5234670423658444
300.0,0.45,0.2605263157894737,-0.48343928397294483
300.0,0.45,0.3231578947368421,-0.37850384515029123
300.0,0.45,0.3857894736842105,-0.2658160619073846
300.0,0.45,0.4484210526315789,-0.17437380875121813
300.0,0.45,0.5110526315789473,-0.11174172030245075
300.0,0.45,0.5736842105263157,-0.07352576817428012
300.0,0.45,0.6363157894736842,-0.051734511681055355
300.0,0.45,0.6989473684210525,-0.039436509575559685
300.0,0.45,0.7615789473684209,-0.03217355934044992
300.0,0.45,0.8242105263157894,-0.02756831075900269
300.0,0.45,0.8868421052631578,-0.024358924946552906
300.0,0.45,0.9494736842105262,-0.02197277553398003
300.0,0.45,1.0121052631578946,-0.020118258203534287
300.0,0.45,1.0747368421052628,-0.018631990992631676
300.0,0.45,1.1373684210526314,-0.017412767516673346
300.0,0.45,1.2,-0.01639369503498352
300.0,0.6,0.01,-0.08977812831225608
300.0,0.6,0.07263157894736841,-0.6120697750743854
300.0,0.6,0.13526315789473686,-0.970978361780334
300.0,0.6,0.19789473684210526,-1.1054488142218937
300.0,0.6,0.2605263157894737,-1.0376566694680895
300.0,0.6,0.3231578947368421,-0.7979739045338016
300.0,0.6,0.3857894736842105,-0.5533038539798384
300.0,0.6,0.4484210526315789,-0.36289359044576186
300.0,0.6,0.5110526315789473,-0.2345927492325593
300.0,0.6,0.5736842105263157,-0.1561301424945809
300.0,0.6,0.6363157894736842,-0.11081203687031885
300.0,0.6,0.6989473684210525,-0.0846431284911373
300.0,0.6,0.7615789473684209,-0.06873373188842992
300.0,0.6,0.8242105263157894,-0.058589611396099354
300.0,0.6,0.8868421052631578,-0.051525158355715944
300.0,0.6,0.9494736842105262,-0.04627956539130768
300.0,0.6,1.0121052631578946,-0.042230143961895374
300.0,0.6,1.0747368421052628,-0.03901595787276767
300.0,0.6,1.1373684210526314,-0.03640997654686408
300.0,0.6,1.2,-0.0342598306150077
310.0,0.25,0.01,-0.006111109701140727
310.0,0.25,0.07263157894736841,-0.041462063333635855
310.0,0.25,0.13526315789473686,-0.06505990321204223
310.0,0.25,0.19789473684210526,-0.07240756064956538
310.0,0.25,0.2605263157894737,-0.06568781024599148
