had1,had2,z1,z2,mins,maxx,fit_line
300.0,100.0,0.25,0.15,-0.024187513212390214,-0.01583248064013544,-0.019968527147016284
300.0,100.0,0.25,0.20357142857142857,-0.034641406212803885,-0.024035920264950487,-0.02935963866816464
300.0,100.0,0.25,0.2571428571428571,-0.044603915811312664,-0.03193106389964915,-0.038314141913051734
300.0,100.0,0.25,0.3107142857142857,-0.05362148628157359,-0.03916746939555263,-0.04650992977528313
300.0,100.0,0.25,0.36428571428571427,-0.061877438607219136,-0.04575920540125325,-0.05407423108234154
300.0,100.0,0.25,0.4178571428571428,-0.07015597672560943,-0.052025167828997625,-0.061512215203918356
300.0,100.0,0.25,0.4714285714285714,-0.0786542574760176,-0.058439984104623144,-0.06909412291195881
300.0,100.0,0.25,0.525,-0.08776891779149255,-0.0653341325224995,-0.07723234677733254
300.0,100.0,0.25,0.5785714285714285,-0.09760434945643293,-0.07271769173185383,-0.08602088791467223
300.0,100.0,0.25,0.6321428571428571,-0.10808144771380167,-0.08059466351050183,-0.09538932199559194
300.0,100.0,0.25,0.6857142857142857,-0.11924537759390574,-0.08879900850060922,-0.10517299614238788
300.0,100.0,0.25,0.7392857142857143,-0.1305296959612759,-0.09698476976150541,-0.11502301158409378
300.0,100.0,0.25,0.7928571428571428,-0.14174431809341756,-0.10502311627799435,-0.12469422697235447
300.0,100.0,0.25,0.8464285714285714,-0.15253251045293015,-0.11274837046570355,-0.13398890199461838
300.0,100.0,0.25,0.9,-0.16292762769944835,-0.12019399818682573,-0.14294565483522
300.0,100.0,0.35,0.15,-0.015521384900578826,-0.010627864645732251,-0.013058878803091098
300.0,100.0,0.35,0.20357142857142857,-0.022589703783302162,-0.015808623393309112,-0.019214445867661984
300.0,100.0,0.35,0.2571428571428571,-0.029887222036340935,-0.0212196809649269,-0.02562760049103578
300.0,100.0,0.35,0.3107142857142857,-0.03726032286617424,-0.026630958118315996,-0.032049850578855434
300.0,100.0,0.35,0.36428571428571427,-0.0446623961713736,-0.03180781133695567,-0.03840790517031666
300.0,100.0,0.35,0.4178571428571428,-0.052178603227652706,-0.03703286930523098,-0.044859663499602416
300.0,100.0,0.35,0.4714285714285714,-0.05991870050444144,-0.04239103801400765,-0.05150175586951644
300.0,100.0,0.35,0.525,-0.06814748510312878,-0.0479116761801174,-0.05856224765347806
300.0,100.0,0.35,0.5785714285714285,-0.0769498442176287,-0.05366696463873604,-0.06611596322031743
300.0,100.0,0.35,0.6321428571428571,-0.0863604638899425,-0.059761960999324015,-0.07414578282628347
300.0,100.0,0.35,0.6857142857142857,-0.09650512653163314,-0.06613503289557404,-0.08256743752863237
300.0,100.0,0.35,0.7392857142857143,-0.10685739417539364,-0.07260829308433155,-0.09114788053686759
300.0,100.0,0.35,0.7928571428571428,-0.11719875507205453,-0.07904681321329379,-0.09970772497965472
300.0,100.0,0.35,0.8464285714285714,-0.12735420819783258,-0.08512397111609185,-0.10808245397466319
300.0,100.0,0.35,0.9,-0.1376069105257662,-0.09095574458207932,-0.11627271292887313
300.0,100.0,0.45,0.15,-0.01676019607866143,-0.012098520679984225,-0.014521251632870477
300.0,100.0,0.45,0.20357142857142857,-0.023602727168411743,-0.01691316330852017,-0.02043185322177803
300.0,100.0,0.45,0.2571428571428571,-0.030751451032519396,-0.021721340398849966,-0.026502182428578817
300.0,100.0,0.45,0.3107142857142857,-0.03801892107223051,-0.02647985044282197,-0.03261561298457943
