had1,had2,z1,z2,fit_line,conv
300.0,100.0,0.25,0.15,-0.019968527147016284,-0.00802563661679963
300.0,100.0,0.25,0.20357142857142854,-0.02935963866816464,-0.02140320733443866
300.0,100.0,0.25,0.2571428571428571,-0.03831414191305173,-0.03413596011957276
300.0,100.0,0.25,0.3107142857142857,-0.04650992977528313,-0.04544464490836429
300.0,100.0,0.25,0.3642857142857143,-0.05407423108234154,-0.055283577430079583
300.0,100.0,0.25,0.4178571428571428,-0.06151221520391836,-0.0642813154329098
300.0,100.0,0.25,0.4714285714285714,-0.06909412291195881,-0.07295249094732857
300.0,100.0,0.25,0.525,-0.07723234677733254,-0.08189164499399955
300.0,100.0,0.25,0.5785714285714285,-0.08602088791467223,-0.09130144201956215
300.0,100.0,0.25,0.6321428571428571,-0.09538932199559194,-0.10119892255226272
300.0,100.0,0.25,0.6857142857142857,-0.10517299614238787,-0.11143414777859624
300.0,100.0,0.25,0.7392857142857143,-0.11502301158409378,-0.1216412163909735
300.0,100.0,0.25,0.7928571428571428,-0.12469422697235448,-0.13177901815294688
300.0,100.0,0.25,0.8464285714285714,-0.13398890199461838,-0.14153571456665914
300.0,100.0,0.25,0.9,-0.14294565483522,-0.1510891444320679
300.0,100.0,0.35,0.15,-0.013058878803091098,-4.020665918226176e-05
300.0,100.0,0.35,0.20357142857142854,-0.019214445867661984,-0.011764535233386062
300.0,100.0,0.35,0.2571428571428571,-0.025627600491035782,-0.02371088594563074
300.0,100.0,0.35,0.3107142857142857,-0.03204985057885544,-0.033912201399392036
300.0,100.0,0.35,0.3642857142857143,-0.03840790517031666,-0.04246631490368963
300.0,100.0,0.35,0.4178571428571428,-0.044859663499602416,-0.04993634754729286
300.0,100.0,0.35,0.4714285714285714,-0.051501755869516434,-0.05680561695834354
300.0,100.0,0.35,0.525,-0.05856224765347806,-0.0635929136364553
300.0,100.0,0.35,0.5785714285714285,-0.06611596322031743,-0.07056480865789978
300.0,100.0,0.35,0.6321428571428571,-0.07414578282628348,-0.07781705676540392
300.0,100.0,0.35,0.6857142857142857,-0.08256743752863238,-0.08535768033086426
300.0,100.0,0.35,0.7392857142857143,-0.0911478805368676,-0.09302791907104803
300.0,100.0,0.35,0.7928571428571428,-0.09970772497965473,-0.10074796219154795
300.0,100.0,0.35,0.8464285714285714,-0.1080824539746632,-0.10849256090586981
300.0,100.0,0.35,0.9,-0.11627271292887313,-0.11656209916630478
300.0,100.0,0.45,0.15,-0.014521251632870475,0.001255031036448161
300.0,100.0,0.45,0.20357142857142854,-0.02043185322177803,-0.012345044824949499
300.0,100.0,0.45,0.2571428571428571,-0.026502182428578814,-0.024917040735463324
300.0,100.0,0.45,0.3107142857142857,-0.032615612984579434,-0.0350957220847717
300.0,100.0,0.45,0.3642857142857143,-0.03874007073876387,-0.04319502149650359
300.0,100.0,0.45,0.4178571428571428,-0.044977787681057736,-0.049921863692745164
300.0,100.0,0.45,0.4714285714285714,-0.05140750826914235,-0.05586422057312259
300.0,100.0,0.45,0.525,-0.058217399590597664,-0.061478839201700636
300.0,100.0,0.45,0.5785714285714285,-0.06552239916199662,-0.06738705025227798
300.0,100.0,0.45,0.6321428571428571,-0.07338860079310851,-0.07359489344384691
300.0,100.0,0.45,0.6857142857142857,-0.08183230122311701,-0.07980752551177589
300.0,100.0,0.45,0.7392857142857143,-0.0907384070506714,-0.08666512692314661
300.0,100.0,0.45,0.7928571428571428,-0.10000578540084057,-0.09387906342338091
300.0,100.0,0.45,0.8464285714285714,-0.10950555581267918,-0.10143113557130948
300.0,100.0,0.45,0.9,-0.11922656031212557,-0.10956332094860467
300.0,100.0,0.6,0.15,-0.016249417204488616,0.0019941497529177856
300.0,100.0,0.6,0.20357142857142854,-0.02215100856641325,-0.013599997529032383
300.0,100.0,0.6,0.2571428571428571,-0.028033113601810468,-0.026677332150270766
300.0,100.0,0.6,0.3107142857142857,-0.03385693072930972,-0.03651005024870912
300.0,100.0,0.6,0.3642857142857143,-0.03961095372402467,-0.04378212271675822
300.0,100.0,0.6,0.4178571428571428,-0.045334577543061264,-0.04934369878381122
300.0,100.0,0.6,0.4714285714285714,-0.051074732254275605,-0.05378095287846132
300.0,100.0,0.6,0.525,-0.05694487523018218,-0.05800122453403654
300.0,100.0,0.6,0.5785714285714285,-0.06307238058606048,-0.061811916617646324
300.0,100.0,0.6,0.6321428571428571,-0.0696135337821667,-0.06615117492806982
