had1,z1,pt,conv
300.0,0.25,0.01,-0.002454191013035658
300.0,0.25,0.07263157894736841,-0.017163026406538457
300.0,0.25,0.13526315789473686,-0.029058417518779255
300.0,0.25,0.19789473684210526,-0.0364916743052041
300.0,0.25,0.2605263157894737,-0.03893802062948927
300.0,0.25,0.3231578947368421,-0.03698827477490443
300.0,0.25,0.3857894736842105,-0.032005248043591346
300.0,0.25,0.4484210526315789,-0.025609501668884104
300.0,0.25,0.5110526315789473,-0.01922290739039188
300.0,0.25,0.5736842105263157,-0.013778301863340463
300.0,0.25,0.6363157894736842,-0.009668455082081893
300.0,0.25,0.6989473684210525,-0.0068681607931462075
300.0,0.25,0.7615789473684209,-0.005113424881513338
300.0,0.25,0.8242105263157894,-0.004072290527542933
300.0,0.25,0.8868421052631578,-0.00345647554632206
300.0,0.25,0.9494736842105262,-0.0030515764921645217
300.0,0.25,1.0121052631578946,-0.00272122010111336
300.0,0.25,1.0747368421052628,-0.002391436584691784
300.0,0.25,1.1373684210526314,-0.002031778213415011
300.0,0.25,1.2,-0.0016360654762162595
300.0,0.35,0.01,-0.0053402448805774175
300.0,0.35,0.07263157894736841,-0.03755364011580752
300.0,0.35,0.13526315789473686,-0.0644695740708435
300.0,0.35,0.19789473684210526,-0.08274901040920525
300.0,0.35,0.2605263157894737,-0.09091634455033495
300.0,0.35,0.3231578947368421,-0.0894795101815533
300.0,0.35,0.3857894736842105,-0.08050054803734422
300.0,0.35,0.4484210526315789,-0.06698326036187503
300.0,0.35,0.5110526315789473,-0.05198180357783718
300.0,0.35,0.5736842105263157,-0.0378231198044124
300.0,0.35,0.6363157894736842,-0.025985006381768733
300.0,0.35,0.6989473684210525,-0.017067329195841995
300.0,0.35,0.7615789473684209,-0.010962703370448633
300.0,0.35,0.8242105263157894,-0.007143498738415051
300.0,0.35,0.8868421052631578,-0.00496161363194016
300.0,0.35,0.9494736842105262,-0.003839126517538435
300.0,0.35,1.0121052631578946,-0.0033463334085234117
300.0,0.35,1.0747368421052628,-0.003203612029267087
300.0,0.35,1.1373684210526314,-0.0032454393778470997
300.0,0.35,1.2,-0.0033806611493272126
300.0,0.45,0.01,-0.008941344165127195
300.0,0.45,0.07263157894736841,-0.06341663055691533
300.0,0.45,0.13526315789473686,-0.11115355312287395
300.0,0.45,0.19789473684210526,-0.14779623999755634
300.0,0.45,0.2605263157894737,-0.17031231377128778
300.0,0.45,0.3231578947368421,-0.17841494552522646
300.0,0.45,0.3857894736842105,-0.17328156617895266
300.0,0.45,0.4484210526315789,-0.15393897937644985
300.0,0.45,0.5110526315789473,-0.1286639526789349
300.0,0.45,0.5736842105263157,-0.10228440536708161
300.0,0.45,0.6363157894736842,-0.07754869642457789
300.0,0.45,0.6989473684210525,-0.05620183705676755
300.0,0.45,0.7615789473684209,-0.03910903379162069
300.0,0.45,0.8242105263157894,-0.02630459260725505
300.0,0.45,0.8868421052631578,-0.017318235983102073
300.0,0.45,0.9494736842105262,-0.011422585327665106
300.0,0.45,1.0121052631578946,-0.007827689977262851
300.0,0.45,1.0747368421052628,-0.005816420206837152
300.0,0.45,1.1373684210526314,-0.004816110307967509
300.0,0.45,1.2,-0.004416100513415948
300.0,0.6,0.01,-0.010687745743515515
300.0,0.6,0.07263157894736841,-0.07647518961537543
300.0,0.6,0.13526315789473686,-0.13753089592368223
300.0,0.6,0.19789473684210526,-0.19005375639189848
300.0,0.6,0.2605263157894737,-0.23148606984777767
300.0,0.6,0.3231578947368421,-0.2600223258875039
300.0,0.6,0.3857894736842105,-0.2751409939992931
300.0,0.6,0.4484210526315789,-0.2776374224918663
300.0,0.6,0.5110526315789473,-0.26355869734093834
300.0,0.6,0.5736842105263157,-0.23295758160979096
300.0,0.6,0.6363157894736842,-0.19945494083148776
300.0,0.6,0.6989473684210525,-0.1657844147085221
300.0,0.6,0.7615789473684209,-0.13391151778112037
300.0,0.6,0.8242105263157894,-0.10513015811157166
300.0,0.6,0.8868421052631578,-0.08030033602246424
300.0,0.6,0.9494736842105262,-0.05979233134864368
300.0,0.6,1.0121052631578946,-0.043540834801645376
300.0,0.6,1.0747368421052628,-0.031175330145981617
300.0,0.6,1.1373684210526314,-0.022145037794466197
300.0,0.6,1.2,-0.015823704808871436
310.0,0.25,0.01,-0.002454191013035658
310.0,0.25,0.07263157894736841,-0.017163026406538457
310.0,0.25,0.13526315789473686,-0.029058417518779255
310.0,0.25,0.19789473684210526,-0.0364916743052041
310.0,0.25,0.2605263157894737,-0.03893802062948927
310.0,0.25,0.3231578947368421,-0.03698827477490443
310.0,0.25,0.3857894736842105,-0.032005248043591346
310.0,0.25,0.4484210526315789,-0.025609501668884104
310.0,0.25,0.5110526315789473,-0.01922290739039188
310.0,0.25,0.5736842105263157,-0.013778301863340463
310.0,0.25,0.6363157894736842,-0.009668455082081893
310.0,0.25,0.6989473684210525,-0.0068681607931462075
310.0,0.25,0.7615789473684209,-0.005113424881513338
310.0,0.25,0.8242105263157894,-0.004072290527542933
310.0,0.25,0.8868421052631578,-0.00345647554632206
310.0,0.25,0.9494736842105262,-0.0030515764921645217
310.0,0.25,1.0121052631578946,-0.00272122010111336
310.0,0.25,1.0747368421052628,-0.002391436584691784
310.0,0.25,1.1373684210526314,-0.002031778213415011
310.0,0.25,1.2,-0.0016360654762162595
310.0,0.35,0.01,-0.0053402448805774175
310.0,0.35,0.07263157894736841,-0.03755364011580752
310.0,0.35,0.13526315789473686,-0.0644695740708435
310.0,0.35,0.19789473684210526,-0.08274901040920525
310.0,0.35,0.2605263157894737,-0.09091634455033495
310.0,0.35,0.3231578947368421,-0.0894795101815533
310.0,0.35,0.3857894736842105,-0.08050054803734422
310.0,0.35,0.4484210526315789,-0.06698326036187503
310.0,0.35,0.5110526315789473,-0.05198180357783718
310.0,0.35,0.5736842105263157,-0.0378231198044124
310.0,0.35,0.6363157894736842,-0.025985006381768733
310.0,0.35,0.6989473684210525,-0.017067329195841995
310.0,0.35,0.7615789473684209,-0.010962703370448633
310.0,0.35,0.8242105263157894,-0.007143498738415051
310.0,0.35,0.8868421052631578,-0.00496161363194016
310.0,0.35,0.9494736842105262,-0.003839126517538435
310.0,0.35,1.0121052631578946,-0.0033463334085234117
310.0,0.35,1.0747368421052628,-0.003203612029267087
310.0,0.35,1.1373684210526314,-0.0032454393778470997
310.0,0.35,1.2,-0.0033806611493272126
310.0,0.45,0.01,-0.008941344165127195
310.0,0.45,0.07263157894736841,-0.06341663055691533
310.0,0.45,0.13526315789473686,-0.11115355312287395
310.0,0.45,0.19789473684210526,-0.14779623999755634
310.0,0.45,0.2605263157894737,-0.17031231377128778
310.0,0.45,0.3231578947368421,-0.17841494552522646
310.0,0.45,0.3857894736842105,-0.17328156617895266
310.0,0.45,0.4484210526315789,-0.15393897937644985
310.0,0.45,0.5110526315789473,-0.1286639526789349
310.0,0.45,0.5736842105263157,-0.10228440536708161
310.0,0.45,0.6363157894736842,-0.07754869642457789
310.0,0.45,0.6989473684210525,-0.05620183705676755
310.0,0.45,0.7615789473684209,-0.03910903379162069
310.0,0.45,0.8242105263157894,-0.02630459260725505
310.0,0.45,0.8868421052631578,-0.017318235983102073
310.0,0.45,0.9494736842105262,-0.011422585327665106
310.0,0.45,1.0121052631578946,-0.007827689977262851
310.0,0.45,1.0747368421052628,-0.005816420206837152
310.0,0.45,1.1373684210526314,-0.004816110307967509
310.0,0.45,1.2,-0.004416100513415948
310.0,0.6,0.01,-0.010687745743515515
310.0,0.6,0.07263157894736841,-0.07647518961537543
310.0,0.6,0.13526315789473686,-0.13753089592368223
310.0,0.6,0.19789473684210526,-0.19005375639189848
310.0,0.6,0.2605263157894737,-0.23148606984777767
310.0,0.6,0.3231578947368421,-0.2600223258875039
310.0,0.6,0.3857894736842105,-0.2751409939992931
310.0,0.6,0.4484210526315789,-0.2776374224918663
310.0,0.6,0.5110526315789473,-0.26355869734093834
310.0,0.6,0.5736842105263157,-0.23295758160979096
310.0,0.6,0.6363157894736842,-0.19945494083148776
310.0,0.6,0.6989473684210525,-0.1657844147085221
310.0,0.6,0.7615789473684209,-0.13391151778112037
310.0,0.6,0.8242105263157894,-0.10513015811157166
310.0,0.6,0.8868421052631578,-0.08030033602246424
310.0,0.6,0.9494736842105262,-0.05979233134864368
310.0,0.6,1.0121052631578946,-0.043540834801645376
310.0,0.6,1.0747368421052628,-0.031175330145981617
310.0,0.6,1.1373684210526314,-0.022145037794466197
310.0,0.6,1.2,-0.015823704808871436
