h1   h2      z1       z2       P_exp       P(theo)       err  	  unpol
310   100    0.450    0.250   -.1790E-01   -.1190E-01   0.4627E-02   0.2482E-01
310   100    0.450    0.350   -.1990E-01   -.1104E-01   0.7129E-02   0.1037E-01
310   100    0.450    0.450   -.2180E-01   -.7305E-02   0.1061E-01   0.4694E-02
310   100    0.450    0.600   -.6800E-02   0.6297E-02   0.1321E-01   0.1505E-02
310   100    0.600    0.250   -.2450E-01   -.2266E-01   0.6028E-02   0.5808E-02
310   100    0.600    0.350   -.1760E-01   -.2861E-01   0.9328E-02   0.2323E-02
310   100    0.600    0.450   -.2050E-01   -.3234E-01   0.1381E-01   0.1000E-02
310   100    0.600    0.600   -.1730E-01   -.3149E-01   0.1681E-01   0.2848E-03
310   105    0.250    0.250   -.3590E-01   -.2600E-01   0.4080E-02   0.1510    
310   105    0.250    0.350   -.4860E-01   -.3910E-01   0.6194E-02   0.6582E-01
310   105    0.250    0.450   -.7370E-01   -.5191E-01   0.8927E-02   0.3119E-01
310   105    0.250    0.600   -.1047       -.7459E-01   0.1069E-01   0.1096E-01
310   105    0.350    0.250   -.2490E-01   -.2172E-01   0.3943E-02   0.6136E-01
310   105    0.350    0.350   -.3110E-01   -.3280E-01   0.6242E-02   0.2627E-01
310   105    0.350    0.450   -.5360E-01   -.4413E-01   0.9429E-02   0.1222E-01
310   105    0.350    0.600   -.6250E-01   -.6463E-01   0.1122E-01   0.4141E-02
310   105    0.450    0.250   -.2480E-01   -.2561E-01   0.5228E-02   0.2451E-01
310   105    0.450    0.350   -.4320E-01   -.3651E-01   0.8310E-02   0.1017E-01
310   105    0.450    0.450   -.2690E-01   -.4738E-01   0.1273E-01   0.4568E-02
310   105    0.450    0.600   -.8340E-01   -.6642E-01   0.1548E-01   0.1439E-02
310   105    0.600    0.250   -.1960E-01   -.2678E-01   0.6719E-02   0.5803E-02
310   105    0.600    0.350   -.5260E-01   -.3680E-01   0.1095E-01   0.2318E-02
310   105    0.600    0.450   -.4170E-01   -.4623E-01   0.1614E-01   0.9967E-03
310   105    0.600    0.600   -.5340E-01   -.6077E-01   0.1926E-01   0.2826E-03
310   200    0.250    0.250   -.1300E-01   -.5840E-02   0.6310E-02   0.3277E-01
310   200    0.250    0.350   -.7000E-03   0.3964E-02   0.9166E-02   0.1789E-01
310   200    0.250    0.450   0.1150E-01   0.1455E-01   0.1254E-01   0.1047E-01
310   200    0.250    0.600   0.6010E-01   0.2768E-01   0.1345E-01   0.5098E-02
310   200    0.350    0.250   -.2300E-02   -.1294E-01   0.6203E-02   0.1888E-01
310   200    0.350    0.350   -.3200E-02   -.1068E-01   0.9427E-02   0.1011E-01
310   200    0.350    0.450   0.2900E-02   -.6366E-02   0.1341E-01   0.5763E-02
310   200    0.350    0.600   -.9400E-02   0.4360E-03   0.1481E-01   0.2728E-02
310   200    0.450    0.250   -.1500E-01   -.1363E-01   0.8335E-02   0.1113E-01
310   200    0.450    0.350   -.1800E-02   -.1547E-01   0.1291E-01   0.5855E-02
310   200    0.450    0.450   -.4650E-01   -.1596E-01   0.1875E-01   0.3260E-02
310   200    0.450    0.600   -.1410E-01   -.1533E-01   0.2112E-01   0.1503E-02
310   200    0.600    0.250   -.8400E-02   -.7533E-02   0.1101E-01   0.3074E-02
310   200    0.600    0.350   -.2130E-01   -.8764E-02   0.1725E-01   0.1599E-02
310   200    0.600    0.450   -.5770E-01   -.9698E-02   0.2441E-01   0.8794E-03
310   200    0.600    0.600   -.5100E-01   -.1026E-01   0.2754E-01   0.3994E-03
310   205    0.250    0.250   -.2360E-01   -.2863E-01   0.5228E-02   0.3547E-01
310   205    0.250    0.350   -.4530E-01   -.3866E-01   0.7755E-02   0.1896E-01
310   205    0.250    0.450   -.5660E-01   -.4604E-01   0.1088E-01   0.1086E-01
310   205    0.250    0.600   -.1095       -.5409E-01   0.1165E-01   0.5168E-02
310   205    0.350    0.250   -.8900E-02   -.2676E-01   0.4604E-02   0.2437E-01
310   205    0.350    0.350   -.2830E-01   -.3479E-01   0.6754E-02   0.1288E-01
310   205    0.350    0.450   -.4800E-01   -.4061E-01   0.9595E-02   0.7211E-02
310   205    0.350    0.600   -.9580E-01   -.4673E-01   0.1111E-01   0.3345E-02
310   205    0.450    0.250   -.1300E-01   -.3091E-01   0.5962E-02   0.1803E-01
310   205    0.450    0.350   -.2260E-01   -.4043E-01   0.8415E-02   0.9511E-02
310   205    0.450    0.450   -.5970E-01   -.4783E-01   0.1162E-01   0.5267E-02
310   205    0.450    0.600   -.8260E-01   -.5592E-01   0.1265E-01   0.2413E-02
310   205    0.600    0.250   -.5080E-01   -.3499E-01   0.7599E-02   0.6919E-02
310   205    0.600    0.350   -.6090E-01   -.4695E-01   0.1048E-01   0.3658E-02
310   205    0.600    0.450   -.6210E-01   -.5716E-01   0.1403E-01   0.2022E-02
310   205    0.600    0.600   -.8280E-01   -.6947E-01   0.1405E-01   0.9244E-03
