,had1,had2,z1,z2,conv,mins,maxx,valid_min,valid_max
0,300.0,100.0,0.25,0.15,-0.013264811376060507,-0.021181402879241654,0.0064449948780776955,True,True
1,300.0,100.0,0.25,0.222,-0.028411882820320287,-0.04109292858522842,0.011916840767128449,True,True
2,300.0,100.0,0.25,0.294,-0.04322263212115403,-0.05876665347897709,0.015050657313445973,True,True
3,300.0,100.0,0.25,0.3670000000000001,-0.056038924285563535,-0.0734113771284835,0.015917654381229582,True,True
4,300.0,100.0,0.25,0.439,-0.06747864485608124,-0.08525947938057464,0.015109808756900416,True,True
5,300.0,100.0,0.25,0.511,-0.07908649708466621,-0.09759132982031067,0.012992791531051305,True,True
6,300.0,100.0,0.25,0.583,-0.09176388208534143,-0.11325719285221153,0.009822345776488578,True,True
7,300.0,100.0,0.25,0.6559999999999999,-0.10557780142580038,-0.13133765608035156,0.005847887407861409,True,True
8,300.0,100.0,0.25,0.728,-0.12072331654156016,-0.15141902647203753,0.0012304399412401332,True,True
9,300.0,100.0,0.25,0.8,-0.13479724927122194,-0.17005940523672955,-0.003061044398186612,True,True
10,300.0,100.0,0.35,0.15,-0.00891994656238228,-0.011858240481823684,0.00015536929672339576,True,True
11,300.0,100.0,0.35,0.222,-0.019762397400481132,-0.02520646724231278,-0.0003623130126289511,True,True
12,300.0,100.0,0.35,0.294,-0.030442029705512182,-0.03762716060132026,-0.0014011788269055374,True,True
13,300.0,100.0,0.35,0.3670000000000001,-0.03963322030268246,-0.047784500443127854,-0.002842618583377193,True,True
14,300.0,100.0,0.35,0.439,-0.047599098279696064,-0.056304658574889276,-0.004249408288003411,True,True
15,300.0,100.0,0.35,0.511,-0.0554041303460357,-0.06573310531603141,-0.005922923687000054,True,True
16,300.0,100.0,0.35,0.583,-0.06377547181550873,-0.07580346554463664,-0.007939148030612719,True,True
17,300.0,100.0,0.35,0.6559999999999999,-0.07277105481261101,-0.08685195224032842,-0.010286796411198031,True,True
18,300.0,100.0,0.35,0.728,-0.08281407892687716,-0.09895022719726701,-0.012967362247101995,True,True
19,300.0,100.0,0.35,0.8,-0.09229968628830193,-0.11049919722630476,-0.015490292049180216,True,True
20,300.0,100.0,0.45,0.15,-0.010660377338150749,-0.0127500657398218,-0.0038041883374393725,True,True
21,300.0,100.0,0.45,0.222,-0.021884997915905414,-0.026153240782335392,-0.008138365556386074,True,True
22,300.0,100.0,0.45,0.294,-0.03212107409412733,-0.03844075233420309,-0.01226277915988988,True,True
23,300.0,100.0,0.45,0.3670000000000001,-0.04045415507333172,-0.04847453987047346,-0.015726590973916783,True,True
24,300.0,100.0,0.45,0.439,-0.04744030992191662,-0.056953155621764034,-0.01878096362232657,True,True
25,300.0,100.0,0.45,0.511,-0.05415705642879263,-0.06564726046858838,-0.021848066678713772,True,True
26,300.0,100.0,0.45,0.583,-0.06129574601349778,-0.07507660644135136,-0.0251930098628317,True,True
27,300.0,100.0,0.45,0.6559999999999999,-0.06924496904242024,-0.08570406032767275,-0.02897218720543955,True,True
28,300.0,100.0,0.45,0.728,-0.07812624893845528,-0.09778757268299956,-0.033229130983117736,True,True
29,300.0,100.0,0.45,0.8,-0.08692149529051729,-0.10972266595460116,-0.03747361963564362,True,True
30,300.0,100.0,0.6,0.15,-0.012715643591705407,-0.015240944372299796,-0.006449013091746849,True,True
31,300.0,100.0,0.6,0.222,-0.024205123673824654,-0.028995311993839843,-0.012640276506873738,True,True
32,300.0,100.0,0.6,0.294,-0.03378100639173976,-0.04043504761855831,-0.0180242483671202,True,True
33,300.0,100.0,0.6,0.3670000000000001,-0.04092249257119844,-0.0489313343496966,-0.022216131850167933,True,True
34,300.0,100.0,0.6,0.439,-0.04634022762376156,-0.05532624972549615,-0.0256774401965645,True,True
35,300.0,100.0,0.6,0.511,-0.05129618078097768,-0.061136793597030864,-0.02905042273360418,True,True
36,300.0,100.0,0.6,0.583,-0.05628878576942326,-0.06723642911816055,-0.03274827456456311,True,True
37,300.0,100.0,0.6,0.6559999999999999,-0.061883128255699416,-0.0749403879994006,-0.037188164203148716,True,True
38,300.0,100.0,0.6,0.728,-0.06916316938059873,-0.08523148857340733,-0.043109589246285863,True,True
39,300.0,100.0,0.6,0.8,-0.07739680654764018,-0.09708723974689064,-0.04987589479223786,True,True
40,300.0,105.0,0.25,0.15,-0.0016960171968606838,-0.014093084768695082,0.0108176242952443,True,True
41,300.0,105.0,0.25,0.222,0.0025180521930663192,-0.02478964281374869,0.02426436369479556,True,True
42,300.0,105.0,0.25,0.294,0.009593273050436715,-0.035484346014479765,0.03802043322814029,True,True
43,300.0,105.0,0.25,0.3670000000000001,0.017438673690240446,-0.04306711854976111,0.05116889310234167,True,True
44,300.0,105.0,0.25,0.439,0.0257307712016771,-0.048230072477140326,0.06279605259668272,True,True
45,300.0,105.0,0.25,0.511,0.03510080724391309,-0.05204476803356009,0.07421701866764527,True,True
46,300.0,105.0,0.25,0.583,0.04605329972007845,-0.055136044087331325,0.08636915016097918,True,True
47,300.0,105.0,0.25,0.6559999999999999,0.058269606130980325,-0.05788773333620871,0.09929435413534768,True,True
48,300.0,105.0,0.25,0.728,0.07178542190901525,-0.060578132063826874,0.113327456330806,True,True
49,300.0,105.0,0.25,0.8,0.0842228975382931,-0.06302404898422526,0.12622939547637105,True,True
50,300.0,105.0,0.35,0.15,-0.004175393792699647,-0.007912994146859406,0.0018187379594526406,True,True
51,300.0,105.0,0.35,0.222,-0.005362827117178961,-0.013229998415843788,0.004609686214280818,True,True
