,Unnamed: 0,Unnamed: 0.1,had1,had2,z1,z2,mins,maxx,fit_line,conv,valid_min,valid_max,reference
15,15,15,300.0,200.0,0.35,0.511,-0.04300794860285274,-0.027258616655949554,,-0.035459572714431835,True,True,-0.011634783177934623
16,16,16,300.0,200.0,0.35,0.583,-0.04586803116976256,-0.028931123914357225,,-0.037871042407754484,True,True,-0.016093472098554443
17,17,17,300.0,200.0,0.35,0.6559999999999999,-0.04826139219881008,-0.030272584395136616,,-0.03985841215469873,True,True,-0.020384516694294988
18,18,18,300.0,200.0,0.35,0.728,-0.05043640483459992,-0.03143366947172723,,-0.04161775326091372,True,True,-0.0243877768396603
19,19,19,300.0,200.0,0.35,0.8,-0.05235480655749118,-0.03243643391627129,,-0.04312380519338533,True,True,-0.028045917270782955
20,20,20,300.0,200.0,0.45,0.15,-0.012219603714819642,-0.007286318534889246,,-0.009878543184652169,True,True,-0.03137557380712793
21,21,21,300.0,200.0,0.45,0.222,-0.02390146676378704,-0.014125285939381492,,-0.019408038634558544,True,True,-0.034362916746691126
22,22,22,300.0,200.0,0.45,0.294,-0.03308675558179381,-0.019539746952977485,,-0.02696999102052048,True,True,-0.037038603358837935
23,23,23,300.0,200.0,0.45,0.3670000000000001,-0.03916573627725964,-0.023232407955361228,,-0.03206185924562641,True,True,-0.03941144376077922
24,24,24,300.0,200.0,0.45,0.439,-0.04304322898391872,-0.025675211958369356,,-0.03534039951628083,True,True,-0.0415088078067074
25,25,25,300.0,200.0,0.45,0.511,-0.0457428501075881,-0.027383641247161517,,-0.03759770356947744,True,True,-0.043346253057858684
26,26,26,300.0,200.0,0.45,0.583,-0.04776682471384893,-0.028644219864225037,,-0.03928852956374925,True,True,-0.04498652820709224
27,27,27,300.0,200.0,0.45,0.6559999999999999,-0.04946796477141735,-0.029654557452752688,,-0.040693864218476566,True,True,-0.04645039588378788
28,28,28,300.0,200.0,0.45,0.728,-0.05088946433820828,-0.03043967188234892,,-0.0418416324497101,True,True,-0.04777066704061672
29,29,29,300.0,200.0,0.45,0.8,-0.05217297736138302,-0.031102511273762092,,-0.042844980533728885,True,True,-0.04897861343517798
30,30,30,300.0,200.0,0.6,0.15,-0.019568850890955603,-0.012633909589038865,,-0.016678038198158683,True,True,-0.0145053790581364
31,31,31,300.0,200.0,0.6,0.222,-0.037883008751670576,-0.024336358975065954,,-0.0322042286164426,True,True,-0.01947096734455649
32,32,32,300.0,200.0,0.6,0.294,-0.052456193936442894,-0.03353523623522322,,-0.04444084143925512,True,True,-0.024168754837821344
33,33,33,300.0,200.0,0.6,0.3670000000000001,-0.0621510308078742,-0.03965376625721253,,-0.05258381969294418,True,True,-0.02855388556061253
34,34,34,300.0,200.0,0.6,0.439,-0.06839726595622433,-0.0435619134495027,,-0.057792110584438186,True,True,-0.03259987537085718
35,35,35,300.0,200.0,0.6,0.511,-0.07304274407845235,-0.04637825222057895,,-0.06156742221672435,True,True,-0.03630040435657962
36,36,36,300.0,200.0,0.6,0.583,-0.07667214908126224,-0.048525930589441574,,-0.06446229831038908,True,True,-0.039670090499923774
37,37,37,300.0,200.0,0.6,0.6559999999999999,-0.07985955110295323,-0.05038307367500548,,-0.06697637030668177,True,True,-0.042731624249480925
38,38,38,300.0,200.0,0.6,0.728,-0.08251804219745183,-0.051909375315776295,,-0.06905305016687865,True,True,-0.04551008506382074
39,39,39,300.0,200.0,0.6,0.8,-0.08473945821196431,-0.0531710794447171,,-0.0707749344810757,True,True,-0.04802995959445133
40,40,40,300.0,205.0,0.25,0.15,-0.014778496950537477,-0.006620932294765689,,-0.010988658748361314,True,True,-0.05031277487175795
41,41,41,300.0,205.0,0.25,0.222,-0.01707238004858399,-0.0038021278384188432,,-0.01164599470134082,True,True,-0.05238026191191182
42,42,42,300.0,205.0,0.25,0.294,-0.012179478461044934,0.004284788507159367,,-0.004189694417840406,True,True,-0.05425127237302596
43,43,43,300.0,205.0,0.25,0.3670000000000001,-0.002906762669167552,0.014994937930961714,,0.005192686146643825,True,True,-0.055942662907857765
44,44,44,300.0,205.0,0.25,0.439,0.0058863740237485055,0.026620162897266084,,0.015202365521458644,True,True,-0.05747284245655952
45,45,45,300.0,205.0,0.25,0.511,0.01368498010441203,0.037287639175165456,,0.02447622411137512,True,True,-0.0206389247233908
46,46,46,300.0,205.0,0.25,0.583,0.020242484809628206,0.046386895208119096,,0.03235432768462684,True,True,-0.027950523130458173
47,47,47,300.0,205.0,0.25,0.6559999999999999,0.025528424172426716,0.05413331992698682,,0.03874830469856165,True,True,-0.035059835867158703
48,48,48,300.0,205.0,0.25,0.728,0.030058239234186913,0.060877576040448786,,0.04420202600400912,True,True,-0.04191415075082697
49,49,49,300.0,205.0,0.25,0.8,0.03367525763332163,0.06641712999191439,,0.048644195501970584,True,True,-0.04847498346563062
50,50,50,300.0,205.0,0.35,0.15,-0.00997954302932721,-0.005053072079786983,,-0.007440646698243625,True,True,-0.05472020791368097
51,51,51,300.0,205.0,0.35,0.222,-0.01620574816811309,-0.006884416669435057,,-0.011542583357651086,True,True,-0.060646192423773976
52,52,52,300.0,205.0,0.35,0.294,-0.018267363872888447,-0.005460307318064488,,-0.01203467403609292,True,True,-0.0662558028743651
53,53,53,300.0,205.0,0.35,0.3670000000000001,-0.017209423444035858,-0.0021803728372773675,,-0.01026186918429473,True,True,-0.0715579009688437
54,54,54,300.0,205.0,0.35,0.439,-0.014773674317923181,0.0018677242002986783,,-0.006342180304983772,True,True,-0.07655300872224441
55,55,55,300.0,205.0,0.35,0.511,-0.011911415156332065,0.006487331755013725,,-0.0029278420790872593,True,True,-0.08125509201923609
56,56,56,300.0,205.0,0.35,0.583,-0.008831210098380823,0.010557654475569138,,0.00014929543250220706,True,True,-0.08565844385161381
57,57,57,300.0,205.0,0.35,0.6559999999999999,-0.006849287251703036,0.013914943046519142,,0.002692435630716439,True,True,-0.08978260131145707
58,58,58,300.0,205.0,0.35,0.728,-0.005190551279836695,0.016787570719125473,,0.00484970965812181,True,True,-0.093635395112393
59,59,59,300.0,205.0,0.35,0.8,-0.003898947270108625,0.019102842391574063,,0.006565436789735982,True,True,-0.09723236087965166
60,60,60,300.0,205.0,0.45,0.15,-0.011446148291981309,-0.004920278690532296,,-0.007908551801171722,True,True,-0.016188154254894227
61,61,61,300.0,205.0,0.45,0.222,-0.021662155713514535,-0.008319663011480015,,-0.014372735342647831,True,True,-0.013931836448852744
62,62,62,300.0,205.0,0.45,0.294,-0.02890896265825714,-0.01025896618888488,,-0.01864777932855605,True,True,-0.00909167786485162
63,63,63,300.0,205.0,0.45,0.3670000000000001,-0.032968769774368675,-0.011086527523530613,,-0.020838422708061285,True,True,-0.003100969815712107
64,64,64,300.0,205.0,0.45,0.439,-0.034865552241882966,-0.011282956554129909,,-0.02169186033391684,True,True,0.003256792733824644
65,65,65,300.0,205.0,0.45,0.511,-0.035686241843035635,-0.011136288471919997,,-0.021873433238166186,True,True,0.00974383829861403
66,66,66,300.0,205.0,0.45,0.583,-0.036094372260027575,-0.010776950595223343,,-0.02178512427732341,True,True,0.015755665087037574
67,67,67,300.0,205.0,0.45,0.6559999999999999,-0.03642932594892861,-0.010330842663932267,,-0.021646486112743932,True,True,0.02116615926103774
68,68,68,300.0,205.0,0.45,0.728,-0.03677092198520137,-0.009831657449474921,,-0.0214976091262906,True,True,0.025833964407389567
69,69,69,300.0,205.0,0.45,0.8,-0.03712639830020337,-0.009371610104121532,,-0.021387982051834408,True,True,0.029755154128849926
70,70,70,300.0,205.0,0.6,0.15,-0.010267053514230498,-0.0032085440853433793,,-0.005474652502404701,True,True,0.033017586162395585
71,71,71,300.0,205.0,0.6,0.222,-0.01894932432415519,-0.004888908599398627,,-0.009348676368029359,True,True,0.03581828068785275
72,72,72,300.0,205.0,0.6,0.294,-0.025410828383297314,-0.00565186566859984,,-0.01193719600161024,True,True,0.038292647342660635
73,73,73,300.0,205.0,0.6,0.3670000000000001,-0.029558570666332988,-0.005988391595624172,,-0.013508823245384329,True,True,0.04056959054592646
74,74,74,300.0,205.0,0.6,0.439,-0.032083466803656195,-0.006179976510524809,,-0.014451731829194337,True,True,0.042757468157055716
75,75,75,300.0,205.0,0.6,0.511,-0.03382543532130668,-0.006208655040067563,,-0.015029583258835232,True,True,-0.01100845503708528
76,76,76,300.0,205.0,0.6,0.583,-0.03506161125874265,-0.006054227296037831,,-0.015322521859922956,True,True,-0.01237602936202931
77,77,77,300.0,205.0,0.6,0.6559999999999999,-0.036042828924983485,-0.005746414615177544,,-0.015431981775624697,True,True,-0.012530950073676196
78,78,78,300.0,205.0,0.6,0.728,-0.03673151676506459,-0.005272806798420125,,-0.01533792905393972,True,True,-0.011804618070565234
79,79,79,300.0,205.0,0.6,0.8,-0.037232013636693054,-0.004753557599483793,,-0.015152796703847143,True,True,-0.010440907945932444
80,80,80,310.0,200.0,0.25,0.15,-0.014778496950537477,-0.006620932294765689,,-0.010988658748361314,True,True,-0.008555126674274756
81,81,81,310.0,200.0,0.25,0.222,-0.01707238004858399,-0.0038021278384188432,,-0.01164599470134082,True,True,-0.006482034504706851
82,82,82,310.0,200.0,0.25,0.294,-0.012179478461044934,0.004284788507159367,,-0.004189694417840406,True,True,-0.004378129710218427
83,83,83,310.0,200.0,0.25,0.3670000000000001,-0.002906762669167552,0.014994937930961714,,0.005192686146643825,True,True,-0.0024043972433537572
84,84,84,310.0,200.0,0.25,0.439,0.0058863740237485055,0.026620162897266084,,0.015202365521458644,True,True,-0.0006470877026436183
85,85,85,310.0,200.0,0.25,0.511,0.01368498010441203,0.037287639175165456,,0.02447622411137512,True,True,0.0008830020722331284
86,86,86,310.0,200.0,0.25,0.583,0.020242484809628206,0.046386895208119096,,0.03235432768462684,True,True,0.0022403592973720358
87,87,87,310.0,200.0,0.25,0.6559999999999999,0.025528424172426716,0.05413331992698682,,0.03874830469856165,True,True,0.003477566662803323
88,88,88,310.0,200.0,0.25,0.728,0.030058239234186913,0.060877576040448786,,0.04420202600400912,True,True,0.004648314365500474
89,89,89,310.0,200.0,0.25,0.8,0.03367525763332163,0.06641712999191439,,0.048644195501970584,True,True,0.005803170977718443
90,90,90,310.0,200.0,0.35,0.15,-0.00997954302932721,-0.005053072079786983,,-0.007440646698243625,True,True,-0.010707704581681856
91,91,91,310.0,200.0,0.35,0.222,-0.01620574816811309,-0.006884416669435057,,-0.011542583357651086,True,True,-0.01355693854723568
92,92,92,310.0,200.0,0.35,0.294,-0.018267363872888447,-0.005460307318064488,,-0.01203467403609292,True,True,-0.01597739879547533
93,93,93,310.0,200.0,0.35,0.3670000000000001,-0.017209423444035858,-0.0021803728372773675,,-0.01026186918429473,True,True,-0.01802255922237551
94,94,94,310.0,200.0,0.35,0.439,-0.014773674317923181,0.0018677242002986783,,-0.006342180304983772,True,True,-0.0197239108023479
95,95,95,310.0,200.0,0.35,0.511,-0.011911415156332065,0.006487331755013725,,-0.0029278420790872593,True,True,-0.021080641681561967
96,96,96,310.0,200.0,0.35,0.583,-0.008831210098380823,0.010557654475569138,,0.00014929543250220706,True,True,-0.02216718157205286
97,97,97,310.0,200.0,0.35,0.6559999999999999,-0.006849287251703036,0.013914943046519142,,0.002692435630716439,True,True,-0.02302910896427604
98,98,98,310.0,200.0,0.35,0.728,-0.005190551279836695,0.016787570719125473,,0.00484970965812181,True,True,-0.02372824990280252
99,99,99,310.0,200.0,0.35,0.8,-0.003898947270108625,0.019102842391574063,,0.006565436789735982,True,True,-0.024322581555477937
100,100,100,310.0,200.0,0.45,0.15,-0.011446148291981309,-0.004920278690532296,,-0.007908551801171722,True,True,-0.024832706733119145
101,101,101,310.0,200.0,0.45,0.222,-0.021662155713514535,-0.008319663011480015,,-0.014372735342647831,True,True,-0.025275614160753832
102,102,102,310.0,200.0,0.45,0.294,-0.02890896265825714,-0.01025896618888488,,-0.01864777932855605,True,True,-0.025639749388932345
103,103,103,310.0,200.0,0.45,0.3670000000000001,-0.032968769774368675,-0.011086527523530613,,-0.020838422708061285,True,True,-0.025922745242965475
104,104,104,310.0,200.0,0.45,0.439,-0.034865552241882966,-0.011282956554129909,,-0.02169186033391684,True,True,-0.026115765966702464
105,105,105,310.0,200.0,0.45,0.511,-0.035686241843035635,-0.011136288471919997,,-0.021873433238166186,True,True,-0.0066477677870551855
106,106,106,310.0,200.0,0.45,0.583,-0.036094372260027575,-0.010776950595223343,,-0.02178512427732341,True,True,-0.008174961771771504
107,107,107,310.0,200.0,0.45,0.6559999999999999,-0.03642932594892861,-0.010330842663932267,,-0.021646486112743932,True,True,-0.00957877419768203
108,108,108,310.0,200.0,0.45,0.728,-0.03677092198520137,-0.009831657449474921,,-0.0214976091262906,True,True,-0.010922077759937658
109,109,109,310.0,200.0,0.45,0.8,-0.03712639830020337,-0.009371610104121532,,-0.021387982051834408,True,True,-0.01223259564200089
110,110,110,310.0,200.0,0.6,0.15,-0.010267053514230498,-0.0032085440853433793,,-0.005474652502404701,True,True,-0.01349505629636807
111,111,111,310.0,200.0,0.6,0.222,-0.01894932432415519,-0.004888908599398627,,-0.009348676368029359,True,True,-0.01466971675413362
112,112,112,310.0,200.0,0.6,0.294,-0.025410828383297314,-0.00565186566859984,,-0.01193719600161024,True,True,-0.015715074365485672
113,113,113,310.0,200.0,0.6,0.3670000000000001,-0.029558570666332988,-0.005988391595624172,,-0.013508823245384329,True,True,-0.016594677960324617
114,114,114,310.0,200.0,0.6,0.439,-0.032083466803656195,-0.006179976510524809,,-0.014451731829194337,True,True,-0.017331934224627418
115,115,115,310.0,200.0,0.6,0.511,-0.03382543532130668,-0.006208655040067563,,-0.015029583258835232,True,True,-0.017895885307472787
116,116,116,310.0,200.0,0.6,0.583,-0.03506161125874265,-0.006054227296037831,,-0.015322521859922956,True,True,-0.01836160601547866
117,117,117,310.0,200.0,0.6,0.6559999999999999,-0.036042828924983485,-0.005746414615177544,,-0.015431981775624697,True,True,-0.01869019782113733
118,118,118,310.0,200.0,0.6,0.728,-0.03673151676506459,-0.005272806798420125,,-0.01533792905393972,True,True,-0.01890774117488497
119,119,119,310.0,200.0,0.6,0.8,-0.037232013636693054,-0.004753557599483793,,-0.015152796703847143,True,True,-0.019010231652591497
120,120,120,310.0,205.0,0.25,0.15,-0.012734912938538602,-0.0083282786976014,,-0.010766465843826132,True,True,-0.016188154254894227
121,121,121,310.0,205.0,0.25,0.222,-0.02748677621810833,-0.018562553165046108,,-0.023279191063894044,True,True,-0.013931836448852744
