,Unnamed: 0,Unnamed: 0.1,had1,had2,z1,z2,mins,maxx,fit_line,conv,valid_min,valid_max,reference
0,0,0,300.0,100.0,0.25,0.15,-0.015928121571573722,-0.01044420916561784,,-0.013264811376060507,True,True,-0.019968527147016284
1,1,1,300.0,100.0,0.25,0.222,-0.0326445072485017,-0.023979457824997528,,-0.028411882820320287,True,True,-0.02935963866816464
2,2,2,300.0,100.0,0.25,0.294,-0.04961705383338872,-0.036291011002377215,,-0.04322263212115403,True,True,-0.03831414191305173
3,3,3,300.0,100.0,0.25,0.3670000000000001,-0.0644127965676482,-0.04591424022447132,,-0.056038924285563535,True,True,-0.04650992977528313
4,4,4,300.0,100.0,0.25,0.439,-0.0780286745542184,-0.054624647536929555,,-0.06747864485608124,True,True,-0.05407423108234154
5,5,5,300.0,100.0,0.25,0.511,-0.09216000092059773,-0.06359792024057416,,-0.07908649708466621,True,True,-0.06151221520391836
6,6,6,300.0,100.0,0.25,0.583,-0.10746188204947435,-0.0735541801700123,,-0.09176388208534143,True,True,-0.06909412291195881
7,7,7,300.0,100.0,0.25,0.6559999999999999,-0.12404882997338684,-0.08450193458671992,,-0.10557780142580038,True,True,-0.07723234677733254
8,8,8,300.0,100.0,0.25,0.728,-0.14212518316392117,-0.09656341148746125,,-0.12072331654156016,True,True,-0.08602088791467223
9,9,9,300.0,100.0,0.25,0.8,-0.1588173658332036,-0.10773343545974381,,-0.13479724927122194,True,True,-0.09538932199559194
10,10,10,300.0,100.0,0.35,0.15,-0.010954845649266551,-0.007223140767258615,,-0.00891994656238228,True,True,-0.10517299614238787
11,11,11,300.0,100.0,0.35,0.222,-0.023426583770263736,-0.016212907498915297,,-0.01976239740048113,True,True,-0.11502301158409378
12,12,12,300.0,100.0,0.35,0.294,-0.03537628985566704,-0.025114212643163433,,-0.030442029705512182,True,True,-0.12469422697235448
13,13,13,300.0,100.0,0.35,0.3670000000000001,-0.045452498742035295,-0.03278908569415393,,-0.03963322030268246,True,True,-0.13398890199461838
14,14,14,300.0,100.0,0.35,0.439,-0.05413705243995396,-0.03941431719847171,,-0.047599098279696064,True,True,-0.14294565483522
15,15,15,300.0,100.0,0.35,0.511,-0.06279363989195082,-0.045901132735402604,,-0.0554041303460357,True,True,-0.013058878803091098
16,16,16,300.0,100.0,0.35,0.583,-0.07226742289664334,-0.05283515813291642,,-0.06377547181550873,True,True,-0.019214445867661984
17,17,17,300.0,100.0,0.35,0.6559999999999999,-0.08244475958352442,-0.06036587833725304,,-0.07277105481261101,True,True,-0.025627600491035785
18,18,18,300.0,100.0,0.35,0.728,-0.09399603198773296,-0.06869310285082846,,-0.08281407892687716,True,True,-0.03204985057885544
19,19,19,300.0,100.0,0.35,0.8,-0.1051723934392189,-0.07635103456045275,,-0.09229968628830193,True,True,-0.03840790517031666
20,20,20,300.0,100.0,0.45,0.15,-0.012532409115820054,-0.008749753865094764,,-0.010660377338150749,True,True,-0.044859663499602416
21,21,21,300.0,100.0,0.45,0.222,-0.02541477319578442,-0.017880191146339982,,-0.021884997915905414,True,True,-0.051501755869516434
22,22,22,300.0,100.0,0.45,0.294,-0.03706510404090146,-0.02609642198666803,,-0.03212107409412733,True,True,-0.05856224765347806
23,23,23,300.0,100.0,0.45,0.3670000000000001,-0.04661289337154923,-0.03264915365991081,,-0.04045415507333172,True,True,-0.06611596322031743
