had1,had2,z1,z2,mins,maxx,fit_line,conv
300.0,200.0,0.25,0.15,-0.01925507051875816,-0.013223719163172156,-0.016370201421845296,-0.008111554945058124
300.0,200.0,0.25,0.20357142857142854,-0.02787438682680413,-0.018988266059713082,-0.023591955866295627,-0.017222919252001645
300.0,200.0,0.25,0.2571428571428571,-0.03616104454951638,-0.02413733904800266,-0.0303207181694304,-0.027488769882366516
300.0,200.0,0.25,0.3107142857142857,-0.04350780229014163,-0.0285428407134532,-0.03625491958121728,-0.03736399333210895
300.0,200.0,0.25,0.3642857142857143,-0.04987357312294584,-0.03233757003238792,-0.04137736193843507,-0.04624223530884537
300.0,200.0,0.25,0.4178571428571428,-0.05549169047837769,-0.035672846159948784,-0.045882725935758886,-0.05444781245800776
300.0,200.0,0.25,0.4714285714285714,-0.060343118580047664,-0.038498587453656335,-0.04976365979265948,-0.06217770370956184
300.0,200.0,0.25,0.525,-0.06457383295729444,-0.040944113492487534,-0.05314133733961365,-0.06943139256253635
300.0,200.0,0.25,0.5785714285714285,-0.06831753768196594,-0.043028772821464265,-0.056045800985529096,-0.07620190470420936
300.0,200.0,0.25,0.6321428571428571,-0.07155138386245916,-0.044802841685644704,-0.05854314514286243,-0.08246677339995524
300.0,200.0,0.25,0.6857142857142857,-0.07431771455878519,-0.046295098139091134,-0.0606710404951073,-0.08820391455524026
300.0,200.0,0.25,0.7392857142857143,-0.07678921719780622,-0.04761339070055249,-0.06256815977614291,-0.09353253984809265
300.0,200.0,0.25,0.7928571428571428,-0.07901764615448068,-0.048786284503316235,-0.0642736064072362,-0.09857524115840532
300.0,200.0,0.25,0.8464285714285714,-0.08108175391049308,-0.049859709285962166,-0.06584849042847528,-0.10334759899976168
300.0,200.0,0.25,0.9,-0.08304913835195524,-0.05087505487101559,-0.06734641053866465,-0.10810699608626645
300.0,200.0,0.35,0.15,-0.014383416904368609,-0.008971840580448575,-0.011634783177934623,-0.0064878565364265926
300.0,200.0,0.35,0.20357142857142854,-0.019905614643409092,-0.012221399782661374,-0.016093472098554443,-0.012675759108852764
300.0,200.0,0.35,0.2571428571428571,-0.025256424555072318,-0.015331984299305922,-0.020384516694294988,-0.018805323065877712
300.0,200.0,0.35,0.3107142857142857,-0.030339683861454532,-0.018227777357221597,-0.0243877768396603,-0.024031173938662026
300.0,200.0,0.35,0.3642857142857143,-0.034990202349754376,-0.0208557215156678,-0.028045917270782955,-0.028420317388992644
300.0,200.0,0.35,0.4178571428571428,-0.03921874079043943,-0.023159559035257186,-0.03137557380712793,-0.03232441730086086
300.0,200.0,0.35,0.4714285714285714,-0.04303645633017182,-0.025089964945375475,-0.034362916746691126,-0.035945824578746476
300.0,200.0,0.35,0.525,-0.04655315419553465,-0.026777554678918413,-0.037038603358837935,-0.03933912699353214
300.0,200.0,0.35,0.5785714285714285,-0.049795680905186455,-0.02823277462529796,-0.03941144376077922,-0.04250967557575311
300.0,200.0,0.35,0.6321428571428571,-0.05273922010047796,-0.029481636515353182,-0.0415088078067074,-0.04543239834381319
300.0,200.0,0.35,0.6857142857142857,-0.05539509831710896,-0.03054124707642832,-0.043346253057858684,-0.04808160471467089
300.0,200.0,0.35,0.7392857142857143,-0.05782273182482391,-0.031462590449762365,-0.04498652820709224,-0.05048232683336088
300.0,200.0,0.35,0.7928571428571428,-0.060039466242344165,-0.032262787380873945,-0.04645039588378788,-0.052619675051528175
300.0,200.0,0.35,0.8464285714285714,-0.06207602704315661,-0.03296686016619894,-0.047770667040616714,-0.05455154545880879
300.0,200.0,0.35,0.9,-0.06396351182900653,-0.033598508916822034,-0.04897861343517798,-0.05576462382564859
300.0,200.0,0.45,0.15,-0.017925464262901283,-0.011052797485312163,-0.0145053790581364,-0.008728566266606383
300.0,200.0,0.45,0.20357142857142854,-0.024192123143175277,-0.014718132727136731,-0.01947096734455649,-0.016405996672213492
300.0,200.0,0.45,0.2571428571428571,-0.030135939187287075,-0.01815962975682344,-0.024168754837821344,-0.02338306335283836
300.0,200.0,0.45,0.3107142857142857,-0.03569321000120177,-0.02134991413455816,-0.02855388556061253,-0.02866012300558935
