Unnamed: 0,had1,had2,z1,z2,mins,maxx,fit_line,conv
0,300.0,200.0,0.25,0.15,,,,-0.010766465843826133
1,300.0,200.0,0.25,0.222,,,,-0.023279191063894044
2,300.0,200.0,0.25,0.294,,,,-0.035371548736102154
3,300.0,200.0,0.25,0.36700000000000005,,,,-0.045260336044371005
4,300.0,200.0,0.25,0.439,,,,-0.0529820917240666
5,300.0,200.0,0.25,0.511,,,,-0.05918996041329756
6,300.0,200.0,0.25,0.583,,,,-0.06423184074139954
7,300.0,200.0,0.25,0.6559999999999999,,,,-0.06842069405444452
8,300.0,200.0,0.25,0.728,,,,-0.07217095749360698
9,300.0,200.0,0.25,0.8,,,,-0.07545629601967087
10,300.0,200.0,0.35,0.15,,,,-0.007437040928287167
11,300.0,200.0,0.35,0.222,,,,-0.01565077260834083
12,300.0,200.0,0.35,0.294,,,,-0.02293149812148858
13,300.0,200.0,0.35,0.36700000000000005,,,,-0.028432613585520364
14,300.0,200.0,0.35,0.439,,,,-0.03242192780531079
15,300.0,200.0,0.35,0.511,,,,-0.035459572714431835
16,300.0,200.0,0.35,0.583,,,,-0.037871042407754484
17,300.0,200.0,0.35,0.6559999999999999,,,,-0.03985841215469873
18,300.0,200.0,0.35,0.728,,,,-0.04161775326091371
19,300.0,200.0,0.35,0.8,,,,-0.04312380519338533
20,300.0,200.0,0.45,0.15,,,,-0.009878543184652167
21,300.0,200.0,0.45,0.222,,,,-0.019408038634558544
22,300.0,200.0,0.45,0.294,,,,-0.02696999102052048
23,300.0,200.0,0.45,0.36700000000000005,,,,-0.03206185924562641
24,300.0,200.0,0.45,0.439,,,,-0.03534039951628083
25,300.0,200.0,0.45,0.511,,,,-0.03759770356947743
26,300.0,200.0,0.45,0.583,,,,-0.03928852956374925
27,300.0,200.0,0.45,0.6559999999999999,,,,-0.04069386421847657
28,300.0,200.0,0.45,0.728,,,,-0.0418416324497101
29,300.0,200.0,0.45,0.8,,,,-0.04284498053372889
30,300.0,200.0,0.6,0.15,,,,-0.016678038198158683
31,300.0,200.0,0.6,0.222,,,,-0.0322042286164426
32,300.0,200.0,0.6,0.294,,,,-0.04444084143925512
33,300.0,200.0,0.6,0.36700000000000005,,,,-0.05258381969294419
34,300.0,200.0,0.6,0.439,,,,-0.05779211058443819
35,300.0,200.0,0.6,0.511,,,,-0.06156742221672435
36,300.0,200.0,0.6,0.583,,,,-0.06446229831038908
37,300.0,200.0,0.6,0.6559999999999999,,,,-0.06697637030668177
38,300.0,200.0,0.6,0.728,,,,-0.06905305016687865
39,300.0,200.0,0.6,0.8,,,,-0.0707749344810757
40,300.0,205.0,0.25,0.15,,,,-0.010988658748361314
41,300.0,205.0,0.25,0.222,,,,-0.011645994701340819
42,300.0,205.0,0.25,0.294,,,,-0.004189694417840406
43,300.0,205.0,0.25,0.36700000000000005,,,,0.005192686146643825
