,UP,DO,ST,UPb,DOb,STb,UP_min,DO_min,ST_min,UPb_min,DOb_min,STb_min,UP_max,DO_max,ST_max,UPb_max,DOb_max,STb_max,zs
6,0.0021012069489651937,-0.0042162542434049065,-0.0001644088717588959,-0.0014089585588801675,-0.0011320746220881755,-0.0010862277260720794,0.001282740773528361,-0.005721125034991598,-0.00035159115823455274,-0.002108761012624937,-0.0016943541819562436,-0.0016257360197971986,0.0030535893399783512,-0.002724276896422542,-5.489500564882933e-05,-0.0007851044639751894,-0.0006308182974954657,-0.0006052713412029742,0.24756030448440192
7,0.0019421130780952116,-0.003982786098454523,-0.0001690315484392208,-0.0013031128905611406,-0.0010286260372096706,-0.0009836606592148315,0.0011924367971025897,-0.005404327144769962,-0.0003495630531034125,-0.0019375622472417007,-0.0015294353932521277,-0.001462577625619857,0.0028267214622715487,-0.002573424543452166,-5.89080556647557e-05,-0.0007338656912702588,-0.0005792846984503406,-0.0005539618362145128,0.256132511554769
8,0.0017981131604022048,-0.003785244713218654,-0.00017459847632192172,-0.001207345068541573,-0.0009403313792658047,-0.0008986826750465092,0.0011103852368689784,-0.005136279038731848,-0.0003497301398782086,-0.0017833794676234936,-0.0013889713208258098,-0.0013274516725552972,0.0026211602144550115,-0.0024457857909440197,-6.338189594440587e-05,-0.0006871958840471263,-0.0005352172053449422,-0.0005115116228556138,0.26458914126473776
9,0.0016650268887720217,-0.003615278415597896,-0.0001811690900174726,-0.0011188457573130617,-0.0008638299012955348,-0.0008278767319507272,0.001034142039122375,-0.004905648155420201,-0.000351995716676756,-0.0016417758663664192,-0.0012675697926393154,-0.001214812703144294,0.0024309027088981086,-0.002335964316467476,-6.837967611940655e-05,-0.0006436443038844044,-0.000496939986463501,-0.000476257016979887,0.2729448885311688
10,0.0015401849861410143,-0.003466436849184086,-0.00018881327977467185,-0.0010358174508340561,-0.0007966029624397728,-0.0007686002338890788,0.0009621482065181543,-0.00470368186906795,-0.00035630071033527236,-0.0015099033652486201,-0.0011612021913574876,-0.001120382823001808,0.002252117760237592,-0.0022397923075705398,-7.397159351603946e-05,-0.0006022822305116834,-0.00046318954045822947,-0.00044690718703934774,0.2812118249476765
11,0.0014219333410663657,-0.0033336465144229383,-0.00019760900165323198,-0.0009571431998875527,-0.0007367379304970943,-0.0007187772287595649,0.0008934446604989181,-0.004523495840249773,-0.00036261301170196136,-0.0013859724608119603,-0.0010668189280606385,-0.0010408112857475576,0.0020824366057092935,-0.002153991589640905,-8.023467288357433e-05,-0.0005625379686662872,-0.0004330000556969212,-0.0004224440838502447,0.289399995028857
12,0.001309333507095005,-0.003213074065205625,-0.00020763576706574283,-0.0008821867717706105,-0.0006828139386062346,-0.0006767386848188617,0.0008275009045990699,-0.004359888520120435,-0.00037091148420170843,-0.0012771443285766882,-0.0009885117041755166,-0.0009797165417819173,0.0019205250279803777,-0.0020760852968072585,-8.725059996664125e-05,-0.000522007389498922,-0.00040403453442169624,-0.0004004396864013332,0.29751785031707956
13,0.001201920574242373,-0.0031015462159262232,-0.00021897071278327703,-0.0008106309568207299,-0.0006337126335835232,-0.0006411205971042798,0.0007640739504301451,-0.004208554009966258,-0.00038117714229614173,-0.001173872995206781,-0.000917677940900029,-0.0009284053973995913,0.0017657357714248394,-0.00200402305255934,-9.510411741961716e-05,-0.00048086959902525364,-0.00037592092609403964,-0.0003803153603527447,0.3055725719831282
14,0.0010995307214211065,-0.002996669889213535,-0.0002316871223672789,-0.0007423623382342338,-0.0005886012321533059,-0.0006107979563256636,0.0007031067086768211,-0.004066245092217178,-0.00039338991621278556,-0.001075308168760906,-0.0008525859684404944,-0.000884737813426383,0.0016217648862077209,-0.0019362586016152458,-0.00010388218884082609,-0.00044148259175320735,-0.0003500409221974584,-0.00036324130536796295,0.3135703148997858
15,0.0010021783408593104,-0.002896466319725305,-0.00024585030800828005,-0.0006773890850131706,-0.0005468223921234447,-0.0005848290594647717,0.0006362703043193415,-0.0039302767381049096,-0.0004075215684820618,-0.0009814652913736602,-0.000792287933610037,-0.0008473555832985051,0.0014885839764035953,-0.0018715133909290413,-0.00011367182199819525,-0.0004038641788847414,-0.000326019390150686,-0.0003486792348950874,0.32151639524939335
16,0.0009099607006326043,-0.00279977136340136,-0.0002615172431445545,-0.0006157769837831812,-0.0005079433649277539,-0.0005624235255913825,0.0005701187705122615,-0.0037990692958004835,-0.00042353570397957825,-0.0008924433181083591,-0.0007361604508538489,-0.0008151183473556201,0.0013611833358646431,-0.001809035224218398,-0.00012455933867872466,-0.0003680666955447043,-0.0003036116009146664,-0.00033617587862607074,0.32941543677300666
17,0.0008230085273673502,-0.0027052158052640915,-0.00027873037985470757,-0.0005576162214492439,-0.00047154283695733523,-0.0005429054237244015,0.0005088118266572518,-0.003670764848386547,-0.0004413785815722622,-0.0008083766861334778,-0.0006835960311894305,-0.00078705043080274,0.0012398898674271103,-0.0017479394013408679,-0.00013662677045395608,-0.0003341575667350833,-0.00028257715781563534,-0.00032534196169459623,0.33727148622452763
18,0.000741438491979425,-0.0026120710745590656,-0.00029751734733326145,-0.0005029892587562116,-0.0004373556668329517,-0.0005256980653026341,0.0004522722169268577,-0.00354437478271448,-0.00046098023456487956,-0.000729388786564304,-0.0006342129848202635,-0.0007623190103471676,0.001125016953959735,-0.0016877551659427955,-0.0001499507116832131,-0.00030220023092857084,-0.0002627670098595419,-0.0003158438753264869,0.3450881055544202
19,0.0006653256676817784,-0.0025197159917668844,-0.0003178912335304218,-0.0004519520421587141,-0.0004051618181045797,-0.0005103118580849609,0.0004003966542005778,-0.003419056207085993,-0.00048225631544476,-0.0006555647055417491,-0.0005876946295315403,-0.0007402166862262952,0.001016822103576759,-0.0016280811510962087,-0.00016460145908309175,-0.00027224280209695555,-0.00024405772819752504,-0.0003073970625838337,0.35286844627337066
20,0.0005946940291911087,-0.0024278122435637114,-0.0003398483618758126,-0.00040452733473109393,-0.00037480771753559605,-0.0004963298011930553,0.00035305170472028875,-0.0032943500569582616,-0.0005051059781692886,-0.00058694150217219,-0.0005438203697713265,-0.0007201406037956038,0.0009154905094471244,-0.0015686987601229482,-0.0001806408513857442,-0.0002443138715289925,-0.0002263647390130939,-0.0002997578775864361,0.3606153100039177
