,UP,DO,ST,UPb,DOb,STb,UP_min,DO_min,ST_min,UPb_min,DOb_min,STb_min,UP_max,DO_max,ST_max,UPb_max,DOb_max,STb_max,zs
0,0.006092966425915496,-0.010354404385495173,-0.00026585106744650227,-0.004193642721552491,-0.0039009439733733242,-0.003884234070050732,0.003730138786982566,-0.014542811966956948,-0.0006018747444210588,-0.0061422405401834555,-0.0057135378021348805,-0.005689063555656256,0.008528016125628248,-0.007799272211956404,-7.60116947002766e-05,-0.002192158436117984,-0.0020391549323229355,-0.002030420102494186,0.19221956458683565
1,0.005252938096578169,-0.009087265808053562,-0.0002610751562405957,-0.0036083264048641264,-0.003280433060680981,-0.003250242333961309,0.003270296601380828,-0.012763109592803495,-0.0005674892794430101,-0.005243429711530219,-0.004766952389305362,-0.004723080816799831,0.007285197381807136,-0.006844822460159724,-7.890251764807791e-05,-0.0019189021798595922,-0.0017445290266807905,-0.0017284736467584449,0.20212072553075822
2,0.004624521721220201,-0.008123635219588934,-0.00025880485858005504,-0.0031706711685064,-0.00281050925284513,-0.0027675822844939663,0.002927672390390881,-0.011409685684299368,-0.0005415916546527455,-0.004572782162776383,-0.004053352081219534,-0.003991442263157027,0.006355290827179112,-0.006118984740152235,-8.237001814292333e-05,-0.0017153250699291206,-0.001520478385951325,-0.0014972550048198499,0.2116705910492675
3,0.004138643554079449,-0.007373861111018037,-0.00025852163755662365,-0.002832438375794058,-0.002445293742709462,-0.0023913901800990513,0.002664238482114575,-0.0103566242552988,-0.0005220813817015355,-0.004054287907801029,-0.0035001378800727408,-0.0034229815458179788,0.005635888676301671,-0.005554230636245202,-8.636857278317908e-05,-0.0015588066929298641,-0.0013457451660343455,-0.0013160798307218636,0.2209434705523342
4,0.003750207988118088,-0.0067793498738166515,-0.00025993271652745775,-0.0025621857138297417,-0.002155129810552746,-0.0020927449419547092,0.0024381216847362028,-0.009521630293987596,-0.0005076396815349664,-0.003639921028061407,-0.003061644701744756,-0.002973018809477397,0.005060558600159968,-0.005106425547765565,-9.08949821340609e-05,-0.001434410426371965,-0.001206524825174057,-0.0011715993685680593,0.22999185713712164
5,0.0034289950327347327,-0.006299860839152599,-0.0002628747208653772,-0.0023388770651767087,-0.001919984724841535,-0.0018521280141254495,0.002248799496439007,-0.008848185582758699,-0.0004973999713731152,-0.003297736299691228,-0.002707112492671449,-0.0026114368620716957,0.004585097773800789,-0.004745258901692537,-9.597223825832485e-05,-0.001331991365450638,-0.0010934320205892587,-0.00105478759839733,0.23885436328995668
6,0.0031542429683972914,-0.005906938137988448,-0.00026729072480489736,-0.002148084700418378,-0.0017259501069870373,-0.001656052369205365,0.0020867270453987946,-0.008296323713370662,-0.0004908238941908205,-0.00300597049378105,-0.0024152469845955303,-0.002317434017856915,0.004194244670436509,-0.0044492968172940095,-0.00010165155328755838,-0.0012310065137804659,-0.0009890931320107256,-0.0009490367178055509,0.24756030448440192
7,0.0029121612543350525,-0.005579851152764536,-0.0002731777878438464,-0.001980231453844387,-0.0015631167858747587,-0.0014947866692100085,0.0019434699093002195,-0.007836928431338444,-0.00048755220663736253,-0.002750232959008084,-0.002170925673837604,-0.0020760257879785895,0.003884972977066492,-0.004202924323061213,-0.00010800018359527215,-0.0011369909822355267,-0.0008974959398156513,-0.000858262785371965,0.256132511554769
8,0.002693218195243267,-0.005303097267700314,-0.00028058171138760666,-0.0018287030893186806,-0.001424271273434586,-0.0013611881366773803,0.001813148937572324,-0.007448226236429787,-0.00048736585586012433,-0.002520637169967378,-0.0019631787865976315,-0.001876226618015913,0.0036046320196641947,-0.003994464347482507,-0.0001151036055569419,-0.0010520056129904732,-0.0008193464443878149,-0.0007830563465905004,0.26458914126473776
9,0.0024910825670535963,-0.005064975857645598,-0.00028957114530680464,-0.0016891032036531215,-0.001304109922348645,-0.0012498320085925618,0.0016918406877681539,-0.007113783542982021,-0.0004901203259347641,-0.002310619323071048,-0.0017839653488729526,-0.0017097155362685208,0.0033450145448533594,-0.003815103601333437,-0.000123058288342472,-0.0009735695934415432,-0.0007516661883999301,-0.0007203813466483558,0.2729448885311688
10,0.0023017098420612977,-0.004856450025375658,-0.00030023208569269046,-0.0015586151324323647,-0.0011986643310549817,-0.001156528068112739,0.0015770421243545127,-0.006820907984325742,-0.0004957248417586259,-0.002115952064978346,-0.001627288362428201,-0.0015700848163263679,0.00310088328006288,-0.003658035201399563,-0.0001319710349489614,-0.00090009487592488,-0.0006922245266878492,-0.0006678909798258036,0.2812118249476765
11,0.002122589224459658,-0.0046704118389964055,-0.000312663494991128,-0.0014354796792245663,-0.0011049259173201936,-0.0010779892767298765,0.0014672159231079941,-0.006559616435100838,-0.0005041271560343226,-0.001935122387498846,-0.0014895138608224847,-0.0014532014720058837,0.0028690027836063615,-0.0035179052235301414,-0.0001419582978490342,-0.0008305926868059127,-0.0006393287203370407,-0.0006237427270239744,0.289399995028857
