,UP,DO,ST,UPb,DOb,STb,UP_min,DO_min,ST_min,UPb_min,DOb_min,STb_min,UP_max,DO_max,ST_max,UPb_max,DOb_max,STb_max,zs
0,0.007593308469750377,-0.015726760475207043,-0.000819131986583173,-0.004516506655586033,-0.0035711648571800135,-0.0036881275268931656,0.007019283198150908,-0.017459996293917573,-0.0012311820957078127,-0.004862144494527422,-0.003844457868320052,-0.003970371421421468,0.008151259499038702,-0.013959472932596367,-0.0005449175333766842,-0.004223997730655237,-0.0033398804436316786,-0.0034492680941134264,0.22
1,0.006939360516553907,-0.0150428013541596,-0.0008513383435288399,-0.0041406925312228665,-0.0033166454603124544,-0.003501598471717777,0.006414791693356643,-0.01670065849275339,-0.0012687913685390706,-0.0044577139046548305,-0.003570575809182048,-0.00376968926772368,0.007449810052559607,-0.01335237340613534,-0.0005723029422299742,-0.0038728621300763463,-0.0031021164950734126,-0.0032751062807950073,0.22737373737373737
2,0.006325826430661284,-0.014390341914361858,-0.0008857951856097933,-0.0037867442667006523,-0.003079770772929768,-0.0033337440533484806,0.005847655480787023,-0.015976291931772236,-0.0013093580517187992,-0.004076799212212669,-0.003315673353303903,-0.003589100338759197,0.006791651621970858,-0.012773233798596195,-0.0006015321720014026,-0.0035421212816321075,-0.00288081814588655,-0.0031183847989737037,0.23474747474747476
3,0.005751491731443275,-0.01376475771115225,-0.0009225557098702857,-0.0034541236984351534,-0.002858694038267342,-0.003181957171924428,0.0053167521911908905,-0.015281762509340161,-0.0013528978241245948,-0.0037188229791442207,-0.0030777638579265153,-0.0034257995609613436,0.006175488576062026,-0.012217949335179109,-0.0006326794900401958,-0.0032312763783395285,-0.0026742616435358434,-0.0029766690322021432,0.24212121212121213
4,0.005215261968854288,-0.013163240336255115,-0.0009616879691634594,-0.0031423602288113773,-0.0026520772231926584,-0.0030440842036590413,0.004821070404509592,-0.014613952304372138,-0.0013994502359046378,-0.0033832804730071176,-0.0028554081737244565,-0.003277469766196962,0.005600153932411425,-0.011684027201208766,-0.0006658294022212394,-0.002939891730533333,-0.0024811986307976884,-0.0028479478244827134,0.2494949494949495
5,0.004716065020806507,-0.012582978061107274,-0.0010031992026707996,-0.0028509928262099057,-0.0024586740144540518,-0.0029181150529130535,0.004359619333390186,-0.01396973970956894,-0.0014489683165512593,-0.003069677229581513,-0.0026472657411652474,-0.003141948043108384,0.005064504480779991,-0.01116897163483813,-0.000701024301018363,-0.0026675405250253625,-0.0023004661783389896,-0.002730343650383843,0.25686868686868686
6,0.004252811983437955,-0.012021859072404795,-0.0010470978269177399,-0.002579546420923782,-0.0022774592412093853,-0.002802366338722609,0.003931392669488251,-0.01334678017008609,-0.00150141045366814,-0.002777503638604911,-0.002452233957847564,-0.003017423000947014,0.004567378785835086,-0.010670908136821066,-0.0007383062787505264,-0.0024137827407202384,-0.0021311079205763406,-0.0026222840754932335,0.2642424242424242
7,0.0038242261580101323,-0.0114778756923567,-0.0010933394947485694,-0.002327427548037174,-0.0021074952550340785,-0.0026952907939784164,0.003535210494260908,-0.01274284474329773,-0.001556663150890018,-0.002506122571242128,-0.002269304336403871,-0.0029022295884342337,0.00410741349934735,-0.010188054641243576,-0.0007776788867551127,-0.002178067481208953,-0.001972249097791713,-0.0025223235136651754,0.27161616161616164
8,0.0034290373672124807,-0.010949863712124513,-0.0011418422494598466,-0.0020940409455001527,-0.001948057602303947,-0.0025955170060052153,0.0031698989073176043,-0.012156640913683119,-0.0016145647045538556,-0.0022548949120658264,-0.0020976978436289145,-0.0027948919067690993,0.0036832519982590325,-0.009719377766704937,-0.0008191164825074701,-0.0019598420472080897,-0.001823214205807597,-0.0024291804673369044,0.278989898989899
9,0.0030659092514124103,-0.010436801849142082,-0.0011925196036891275,-0.0018787448967696795,-0.0017984880463411514,-0.002501905861992138,0.0028342228166696403,-0.011587034843803317,-0.0016749529866523386,-0.002023131468278876,-0.001936706664184352,-0.0026941840208166406,0.0032934662814741405,-0.009263970996802033,-0.0008625871624766208,-0.0017585101338874537,-0.001683389512117505,-0.002341790426103263,0.2863636363636364
