pt,max_up,min_up,max_do,min_do,max_st,min_st,max_sea,min_sea,ctr_up,ctr_do,ctr_st,ctr_sea
0.1,0.0277645081299437,0.004555582832983362,-0.0213278018455899,-0.09432551120479192,-0.003758609874270827,-0.02591377962703401,-0.0030145864864662753,-0.016444840668801284,0.012472279792204,-0.04846101881469885,-0.01036578076177201,-0.00736866304042824
0.11836734693877551,0.029754503554935235,0.005112112127658048,-0.023924689539366183,-0.1007310547383466,-0.004229088078375171,-0.02771164673607965,-0.00337850797372504,-0.01760986237202007,0.013746707270460129,-0.053412804296639665,-0.011424964492130466,-0.00812159889603677
0.13673469387755102,0.03060329736303171,0.005548467023125408,-0.025886748844422082,-0.10317946023966608,-0.004604453372776057,-0.028430863722080483,-0.0036277989659105714,-0.0180958274493977,0.014610160507053493,-0.05676775016389954,-0.01214258525575091,-0.00863172984704387
0.15510204081632656,0.030395802203123774,0.005860557714985105,-0.027246382056760714,-0.10199898805567302,-0.004880882837919431,-0.028157299789707886,-0.003785162659095582,-0.017954536937585513,0.01506578748378029,-0.05853808789360981,-0.012521259357726326,-0.008900915731225797
0.17346938775510207,0.02927274398927116,0.006048849075128193,-0.028010113597117567,-0.09872584672781853,-0.00505803935246624,-0.027029608220104143,-0.003853217419192875,-0.017271013047689476,0.015135047832862108,-0.05880719884492639,-0.012578822017162069,-0.008941834968362006
0.19183673469387758,0.027423743779795902,0.006118028048555524,-0.02820542478701134,-0.09390338270710587,-0.005136185288619846,-0.02522164116230828,-0.0038379310374833616,-0.016152743901412327,0.014854838006336265,-0.05771844411030118,-0.012345938079545737,-0.00877628610105898
0.21020408163265308,0.025217979079758007,0.006076478162274721,-0.027877833172925755,-0.08716650354402802,-0.005115925573825105,-0.02292390650417722,-0.0037480238984060944,-0.01472666902488849,0.014273847506204175,-0.055461006654828005,-0.011863073659457444,-0.008433035043795237
0.2285714285714286,0.02292473510709866,0.005913676343500744,-0.027087252987631698,-0.07908734863896139,-0.005012958139231051,-0.020326218624609947,-0.0035942646572684994,-0.013126903544965754,0.01344851027536854,-0.052254160453622855,-0.011177131319171123,-0.007945423151657494
0.2469387755102041,0.020649012650286572,0.005643763851284254,-0.02590392744185208,-0.07050016623942751,-0.004837994677653645,-0.01772940905938622,-0.0033887177129890878,-0.011601316735860998,0.012438912770839722,-0.048331371318245525,-0.010338049245650021,-0.007348949696822061
0.2653061224489796,0.01825362621862918,0.00530530303011698,-0.02440422679985142,-0.06225781657762892,-0.004603013271298044,-0.015223759921061427,-0.003143999417705899,-0.0101698282671478,0.011304981782581422,-0.043925484674257324,-0.009395632925691252,-0.006679019619660226
0.2836734693877551,0.015835719344403608,0.0049159161685898125,-0.022666585774948452,-0.054239611072163255,-0.004320633533972334,-0.012919623011560443,-0.002872592859784714,-0.008860562662625549,0.010103209168878548,-0.03925599952687889,-0.008396833055363427,-0.005969008491852906
0.3020408163265306,0.013490474349114484,0.004438836530660201,-0.020767813885560697,-0.047426393554969935,-0.004003529218843913,-0.010962239851005744,-0.0025862604180078037,-0.007654051146783109,0.00888408809002073,-0.0345191069519662,-0.007383614779632141,-0.005248747834999959
0.3204081632653062,0.01147233620478023,0.0038858404830379428,-0.01843519251093698,-0.04080839993290447,-0.0036639074339606427,-0.009145439106490787,-0.002274121935530405,-0.006594467651636767,0.007690347363856983,-0.029880829687960814,-0.006391490255489688,-0.0045434819721995555
0.3387755102040817,0.009713341142803188,0.003263504041953455,-0.015585615457540357,-0.03456881091880063,-0.0033130758621490613,-0.0075201395368614445,-0.0018809118770249044,-0.00564644328908688,0.006555987594890726,-0.025473277017367863,-0.005448717573511497,-0.003873298570015528
0.3571428571428572,0.008269754345279082,0.0026519639976814494,-0.012228209652920392,-0.029623511304370014,-0.002950259150534206,-0.006244646506574298,-0.0014869263718825445,-0.004909776730680847,0.005506052924134943,-0.021393757901263317,-0.004576111057897521,-0.003252993787557214
0.3755102040816327,0.00701426193305838,0.002005093523342621,-0.0092335717333875,-0.025300717837205788,-0.002382991349949766,-0.005166228609325688,-0.0011454921304562468,-0.004214950099456051,0.0045570209020643114,-0.017706295829889324,-0.003787365292040472,-0.002692302614674299
0.3938775510204082,0.0058783649710723584,0.0014644409598568347,-0.006657451451107846,-0.02179808725704798,-0.0017588916370265752,-0.004268268404723143,-0.0008536200953602435,-0.0036318944383794045,0.0037176623088229156,-0.014444969652394833,-0.0030897697198590222,-0.002196406856502668
0.41224489795918373,0.00486556193487023,0.0010489577530858516,-0.004676432823793073,-0.018564295619431303,-0.0012605625672423232,-0.003509254920045791,-0.0006244578319540941,-0.0031086114144016417,0.002990212121580291,-0.011618463368214415,-0.0024851818432480104,-0.0017666269447468481
