z1,max_up,min_up,max_do,min_do,max_st,min_st,max_sea,min_sea,ctr_up,ctr_do,ctr_st,ctr_sea
0.25,0.08702377959915937,0.05139189798464173,-0.06839353710804442,-0.15784640285705934,-0.0010400164247746106,-0.009030417118128995,-0.03302713083751623,-0.0603611671805235,0.06981248967989222,-0.11392953314672578,-0.003310892789121235,-0.047222043198631554
0.26326530612244897,0.06165449341521018,0.038356142540288914,-0.05092506530664023,-0.11753067195830882,-0.001041144914638832,-0.007746765020118249,-0.024582003707903744,-0.043555228796401335,0.050606237530567595,-0.08483066033982954,-0.003059800732698681,-0.03429257056653898
0.27653061224489794,0.047172559656635304,0.03018150390730691,-0.04018554831033908,-0.0927447901635069,-0.0010631399142742555,-0.006900678034132251,-0.019374699518266796,-0.033469060307095885,0.039053673602207996,-0.06694083903000282,-0.00291113722106717,-0.026519608001039648
0.28979591836734697,0.037765253399235865,0.024477737424394214,-0.03310029171120053,-0.07639262715537792,-0.0011032950182717723,-0.0063360515356143425,-0.01573335668338044,-0.026793210517538156,0.03131040651145588,-0.05513826219749583,-0.0028355033890745496,-0.021311731746503988
0.30306122448979594,0.031225955716508588,0.02000372924813295,-0.02813716624158798,-0.06493816032368002,-0.0011620475544284537,-0.005972342151566701,-0.012939481653660042,-0.02211845942992875,0.02559564061647375,-0.046870718338661334,-0.002819688481548613,-0.017467427118995738
0.3163265306122449,0.026077651400399072,0.015704806603188962,-0.02446360817244438,-0.056459904169376816,-0.001241935282673764,-0.005766540103807362,-0.010418294095765866,-0.01838643886027749,0.02105943615057119,-0.04075132791813443,-0.0028591625596741336,-0.014412673447877566
0.3295918367346939,0.022190347573407033,0.012163051419408143,-0.02159970993253949,-0.04985027328271107,-0.0013461372147265196,-0.005691711140747946,-0.008238937113105102,-0.015391632324692796,0.017293860357361284,-0.035980663857630435,-0.002952391401562686,-0.0118719399821094
0.34285714285714286,0.018799810387801142,0.009330970567328411,-0.019258802881467526,-0.04444766109070359,-0.0014780022947599289,-0.005731781429776459,-0.006372214062577814,-0.012861435234774642,0.014103387512755562,-0.032081195300430486,-0.0030989907986672433,-0.00971355714501003
0.35612244897959183,0.015778114424205868,0.007083614868807431,-0.01726449979483844,-0.03984498104604034,-0.0016404793966796854,-0.005875748497842321,-0.004858002892077754,-0.010685529360558853,0.011389600955138785,-0.02875909749382352,-0.003298232683985719,-0.007871883419059504
0.3693877551020408,0.013099757848085258,0.005313851059640532,-0.01551114524577241,-0.03579838950821824,-0.0018357823703212814,-0.006102948505714502,-0.003638331837003549,-0.008793644813970571,0.009095275963452464,-0.025838370278031007,-0.0035483930228624285,-0.006309417015184574
