pt,max_up,min_up,max_do,min_do,max_st,min_st,max_sea,min_sea,ctr_up,ctr_do,ctr_st,ctr_sea
0.1,0.00854579554617205,0.0027977892475014934,-0.008512692109234431,-0.025082340046691316,-0.0016988776900151228,-0.006105136289321764,-0.0013190127281528926,-0.004783179275435632,0.0052456219474332644,-0.01524699503117913,-0.0033899180265119944,-0.0027384808352713874
0.11836734693877551,0.009672557074559565,0.0032007086005923164,-0.009727803724697288,-0.02834415040153092,-0.0019437754323493512,-0.006902967440295539,-0.0015079134033692222,-0.0054060057312597075,0.0059731065464246405,-0.017361511513158595,-0.0038600459123649595,-0.003118264710712083
0.13673469387755102,0.010604109303438062,0.0035530582113187663,-0.010784659094155586,-0.031016035116171955,-0.0021580624014065418,-0.007558662538687008,-0.0016725448354664343,-0.005916632986682128,0.006594584614483041,-0.019167907992094668,-0.0042616683943327805,-0.003442707797914007
0.15510204081632656,0.011329957140578766,0.003842101843065929,-0.011671290453965786,-0.033068435148934615,-0.002339337738226894,-0.008064915896257121,-0.0018110488818638012,-0.006309400990839731,0.0071028987301759135,-0.02064538061095919,-0.0045901600777185645,-0.003708073559700172
0.17346938775510207,0.011846173212467098,0.004068814330354435,-0.012380173460329774,-0.03449213679126955,-0.0024860361401925573,-0.008419281828328753,-0.0019222425063848186,-0.006582510532570746,0.007494097830487085,-0.02178244515705457,-0.00484296763712513,-0.003912299340687257
0.19183673469387758,0.012155160025477575,0.0042346748456009555,-0.012908239947085566,-0.035297398494055957,-0.002597434362096051,-0.00862397762180443,-0.0020056208296313537,-0.006737859957633189,0.007767400560235633,-0.022576830532943657,-0.005019586131472186,-0.004054977233822497
0.21020408163265308,0.012265151658231466,0.004340325612114417,-0.013256736564187117,-0.03551225800296748,-0.0026700122921286176,-0.0086854917486851,-0.0020613369388107292,-0.006780726553532986,0.00792504073111695,-0.02303502956562799,-0.005121459133821218,-0.004137273402161243
0.2285714285714286,0.012203863108831897,0.0043877874671907945,-0.013430942889975534,-0.03518016331596653,-0.0026980645682663936,-0.008614030486230889,-0.0020901604388004332,-0.006719319600553087,0.007972008345246733,-0.023171546262111157,-0.005151811371057591,-0.00416179288001568
0.2469387755102041,0.012008693131625055,0.004380311614391912,-0.013439768296450081,-0.03435710109187992,-0.002692229928966087,-0.00842284329797357,-0.0020912157614402125,-0.006564237802805946,0.007915704074602844,-0.02300789151471526,-0.005115425435521628,-0.004132399193690711
0.2653061224489796,0.01166677226942965,0.0043221980980299385,-0.01329525122009172,-0.033128524651593584,-0.0026551971487048837,-0.008133656219721308,-0.002063307320745227,-0.006349512135387379,0.0077655282403573,-0.02257138842290069,-0.0050183761680073075,-0.0040539997878388375
0.2836734693877551,0.011200812741389692,0.004218590759053484,-0.013011987381104827,-0.03190663843951023,-0.0025901746325054376,-0.007793874254095533,-0.0020136759485451148,-0.006077787024725341,0.007532427092319605,-0.021893853503017275,-0.004867737446488256,-0.0039323091603064185
0.3020408163265306,0.010640027951270229,0.0040752588171653155,-0.01260651483410987,-0.030387715935386365,-0.0025007539711490107,-0.007382629186143383,-0.0019428943773564533,-0.00575055459194622,0.00722841953933513,-0.02101022107653956,-0.0046712763415163025,-0.0037736017913864955
0.3204081632653062,0.009998137991212866,0.0038983750494814705,-0.012048023218984157,-0.028633119839535894,-0.0023907716209922306,-0.00691630837886506,-0.0018507339605691364,-0.005380822567577882,0.0068661265137858465,-0.019957175314619244,-0.004437148973875935,-0.003584466448206711
0.3387755102040817,0.009297326576520897,0.003694299855422086,-0.0113440117394889,-0.026703756960410444,-0.0022641745114986536,-0.006410955355742738,-0.0017408324737607415,-0.005014394335700938,0.006458323037183458,-0.01877184826593694,-0.004173611042537759,-0.003371572340239375
0.3571428571428572,0.008564246435461786,0.0034693793926876175,-0.010581147290489732,-0.024658131915018682,-0.0021248946779617254,-0.005901976508003402,-0.0016193415098700438,-0.004639303447982988,0.006017530022207513,-0.017490633383037264,-0.003888754031795938,-0.0031414560192521627
0.3755102040816327,0.007850742690424451,0.0032297645418213113,-0.009780078984920669,-0.022570902463560374,-0.001966806920934912,-0.005386150354427179,-0.0014924538000888922,-0.004253949278982368,0.00555565917271346,-0.01614815338393475,-0.0035902757323091794,-0.0029003359990934716
0.3938775510204082,0.0071302677556103295,0.002981255819713247,-0.008916497323035543,-0.02069785205742156,-0.0017991347443789035,-0.004904321713228987,-0.0013631831836909713,-0.0038710049581224437,0.0050837203168976755,-0.01477640958277033,-0.0032852911087939093,-0.002653959968753768
0.41224489795918373,0.006417550637473125,0.002729177630400907,-0.008006261009487243,-0.01881783423711444,-0.0016314822831260025,-0.004452931139945614,-0.0012342219985294748,-0.0035055541803824157,0.004611596413155894,-0.013404127918825004,-0.0029801869003549847,-0.0024074873340068034
0.43061224489795924,0.005742536349424298,0.0024598925455362906,-0.0071247426233824246,-0.01696541374821362,-0.0014668989338890086,-0.00400901014497308,-0.0011078999326352755,-0.00316324018966259,0.004147887559938519,-0.012056305553475439,-0.002680520813792275,-0.0021654077826386746
0.44897959183673475,0.005136645999124798,0.0021857133337805073,-0.006284702236003928,-0.015169869460193504,-0.0013079444451054867,-0.0035877315514271577,-0.0009861616130566757,-0.0028310452946018975,0.0036998218346534144,-0.010753951713354259,-0.0023909639043490846,-0.0019314947378307802
0.46734693877551026,0.004562783614423666,0.0019259359027774122,-0.0054959118390796235,-0.013472114462713654,-0.0011566796973858666,-0.0031932919621253837,-0.0008705613687625541,-0.0025134141982646892,0.003273227844212161,-0.009514007905400034,-0.0021152828368436218,-0.0017087910281520949
0.48571428571428577,0.0040264375008469255,0.0016771801210510456,-0.004765302032325376,-0.011948747458395245,-0.0010062117071614053,-0.002820071808129584,-0.000762272982700853,-0.002213808271794387,0.0028725615950771794,-0.008349426017696246,-0.0018563572501031943,-0.0014996229150872373
0.5040816326530613,0.003552290166452755,0.0014331039667667112,-0.004097194472017179,-0.010548287080406416,-0.000864593833459065,-0.002471350852949106,-0.0006621118328425911,-0.0019487383944513015,0.0025009787296811424,-0.007269378282815756,-0.001616226438852994,-0.0013056378041128975
0.5224489795918368,0.003118436323160925,0.001206122542875045,-0.0034935960654632774,-0.009274783401005713,-0.0007319782817535197,-0.00214934354970559,-0.0005669371446052663,-0.0017028009640821075,0.002160442321538196,-0.006279570596535264,-0.001396159014967772,-0.001127860519215742
0.5408163265306123,0.0027179883022918944,0.001006310559975107,-0.0029545316589985773,-0.008097159242302436,-0.0006144735133410422,-0.001855300859188399,-0.0004715421750563695,-0.0014788758803202856,0.0018518562206199924,-0.005382630101291797,-0.0011967390802647905,-0.0009667629159450532
0.5591836734693878,0.0023522118086376225,0.0008324063184305286,-0.0024228710863163252,-0.0070194734791799605,-0.0005083549086127564,-0.0015896291252447431,-0.00038879628159291767,-0.0012780436195342511,0.001575214306083835,-0.00457853900616197,-0.0010179626792254854,-0.000822341798910353
0.5775510204081633,0.002021416525532762,0.0006827062083305982,-0.001967305450947651,-0.006103277030728981,-0.0004163800328712129,-0.0013621336122686236,-0.00031781324786076687,-0.0010967045266584636,0.0013297568242949718,-0.0038650890010521314,-0.0008593388305004638,-0.000694200538162105
