z1,max_up,min_up,max_do,min_do,max_st,min_st,max_sea,min_sea,ctr_up,ctr_do,ctr_st,ctr_sea
0.25,0.07215808120781247,0.03514676434297494,-0.0542838981207764,-0.1155711262626381,-0.0009086171447764317,-0.0056724106648373875,-0.022612000823919714,-0.049441025038834865,0.051979734563900024,-0.08482761349881425,-0.0024651653183716984,-0.03515974408425765
0.26326530612244897,0.045514732233699486,0.02362225308828289,-0.03641040261387095,-0.07751822148805149,-0.0008193884464433307,-0.004396819602246065,-0.01504940497556193,-0.03207163428286954,0.033942427995965724,-0.05689730596343338,-0.0020522582021414958,-0.023000585778546568
0.27653061224489794,0.03093829266361176,0.017105963891085797,-0.026196581304667357,-0.05577286286395884,-0.0007628689015297505,-0.003580624083831957,-0.010793183291312883,-0.022424407425341648,0.023882598735022454,-0.04093651249876015,-0.001780255625155959,-0.01621760766861923
0.28979591836734697,0.022328263767552668,0.01298051731721195,-0.019862616661483135,-0.042287769625226276,-0.0007287541890519218,-0.003033630413434421,-0.00812102814566205,-0.016449614557874567,0.017625372942235484,-0.031038639957039642,-0.001596172336284616,-0.011996880971174155
0.30306122448979594,0.016877404130451107,0.009710645370051103,-0.015663022511401305,-0.033346778971034816,-0.0007120391676225991,-0.002664518307571402,-0.006217291899607889,-0.012402289502784155,0.013366145623830967,-0.024476076070739143,-0.0014724525720196573,-0.009121560114259651
0.3163265306122449,0.013072076409439649,0.007256554247630482,-0.01271396513946644,-0.027068197408425896,-0.0007081585221963816,-0.0024122702733816227,-0.0046877603070527235,-0.009585273623840911,0.010267204503190543,-0.019867683755660104,-0.001393940773064993,-0.007026677479351685
0.3295918367346939,0.01022080984235271,0.0053931988582792915,-0.010536631727318517,-0.022432626209553243,-0.0007170146537618405,-0.0022437382071410724,-0.003535043503234775,-0.00750259698949618,0.007913904388660332,-0.016465238398239317,-0.0013510542346853445,-0.005432760296710477
0.34285714285714286,0.008035294851853489,0.003936672352260591,-0.008858432218691446,-0.018859717593559727,-0.0007390120195018812,-0.002143927202055772,-0.0026210864438873343,-0.005860318844699561,0.006085496073313017,-0.013842772727572391,-0.0013371891199519322,-0.0041913202633337195
0.35612244897959183,0.0062985692264033305,0.0028515736678853903,-0.007517264073328142,-0.016004353140506813,-0.0007732477703544581,-0.0020967578069806376,-0.00191886618843598,-0.004552298240134458,0.004652209720286153,-0.011746974580971402,-0.0013471999776498646,-0.0032153587033780127
0.3693877551020408,0.004900117740587252,0.0020482671117530234,-0.006415200645347271,-0.013658045745609814,-0.0008179805791190366,-0.002083824078565438,-0.001393402911772421,-0.003509882601186293,0.003528801500385048,-0.010024817297573227,-0.0013767118967415834,-0.0024479389431617486
0.38265306122448983,0.003783696233585757,0.0014573216971599944,-0.005489320933903492,-0.011686835778388813,-0.0008721747243307018,-0.002096128255508001,-0.0010025372745444691,-0.002683289821892645,0.002653103268163719,-0.008577976355273867,-0.0014216529530342973,-0.0018476387576777842
0.39591836734693875,0.0029012291972666015,0.0010264595324382694,-0.004699462070154776,-0.010005215967872134,-0.000934699771151125,-0.0021260174971007542,-0.0007042526421400754,-0.0020397837525729955,0.001976167924265046,-0.007343690595920033,-0.0014781315694667838,-0.0013818525291201316
0.4091836734693878,0.002229655908838492,0.0007095157807372374,-0.004018723027969508,-0.008555913678982351,-0.001003693269198974,-0.0021667519295312065,-0.000488646351038318,-0.001547761582173137,0.00145810791279734,-0.006279922694883027,-0.001542306582814483,-0.0010239704757196936
