z1,max_up,min_up,max_do,min_do,max_st,min_st,max_sea,min_sea,ctr_up,ctr_do,ctr_st,ctr_sea
0.25,0.007066610722989683,0.0038502347429688927,-0.005606422439807967,-0.011936146409956213,-0.00015207871792124222,-0.000735337078706444,-0.0023705088552910224,-0.00495418010614321,0.005411505031120425,-0.008760966922032595,-0.00036051187683722413,-0.0035759492861706338
0.26326530612244897,0.005249776815905736,0.0030377736987244265,-0.004457653143918677,-0.009490401613838682,-0.00015674968215479893,-0.0006644115305817704,-0.0018479411505743922,-0.0037580941417717784,0.004139710691906562,-0.006965823956908927,-0.0003466180608536334,-0.00273720002052613
0.27653061224489794,0.004111802543552449,0.002376040231467007,-0.0037190500117779074,-0.007917905923630503,-0.00016595910239058362,-0.0006287582346461786,-0.001474254543749102,-0.0029374795376023066,0.003259618546054567,-0.00581163379755722,-0.0003454944792521906,-0.002158235102564263
0.28979591836734697,0.0032986739522145765,0.0018383182484472797,-0.0031931527666210586,-0.006798263837758753,-0.00017878237451008478,-0.0006149007350215237,-0.0011507864901697533,-0.002343590454967622,0.0025932154455017217,-0.004989831941084015,-0.0003536654729975944,-0.0017203040480141681
0.30306122448979594,0.0026630168493380437,0.001415160596592905,-0.0027896960062238287,-0.005939299138988583,-0.00019517060215541187,-0.0006163578951906904,-0.0008962099899726865,-0.0018941521500314554,0.0020655445020190248,-0.004359363693237955,-0.00036949193735978756,-0.0013734771543043997
0.3163265306122449,0.0021580702509576915,0.001067691865891326,-0.0024624070234389775,-0.005242496631002863,-0.00021559269095483379,-0.0006309459768811435,-0.0006875726347834357,-0.0015260359694687176,0.001639490763839928,-0.003847920257979803,-0.00039201585368519595,-0.001093120535505624
0.3295918367346939,0.0017448152299782227,0.0007990567420473302,-0.0021856397563463897,-0.004653255513879026,-0.00024007527509826277,-0.00065720985033277,-0.0005197309636299711,-0.0012224208800260662,0.0012934464692878336,-0.0034154254008525935,-0.00042050628552694845,-0.0008649862593532458
0.34285714285714286,0.0014004739246082792,0.0005934145120362088,-0.0019445104259472085,-0.004139888028235559,-0.0002684042541396627,-0.000690788769299313,-0.00038995887797135874,-0.0009723033703496831,0.0010129044476688102,-0.0030386207432942787,-0.00045428565925174246,-0.0006795866774276792
0.35612244897959183,0.001115705846797855,0.0004369239041916621,-0.0017301231210144605,-0.0036834546631820224,-0.0003003529544668278,-0.0007300022692837173,-0.00029017175624898226,-0.0007673535956045856,0.0007867785841736019,-0.002703604945397348,-0.0004926103277760186,-0.0005297214062446578
0.3693877551020408,0.0008837979099638538,0.00031881442294005695,-0.0015369629953482828,-0.00327221423931628,-0.00033581315521104976,-0.0007732392003971138,-0.0002118252597083004,-0.0006012927426984952,0.0006059996702877057,-0.0024017601433358386,-0.0005346431166487257,-0.0004095256789536594
0.38265306122448983,0.0007000444948123259,0.000229521285360833,-0.0013615934441243962,-0.0028988501801983373,-0.00037434199850077413,-0.0008188935193698313,-0.00015243322383664434,-0.0004717302810699521,0.0004628494836178769,-0.0021277160708636977,-0.0005794280765479624,-0.00031401604884272215
