had1,z1,pt,conv
300.0,0.25,0.01,-0.004883515505102677
300.0,0.25,0.07263157894736841,-0.03191235995406808
300.0,0.25,0.13526315789473686,-0.0462167425666701
300.0,0.25,0.19789473684210526,-0.04693195532809859
300.0,0.25,0.2605263157894737,-0.03975460642365272
300.0,0.25,0.3231578947368421,-0.03040002978537943
300.0,0.25,0.3857894736842105,-0.022070666908763813
300.0,0.25,0.4484210526315789,-0.015673957110590785
300.0,0.25,0.5110526315789473,-0.010948836950479943
300.0,0.25,0.5736842105263157,-0.007572216064671148
300.0,0.25,0.6363157894736842,-0.005180330131790679
300.0,0.25,0.6989473684210525,-0.003477141118628311
300.0,0.25,0.7615789473684209,-0.002248497944914026
300.0,0.25,0.8242105263157894,-0.001346541768376463
300.0,0.25,0.8868421052631578,-0.0006714219906615542
300.0,0.25,0.9494736842105262,-0.00015530813782539465
300.0,0.25,1.0121052631578946,0.0002477891328318659
300.0,0.25,1.0747368421052628,0.0005691691216850832
300.0,0.25,1.1373684210526314,0.0008301258023101577
300.0,0.25,1.2,0.0010455201230271437
300.0,0.35,0.01,-0.01179740626885458
300.0,0.35,0.07263157894736841,-0.07728437964857097
300.0,0.35,0.13526315789473686,-0.11261434778055461
300.0,0.35,0.19789473684210526,-0.11533128957574365
300.0,0.35,0.2605263157894737,-0.09862479738756764
300.0,0.35,0.3231578947368421,-0.07670744979131508
300.0,0.35,0.3857894736842105,-0.05633828840920335
300.0,0.35,0.4484210526315789,-0.04024957146404064
300.0,0.35,0.5110526315789473,-0.02846587109592693
300.0,0.35,0.5736842105263157,-0.020117857774654992
300.0,0.35,0.6363157894736842,-0.014268599208841888
300.0,0.35,0.6989473684210525,-0.010159703735077368
300.0,0.35,0.7615789473684209,-0.007246138771372111
300.0,0.35,0.8242105263157894,-0.005149791092748801
300.0,0.35,0.8868421052631578,-0.0036126719615450125
300.0,0.35,0.9494736842105262,-0.002463553552777233
300.0,0.35,1.0121052631578946,-0.001586939215857221
300.0,0.35,1.0747368421052628,-0.0009046370486581633
300.0,0.35,1.1373684210526314,-0.000363218050432788
300.0,0.35,1.2,7.360382880579212e-05
300.0,0.45,0.01,-0.02891055674059301
300.0,0.45,0.07263157894736841,-0.18996829404261917
