,NUP,NDO,NST,NSEA,AUP,ADO,AST,ASEA,BUP,BDO,BST,BSEA,PP,MSS,coef,chi_sq,chi
0,0.288221823781076,-0.2133535901184506,-0.24854782892466754,-0.10817561172505546,0.0,0.0,2.4784413033988706,2.4784413033988706,0.0,3.1795239703598677,0.0,0.0,1.9588957989718738,2.7701185102389023,,,1528.033373994308
1,-0.09202796233707364,-0.206958139900229,-0.4076946059807209,-0.10810473334636322,0.0,0.0,2.2730575929670174,2.2730575929670174,0.0,3.1585943638124583,0.0,0.0,2.0809081943863257,2.5974540574841365,,,1337.6311172218802
2,-0.0325747186240016,-0.1953356046089397,-0.270987331468157,-0.13618569696514482,0.0,0.0,2.57801674870919,2.57801674870919,0.0,3.1553672932826142,0.0,0.0,2.2074064052521347,2.7737410576411996,,,1398.1361315362342
3,0.03630464430042188,-0.2500433340223258,-0.22770590969097432,-0.11707344923891651,0.0,0.0,2.1275628126723114,2.1275628126723114,0.0,3.3426603125952727,0.0,0.0,2.466375322059602,2.574982040686602,,,1347.3245259728396
4,-0.11111531123938609,-0.21066242583395225,-0.3496234851142496,-0.09224605423604555,0.0,0.0,2.6565714694340077,2.6565714694340077,0.0,3.3987295311158428,0.0,0.0,3.2882996892244734,2.6857147389681715,,,1186.0968877729056
5,0.19124740445397692,-0.20995923920134074,-0.3704763254539405,-0.07635589781481682,0.0,0.0,2.6767944094266634,2.6767944094266634,0.0,3.7405301810571694,0.0,0.0,2.0443056395272126,2.703138980847868,,,1485.3119839783367
6,0.3129374349980475,-0.24177479967628038,-0.3685748939054927,-0.1138417782407317,0.0,0.0,2.4508146750033992,2.4508146750033992,0.0,3.307522109606725,0.0,0.0,-0.2814204944742684,2.7890111748352693,,,1565.1280592717712
7,-0.02320886596125682,-0.23306750169668694,-0.2348467688119569,-0.11283969719974501,0.0,0.0,2.4234262035492375,2.4234262035492375,0.0,3.1862287264243236,0.0,0.0,0.5359264123514422,2.5574807505601544,,,1619.9227646516847
8,0.1806990901552193,-0.28897033458449656,-0.33102419345998557,-0.10412148422091771,0.0,0.0,2.3692600615251815,2.3692600615251815,0.0,3.512936371175626,0.0,0.0,2.3258207365686276,2.7613033223229575,,,1428.9319570785583
9,0.15822058074677361,-0.24643284643181604,-0.3798036329448622,-0.10460587107329844,0.0,0.0,2.6259387462454358,2.6259387462454358,0.0,3.145634663873848,0.0,0.0,1.1183526891693374,2.83285814373151,,,1577.4046299633158
10,0.3253907670860754,-0.14547225792076643,-0.3506579179501744,-0.08792617265500234,0.0,0.0,2.2506108386322374,2.2506108386322374,0.0,3.5055695889061247,0.0,0.0,3.049535712820755,2.8418265913488563,,,1456.857192670338
11,-0.04932301211742013,-0.2352748032923132,-0.3837544561794799,-0.12739157165624554,0.0,0.0,2.51689385939314,2.51689385939314,0.0,3.471647421524159,0.0,0.0,0.9476275572799777,2.6879973303375078,,,1594.1218175603108
