,NUP,NDO,NST,NSEA,AST,BUP,BSEA,PP,MSS,chi
66,0.136214796416472,-0.1204921720844191,-0.1110680418506127,-0.08874866006174006,1.927629408341473,3.9277908618117543,3.1426706796006583,2.840949353839665,0.3958004909279353,109.22102524315636
69,0.08541293853211708,-0.09354245277643927,-0.1286800233428526,-0.05930975651718293,2.467582362433122,2.997625263248649,2.242736364046704,4.120909687533729,0.4449040978517407,114.94976061320573
72,0.1712839043777432,-0.1149700801031401,-0.1045300400741878,-0.09469217860655982,1.9026913790320883,5.500845095906893,3.889201116796735,3.1682216346375,0.4047593691127288,111.37605602466252
73,0.1016468150974003,-0.1000496535273626,-0.1025144146364138,-0.0543663302171198,2.065719054373854,3.657281704646632,2.116435238480517,4.353533410991903,0.4816132901837485,113.00212251311669
74,0.07325071375875543,-0.0974772041365034,-0.1078435045376981,-0.0486106162959077,2.2153982189694448,2.921120758534973,1.888571991486902,3.6821326475481246,0.4114838750505516,120.36551206128586
76,0.09938541316694892,-0.1001924429497828,-0.1371932957893976,-0.07239126334128829,2.5974396499369434,3.089004605230397,2.443779323796631,4.610858960163774,0.5306477456290906,117.85688267252723
81,0.07178120807671819,-0.08649270654745406,-0.097060731761343,-0.039008552729901634,1.938636954249576,2.894857246949833,1.330878793355844,3.5014139013453,0.3708675979676322,114.72792087689068
82,0.1488640779195668,-0.1029717065451631,-0.12184689368088901,-0.08256918111990957,2.132335615648374,4.9423577583576295,3.223286971622494,3.0244183385764374,0.37966212536561794,109.65362616718784
84,0.11611430972637299,-0.1058368540444752,-0.09353350580117524,-0.0654815640333363,1.861928684314744,4.496536100820928,3.2967862948926467,2.945270609039897,0.324612985941798,110.6296620592092
85,0.07445887525359386,-0.1010082648771071,-0.11162630403026899,-0.03807209190880095,2.033958703272454,3.056862553223201,1.6181992617395011,3.1436809641440053,0.3406105739032539,114.61838065178978
86,0.09750422821634827,-0.1092555209367495,-0.09632298234950708,-0.05935073552171063,1.9922152182953232,3.463759157412547,2.44875221165361,2.7446859500807337,0.3197174898799295,109.22295752491884
89,0.1032621329666438,-0.1017192618912107,-0.0811640396777079,-0.06516304030455447,1.758838854759559,3.652060436466071,2.667249697087112,3.999657313469149,0.4491381243371512,111.9563129509313
90,0.08399618783208636,-0.08800948107907103,-0.1164236804540107,-0.04432898233282659,2.05895317945441,3.0938096102080785,1.4649036073278785,1.963170304230228,0.2087924460968361,116.19710268047147
93,0.1004507707319141,-0.1074226488224349,-0.09247912164681228,-0.05325869953464325,1.9516975420875111,4.101424034173624,2.8258549362662544,3.949530360341525,0.409988632929266,114.1896265652075
95,0.08946863136784315,-0.1149121458059038,-0.08374280944798651,-0.0597552705659493,1.6776612210117532,2.779679575441145,2.488126220502645,2.4718186907507844,0.2986747668590582,116.85744203146976
