NUP NDO  NST  NSEA  AST   BUP  BSEA   PP  MSS
  0.1201476301694339     -0.1012689618078971     -0.1020405344213240     -0.7053140634748581E-01   2.059005816670651       4.261037154053956       2.777514148415295       3.214781251866054      0.3868942905139944    
  0.7813841032231947E-01 -0.1020584718368493     -0.1392686845006437     -0.4134895558470896E-01   2.450860192288696       3.387010917387514       2.014835235456015       2.701154889327678      0.2678168073667812    
  0.2879968436052520E-01 -0.1003226814031491     -0.9762883619555893E-01 -0.2170693813631943E-01   1.939600769482068       1.509385110378918      0.6948861640151611       2.664207953335932      0.2760637565543350    
  0.6400192287987494E-01 -0.9600108592974918E-01 -0.1074995365435107     -0.3088903093359956E-01   2.044577900822024       2.834611108085658       1.253462479849756       2.604157762775799      0.2643187295929145    
  0.6651307467805402E-01 -0.1197147856366033     -0.7236250399820761E-01 -0.3224335878113628E-01   1.641924308378037       2.294910868005060       1.077157680884369       2.342607593663744      0.2682125542046765    
  0.9775531452325137E-01 -0.1118305852958745     -0.8212283142718496E-01 -0.4645444401932862E-01   1.598868943386521       3.708080747869604       1.721175227880721       2.596257196845036      0.2942987978464439    
  0.1070903151241263     -0.1219847074629437     -0.9474850964940712E-01 -0.5655398670926112E-01   1.851287050007808       3.544803794897140       2.287983874338924       2.554330056725708      0.3090667770105026    
  0.8925869496884252E-01 -0.1007108041126672     -0.9683012512883007E-01 -0.5096146952650674E-01   1.895244832973405       3.440658302054862       2.245941141944455       3.590306164516616      0.3984400076266568    
  0.9091010832175356E-01 -0.1012416366631159     -0.1097112264123985     -0.5985887330877201E-01   2.167664323216531       2.831108129659695       1.867526755862273       3.587241244981714      0.4260898735200281    
  0.1470382501084396     -0.1096142544310589     -0.9242373168878423E-01 -0.8973798810707284E-01   1.794399586006584       4.881314851705149       3.665182649007114       3.134054578373536      0.4140884984789527    
  0.8789336369027104E-01 -0.1109613939742706     -0.9893188749707499E-01 -0.5072296777195758E-01   1.969797060730982       2.495128037859559       1.236682041802230       2.258073032764465      0.2984767010421240    
  0.6946228984334707E-01 -0.1127902714676076     -0.1012417891429767     -0.4749286094886887E-01   1.929606905820992       2.534979058799900       1.953255655451270       3.261987151695044      0.3660977539735690    
  0.9964938821060947E-01 -0.1119084329681745     -0.1104711134254439     -0.6370905778644174E-01   1.913878707459575       2.921900718437911       2.095624359774592       2.479789965724429      0.3106009115998015    
  0.9136881474570033E-01 -0.1174586705144934     -0.9253852104229091E-01 -0.5256707505624205E-01   1.868746853203122       3.335761093041590       2.153875859703331       3.277293888681779      0.3886802799643505    
  0.1028438750257774     -0.9517278373597073E-01 -0.1296105957928523     -0.5712190123601093E-01   2.364016873617756       4.118931226082371       2.527755321033482       3.763817934390382      0.4104915715837017    
  0.1180217421427601     -0.1006074745914205     -0.1233760748172927     -0.7650812743642006E-01   2.187752074101671       3.392309623917639       2.451250943014236       4.081856436459527      0.5038099275900688    
  0.1834707673164372     -0.1203590005694261     -0.1300678311177809     -0.1217261631174851       2.248992597410441       5.452623425301240       4.869698283535276       4.167531927942015      0.5589362376839481    
  0.1190972345291009     -0.1075064741977383     -0.1133079601277869     -0.6756690187661077E-01   2.194121711677588       3.563657407698689       1.969252474412283       3.939236199630149      0.4737922092087796    
  0.7121985239239519E-01 -0.1077631205542410     -0.1449400125046185     -0.4235993035770455E-01   2.469252268644391       3.221105619133512       2.243830531922913       4.639324319511327      0.4694540109133384    
