NUP,NDO,NST,NSEA,AST,BUP,BDO,PP2,chi
0.19061157951256555,-0.06503519077762435,-0.22530850068953842,-0.14661021107844183,1.9019439693627218,2.74308731405879,0.37154269018302133,0.11348363292536676,140.81408268850083
0.24763336697380176,-0.1679447624834695,-0.3663093605028004,-0.19611856260777974,2.780708916345885,2.4367634442095816,1.4175187491672805,0.13750305397812065,132.80049591829533
0.17497727684974093,-0.07018869366728206,-0.30562254324839666,-0.14883849411215566,2.4015292290167296,2.217728644048923,0.06623484325908668,0.10546449620630488,138.27320219679106
0.1838535887813542,-0.13846275125621776,-0.19276034240072037,-0.16439595963558892,1.5757473539815727,1.9583179060586735,1.1019414691869385,0.12377468189326395,134.60933689172077
0.20765151084460998,-0.1383359736832784,-0.30674786417347033,-0.17496779862920017,2.4592228261145532,2.1214679538873087,1.0047973504551804,0.12367882746592893,131.26940887803494
0.20549481864746796,-0.11822283495965116,-0.3399435254599389,-0.1560452931043294,2.625530820802637,2.77469696163073,1.0633330015206228,0.11681670286985091,133.80765440714282
0.2199011402290128,-0.12011113054594585,-0.2070730090132906,-0.1784848928506454,1.8315848278929368,2.3468818010534274,0.7169310250839962,0.1363054044095819,133.05480771136624
0.21135499351918124,-0.15748347386467926,-0.30215844661979835,-0.16152482326779324,2.54201731674428,2.5665510608879987,1.6416211170659343,0.10798056319935141,133.17787681488926
0.23578476773009843,-0.13487842472693543,-0.32860696180444005,-0.18570668562213105,2.532736114094521,2.4224184982751553,1.0785530403132464,0.12836878772691837,130.8802883227784
0.20271203705047827,-0.12185369551966345,-0.19317875521499156,-0.13701649453692308,1.732267243667997,3.028898755593695,1.3064578070731234,0.1023391350037504,135.53396084231173
