,h1,h2,z1,z2,P_exp,err,unpol1,unpol2
39,300,200,0.35,0.6,-0.088,0.01061,0.0012157168220505042,0.001904918311749281
40,300,200,0.45,0.25,-0.0294,0.005862,0.006855096390445664,0.015037641707563476
41,300,200,0.45,0.35,-0.0425,0.00831,0.0040727256200612585,0.008585814336620643
42,300,200,0.45,0.45,-0.0388,0.011340000000000001,0.002371146356474875,0.004472204917876071
43,300,200,0.45,0.6,-0.0984,0.012329999999999999,0.0011211887226595214,0.001601099090531531
44,300,200,0.6,0.25,-0.0241,0.0074340000000000005,0.003878694063021477,0.0062201095072318465
45,300,200,0.6,0.35,-0.0524,0.01026,0.002353013726415366,0.003670547728653103
46,300,200,0.6,0.45,-0.0477,0.01371,0.0013724183586791652,0.0019912855488719954
47,300,200,0.6,0.6,-0.0957,0.01376,0.0006483751682043041,0.0007906973049419671
48,300,205,0.25,0.25,-0.0141,0.00634,0.006147861473797635,0.017015937344972986
49,300,205,0.25,0.35,-0.0064,0.008869,0.003518830656144277,0.009103858378235479
50,300,205,0.25,0.45,0.027,0.012759999999999999,0.002099005899640252,0.004627460515737564
51,300,205,0.25,0.6,0.0427,0.01379,0.0010341532365827038,0.0016018539253853468
52,300,205,0.35,0.25,-0.016,0.006075,0.006472512964396565,0.0186889362734628
53,300,205,0.35,0.35,-0.0038,0.009109,0.0038707145023651962,0.0104514232484037
54,300,205,0.35,0.45,-0.0107,0.013219999999999999,0.0023362034217487794,0.005371565036146902
55,300,205,0.35,0.6,0.023,0.01432,0.0011555365587754486,0.0018448174013158633
56,300,205,0.45,0.25,-0.012,0.008118,0.00476276805529143,0.012945239129566959
57,300,205,0.45,0.35,-0.0259,0.01251,0.0028441086541165462,0.007357376276061135
58,300,205,0.45,0.45,-0.0241,0.01804,0.001675884943659796,0.003776997580209537
59,300,205,0.45,0.6,0.017,0.01961,0.0008034110559586693,0.0012833226871069574
60,300,205,0.6,0.25,-0.0252,0.01082,0.0018787099764393741,0.004220110443638284
61,300,205,0.6,0.35,-0.0146,0.01643,0.001124250625315853,0.002441747297590673
62,300,205,0.6,0.45,-0.0195,0.023280000000000002,0.000653668231804581,0.001272542262663168
63,300,205,0.6,0.6,0.0029,0.026139999999999997,0.00030741767729460353,0.0004497451252834511
64,310,100,0.25,0.25,0.0157,0.004393,0.03040910182408954,0.046060338021257516
65,310,100,0.25,0.35,0.0127,0.005961999999999999,0.014089803686323754,0.02013480930178249
66,310,100,0.25,0.45,0.0253,0.008822,0.006890090746501583,0.009037445708596508
67,310,100,0.25,0.6,0.031,0.01096,0.0025092258765326723,0.002847163762233214
68,310,100,0.35,0.25,-0.0023,0.0035,0.027808316642256546,0.045167225920297364
69,310,100,0.35,0.35,-0.01,0.005418,0.013443847799145616,0.020453131909019782
70,310,100,0.35,0.45,-0.0035,0.008103,0.006677147678489816,0.009211104522114688
71,310,100,0.35,0.6,0.0016,0.0101,0.0024488914000823196,0.002851851035989747
72,310,100,0.45,0.25,-0.0179,0.004627,0.012465404006615357,0.024010422885033057
73,310,100,0.45,0.35,-0.0199,0.007129000000000001,0.0059677805715406896,0.010733885463164918
74,310,100,0.45,0.45,-0.0218,0.01061,0.002894223230895251,0.004632965654821094
75,310,100,0.45,0.6,-0.0068,0.01321,0.0010023456570466683,0.0012804541272242963
76,310,100,0.6,0.25,-0.0245,0.006028,0.0033800672322326763,0.006663312766483781
77,310,100,0.6,0.35,-0.0176,0.009328,0.001553384145286005,0.0029343543810819222
78,310,100,0.6,0.45,-0.0205,0.01381,0.0007103442189739397,0.0012178350130223534
79,310,100,0.6,0.6,-0.0173,0.01681,0.00021334748118861306,0.00029511136972393276
80,310,105,0.25,0.25,-0.0359,0.004079999999999999,0.029832075238215322,0.04548331416047996
81,310,105,0.25,0.35,-0.0486,0.006194,0.013719924679350305,0.01976492973509612
82,310,105,0.25,0.45,-0.0737,0.008927,0.006660848008708974,0.008808202916050683
83,310,105,0.25,0.6,-0.1047,0.01069,0.002392526559243173,0.002730464456810574
