,h1,h2,z1,z2,P_exp,err,unpol1,unpol2,unpol3,unpol4
0,300,100,0.25,0.25,-0.039,0.004079999999999999,0.029783497565622572,0.04540922117420314,0.1107013682525339,0.1687864118884253
1,300,100,0.25,0.35,-0.0474,0.006344,0.013691684121892889,0.0197242427331232,0.05314149378708716,0.07655942096272636
2,300,100,0.25,0.45,-0.0708,0.00881,0.0066460267862500965,0.008788603734246201,0.026230192541056338,0.03468670233608282
3,300,100,0.25,0.6,-0.0757,0.010020000000000001,0.0023869804232414765,0.002724135184188004,0.00951176798808909,0.010855357445016152
4,300,100,0.35,0.25,-0.0243,0.003933,0.02657606105848302,0.04380709557062299,0.05739024195706228,0.09458495090558922
5,300,100,0.35,0.35,-0.039,0.006074,0.012638692102067198,0.01958722951593248,0.02888644018243632,0.04476123020754977
6,300,100,0.35,0.45,-0.0495,0.009082,0.006181190762178744,0.008691909330531107,0.014440871233944714,0.02030263823060683
7,300,100,0.35,0.6,-0.0733,0.01084,0.0022016130050505566,0.002600903979675734,0.0052164672964184885,0.006160758132045748
8,300,100,0.45,0.25,-0.0289,0.005136,0.01204697686273654,0.023478078742008426,0.02081930729048692,0.04057652761052377
9,300,100,0.45,0.35,-0.0438,0.00809,0.005692077341063257,0.010404008663955801,0.010309492393770664,0.018848022506680193
10,300,100,0.45,0.45,-0.0581,0.012320000000000001,0.002726290259627849,0.004443930357317558,0.005031447346323137,0.00820420405949939
11,300,100,0.45,0.6,-0.0651,0.01455,0.0009199167851343018,0.0011945515214061247,0.0017216549198211053,0.0022344637774967826
12,300,100,0.6,0.25,-0.0403,0.006561,0.003337798351445768,0.006583328792217563,0.004847244520448367,0.009562983608407346
13,300,100,0.6,0.35,-0.0452,0.01018,0.0015291165425587964,0.002891194807521585,0.0023048094271733593,0.004362467983965344
14,300,100,0.6,0.45,-0.0248,0.015359999999999999,0.0006975514661144539,0.0011973986803002197,0.0010681625637441036,0.0018361856596674807
15,300,100,0.6,0.6,-0.0494,0.01795,0.00020851232917990035,0.0002889022291529173,0.0003231387909607922,0.00044800228217041775
16,300,105,0.25,0.25,0.0049,0.004605,0.03035958902867343,0.04598530944730988,0.11284205008933679,0.1709272123913461
17,300,105,0.25,0.35,0.0168,0.005974,0.014060803244706578,0.020093362370887786,0.0545738211357981,0.077991770052398
18,300,105,0.25,0.45,0.0233,0.008745999999999999,0.0068747622304593916,0.00901733879447747,0.027132840096344955,0.03558934415454135
19,300,105,0.25,0.6,0.0372,0.010790000000000001,0.0025034093154627244,0.0028405640640186604,0.009975686069507937,0.01131927521676562
20,300,105,0.35,0.25,-0.002,0.003471,0.027601447446384937,0.044832603509008626,0.05960799566757847,0.09680083640343631
21,300,105,0.35,0.35,-0.0032,0.0053159999999999995,0.013327027207245302,0.020275527290344167,0.030461634317019166,0.04633630183833606
22,300,105,0.35,0.45,-0.0053,0.007906,0.006615959240178215,0.009126436412728924,0.015455601339039933,0.02131941020446838
23,300,105,0.35,0.6,0.0175,0.00976,0.0024254816196109075,0.0028247740250432795,0.0057478956041623125,0.006691983317216368
24,300,105,0.45,0.25,-0.0113,0.004509,0.012342469142634779,0.0237735763958185,0.021330356499557543,0.041087596678084565
25,300,105,0.45,0.35,-0.0231,0.006944,0.005899240432130072,0.010611172198751852,0.010685684732131318,0.019224187971694097
26,300,105,0.45,0.45,-0.029,0.01034,0.0028594120112444585,0.004577170943095464,0.005278041975117233,0.008450804470953855
27,300,105,0.45,0.6,0.0041,0.0128,0.0009898470333882282,0.0012644819678301656,0.0018525738659854055,0.0023654432507271496
28,300,105,0.6,0.25,-0.0247,0.005921,0.0033404446587726004,0.00658597933733892,0.004850888875082524,0.009566667509196406
29,300,105,0.6,0.35,-0.0242,0.009059000000000001,0.001532443266036379,0.002894047951238729,0.0023092711526050743,0.004366946296063795
30,300,105,0.6,0.45,-0.0231,0.01342,0.0006999593324087432,0.0011999642351000154,0.0010716177685844868,0.0018396986512638671
31,300,105,0.6,0.6,-0.0415,0.01616,0.0002102173009375996,0.0002906533050425271,0.0003254473327704126,0.00045031751972092905
32,300,200,0.25,0.25,-0.0283,0.005177,0.00631631419979015,0.01716520836189959,0.023801950595527595,0.06467529338546006
33,300,200,0.25,0.35,-0.043,0.007664,0.0035708635414043346,0.009143521871318297,0.014079611385782866,0.036045720916224926
34,300,200,0.25,0.45,-0.0471,0.01087,0.0021057162786725825,0.004628132147575403,0.008449185083784729,0.01856673861731509
35,300,200,0.25,0.6,-0.1202,0.01179,0.0010246023487960653,0.0015908967265463331,0.004152729649233433,0.006447341973133169
36,300,200,0.35,0.25,-0.0011,0.004554,0.0072244134861636595,0.019345437737329097,0.015850708246905924,0.04247136771336633
37,300,200,0.35,0.35,-0.0408,0.006696,0.00422678112020527,0.010747240957063356,0.009839858546132854,0.025037996637193066
38,300,200,0.35,0.45,-0.0511,0.009458,0.0024944955362636435,0.0055003673500406665,0.005936354647949673,0.013104421658902805
39,300,200,0.35,0.6,-0.088,0.01061,0.0012036478027798215,0.0018859659027214966,0.002902071850940352,0.0045527381781358825
40,300,200,0.45,0.25,-0.0294,0.005862,0.006784198284521926,0.014881908524525828,0.011902856581027318,0.026122377440847614
41,300,200,0.45,0.35,-0.0425,0.00831,0.004024161792812084,0.008483485745448343,0.007408763216752406,0.015647626877410184
42,300,200,0.45,0.45,-0.0388,0.011340000000000001,0.0023411073498116847,0.004415455830589585,0.004385939482975096,0.008298355636533934
