,h1,h2,z1,z2,P_exp,err,unpol1,unpol2,unpol3
0,300,100,0.25,0.25,-0.039,0.004079999999999999,0.029783497565622572,0.04540922117420314,0.1107013682525339
1,300,100,0.25,0.35,-0.0474,0.006344,0.013691684121892889,0.0197242427331232,0.05314149378708716
2,300,100,0.25,0.45,-0.0708,0.00881,0.0066460267862500965,0.008788603734246201,0.026230192541056338
3,300,100,0.25,0.6,-0.0757,0.010020000000000001,0.0023869804232414765,0.002724135184188004,0.00951176798808909
4,300,100,0.35,0.25,-0.0243,0.003933,0.02657606105848302,0.04380709557062299,0.05739024195706228
5,300,100,0.35,0.35,-0.039,0.006074,0.012638692102067198,0.01958722951593248,0.02888644018243632
6,300,100,0.35,0.45,-0.0495,0.009082,0.006181190762178744,0.008691909330531107,0.014440871233944714
7,300,100,0.35,0.6,-0.0733,0.01084,0.0022016130050505566,0.002600903979675734,0.0052164672964184885
8,300,100,0.45,0.25,-0.0289,0.005136,0.01204697686273654,0.023478078742008426,0.02081930729048692
9,300,100,0.45,0.35,-0.0438,0.00809,0.005692077341063257,0.010404008663955801,0.010309492393770664
10,300,100,0.45,0.45,-0.0581,0.012320000000000001,0.002726290259627849,0.004443930357317558,0.005031447346323137
11,300,100,0.45,0.6,-0.0651,0.01455,0.0009199167851343018,0.0011945515214061247,0.0017216549198211053
12,300,100,0.6,0.25,-0.0403,0.006561,0.003337798351445768,0.006583328792217563,0.004847244520448367
13,300,100,0.6,0.35,-0.0452,0.01018,0.0015291165425587964,0.002891194807521585,0.0023048094271733593
14,300,100,0.6,0.45,-0.0248,0.015359999999999999,0.0006975514661144539,0.0011973986803002197,0.0010681625637441036
15,300,100,0.6,0.6,-0.0494,0.01795,0.00020851232917990035,0.0002889022291529173,0.0003231387909607922
16,300,105,0.25,0.25,0.0049,0.004605,0.03035958902867343,0.04598530944730988,0.11284205008933679
17,300,105,0.25,0.35,0.0168,0.005974,0.014060803244706578,0.020093362370887786,0.0545738211357981
18,300,105,0.25,0.45,0.0233,0.008745999999999999,0.0068747622304593916,0.00901733879447747,0.027132840096344955
19,300,105,0.25,0.6,0.0372,0.010790000000000001,0.0025034093154627244,0.0028405640640186604,0.009975686069507937
20,300,105,0.35,0.25,-0.002,0.003471,0.027601447446384937,0.044832603509008626,0.05960799566757847
21,300,105,0.35,0.35,-0.0032,0.0053159999999999995,0.013327027207245302,0.020275527290344167,0.030461634317019166
22,300,105,0.35,0.45,-0.0053,0.007906,0.006615959240178215,0.009126436412728924,0.015455601339039933
23,300,105,0.35,0.6,0.0175,0.00976,0.0024254816196109075,0.0028247740250432795,0.0057478956041623125
24,300,105,0.45,0.25,-0.0113,0.004509,0.012342469142634779,0.0237735763958185,0.021330356499557543
25,300,105,0.45,0.35,-0.0231,0.006944,0.005899240432130072,0.010611172198751852,0.010685684732131318
26,300,105,0.45,0.45,-0.029,0.01034,0.0028594120112444585,0.004577170943095464,0.005278041975117233
27,300,105,0.45,0.6,0.0041,0.0128,0.0009898470333882282,0.0012644819678301656,0.0018525738659854055
28,300,105,0.6,0.25,-0.0247,0.005921,0.0033404446587726004,0.00658597933733892,0.004850888875082524
29,300,105,0.6,0.35,-0.0242,0.009059000000000001,0.001532443266036379,0.002894047951238729,0.0023092711526050743
30,300,105,0.6,0.45,-0.0231,0.01342,0.0006999593324087432,0.0011999642351000154,0.0010716177685844868
31,300,105,0.6,0.6,-0.0415,0.01616,0.0002102173009375996,0.0002906533050425271,0.0003254473327704126
32,300,200,0.25,0.25,-0.0283,0.005177,0.00631631419979015,0.01716520836189959,0.023801950595527595
33,300,200,0.25,0.35,-0.043,0.007664,0.0035708635414043346,0.009143521871318297,0.014079611385782866
34,300,200,0.25,0.45,-0.0471,0.01087,0.0021057162786725825,0.004628132147575403,0.008449185083784729
35,300,200,0.25,0.6,-0.1202,0.01179,0.0010246023487960653,0.0015908967265463331,0.004152729649233433
36,300,200,0.35,0.25,-0.0011,0.004554,0.0072244134861636595,0.019345437737329097,0.015850708246905924
37,300,200,0.35,0.35,-0.0408,0.006696,0.00422678112020527,0.010747240957063356,0.009839858546132854
38,300,200,0.35,0.45,-0.0511,0.009458,0.0024944955362636435,0.0055003673500406665,0.005936354647949673
39,300,200,0.35,0.6,-0.088,0.01061,0.0012036478027798215,0.0018859659027214966,0.002902071850940352
40,300,200,0.45,0.25,-0.0294,0.005862,0.006784198284521926,0.014881908524525828,0.011902856581027318
41,300,200,0.45,0.35,-0.0425,0.00831,0.004024161792812084,0.008483485745448343,0.007408763216752406
42,300,200,0.45,0.45,-0.0388,0.011340000000000001,0.0023411073498116847,0.004415455830589585,0.004385939482975096
43,300,200,0.45,0.6,-0.0984,0.012329999999999999,0.0011066888707682101,0.0015802574470114592,0.0020966214881439874
44,300,200,0.6,0.25,-0.0241,0.0074340000000000005,0.0038310281756190325,0.0061435556065571,0.005649211901124549
45,300,200,0.6,0.35,-0.0524,0.01026,0.0023191290406249557,0.00361768217161101,0.0035545705964528935
46,300,200,0.6,0.45,-0.0477,0.01371,0.0013514085094932901,0.0019607167618404943,0.0021046388191813844
47,300,200,0.6,0.6,-0.0957,0.01376,0.0006381211234860968,0.0007782069026323873,0.0010058261214657188
48,300,205,0.25,0.25,-0.0141,0.00634,0.006136977904092142,0.01698587698510487,0.023125974947003327
49,300,205,0.25,0.35,-0.0064,0.008869,0.0035110063558453425,0.009083669337329419,0.01384342299582693
50,300,205,0.25,0.45,0.027,0.012759999999999999,0.002093969017032792,0.00461638924967618,0.008401895737492447
51,300,205,0.25,0.6,0.0427,0.01379,0.0010315719301635452,0.0015978589843970753,0.004180856530996843
52,300,205,0.35,0.25,-0.016,0.006075,0.006422184836093442,0.01854320461713834,0.01409296104127413
53,300,205,0.35,0.35,-0.0038,0.009109,0.0038355081692380754,0.010356087908080574,0.008930664646467346
54,300,205,0.35,0.45,-0.0107,0.013219999999999999,0.002313745550540572,0.005319757687691155,0.005507480165937328
55,300,205,0.35,0.6,0.023,0.01432,0.0011440485053660658,0.001826419557326967,0.002760058302798287
56,300,205,0.45,0.25,-0.012,0.008118,0.004713525659628037,0.012811217021217616,0.008269778727117871
57,300,205,0.45,0.35,-0.0259,0.01251,0.002810193765362709,0.007269267683509868,0.0051738276126149325
58,300,205,0.45,0.45,-0.0241,0.01804,0.0016546358222275068,0.0037291191532147216,0.0031003635368099893
59,300,205,0.45,0.6,0.017,0.01961,0.0007929298046885307,0.0012665903029940883,0.0015031649767591588
60,300,205,0.6,0.25,-0.0252,0.01082,0.0018556663572681263,0.0041681789353479656,0.002735598677489212
61,300,205,0.6,0.35,-0.0146,0.01643,0.001108088063327167,0.0024065371062170467,0.0016979099510955596
62,300,205,0.6,0.45,-0.0195,0.023280000000000002,0.0006437344816266416,0.001253020907541857,0.0010007318962680248
63,300,205,0.6,0.6,0.0029,0.026139999999999997,0.0003025088981079846,0.0004426341133918909,0.0004764400296189906
64,310,100,0.25,0.25,0.0157,0.004393,0.03035958902867343,0.04598530944730988,0.11284205008933679
65,310,100,0.25,0.35,0.0127,0.005961999999999999,0.014060803244706578,0.020093362370887786,0.0545738211357981
66,310,100,0.25,0.45,0.0253,0.008822,0.0068747622304593916,0.00901733879447747,0.027132840096344955
67,310,100,0.25,0.6,0.031,0.01096,0.0025034093154627244,0.0028405640640186604,0.009975686069507937
68,310,100,0.35,0.25,-0.0023,0.0035,0.027601447446384937,0.044832603509008626,0.05960799566757847
69,310,100,0.35,0.35,-0.01,0.005418,0.013327027207245302,0.020275527290344167,0.030461634317019166
70,310,100,0.35,0.45,-0.0035,0.008103,0.006615959240178215,0.009126436412728924,0.015455601339039933
71,310,100,0.35,0.6,0.0016,0.0101,0.0024254816196109075,0.0028247740250432795,0.0057478956041623125
