,h1,h2,z1,z2,P_exp,err,unpol1,unpol2,unpol3,unpol4
42,300,200,0.45,0.45,-0.0388,0.011340000000000001,0.002502341764623196,0.004720412961980208,0.004786606684842732,0.009056956136017624
43,300,200,0.45,0.6,-0.0984,0.012329999999999999,0.0011844446020356128,0.0016915330785847735,0.002294502450823471,0.003288565138560242
44,300,200,0.6,0.25,-0.0241,0.0074340000000000005,0.004091263433716732,0.006561022516528711,0.0061146082900651886,0.009808757674823134
45,300,200,0.6,0.35,-0.0524,0.01026,0.0024946324229116463,0.0038918879133278722,0.0038809335756854906,0.0060601459557629985
46,300,200,0.6,0.45,-0.0477,0.01371,0.0014579986884322843,0.0021155714418719176,0.0023048843614516964,0.00334977296310442
47,300,200,0.6,0.6,-0.0957,0.01376,0.000689532633547345,0.0008409416942740491,0.0011043016823143487,0.0013489803092324058
48,300,205,0.25,0.25,-0.0141,0.00634,0.006292041761952618,0.017415002364705577,0.02434761726488852,0.0673811310330552
49,300,205,0.25,0.35,-0.0064,0.008869,0.0036064541865458346,0.00933060290096551,0.01463556852906661,0.03785953425638046
50,300,205,0.25,0.45,0.027,0.012759999999999999,0.002152471502978196,0.004745348375414969,0.008896978291863943,0.01961138150187715
51,300,205,0.25,0.6,0.0427,0.01379,0.0010608170128490924,0.0016431847154254023,0.004431345705451831,0.006863505516039074
52,300,205,0.35,0.25,-0.016,0.006075,0.006745859210600501,0.019478873977356263,0.015142336065383248,0.043747379781517846
53,300,205,0.35,0.35,-0.0038,0.009109,0.0040479558058755674,0.010930903927036984,0.0096623138126477,0.02611712096457343
54,300,205,0.35,0.45,-0.0107,0.013219999999999999,0.0024464695083030175,0.005625583221300935,0.005975760735559694,0.013763934780339349
55,300,205,0.35,0.6,0.023,0.01432,0.0012110926744012638,0.0019335667216774863,0.003001401844562007,0.004799694415876473
56,300,205,0.45,0.25,-0.012,0.008118,0.004998107519459602,0.013585453220243722,0.008923500047433452,0.02427644661137556
57,300,205,0.45,0.35,-0.0259,0.01251,0.0029969639927630892,0.007753446136186469,0.00562994964598362,0.01459711069349889
58,300,205,0.45,0.45,-0.0241,0.01804,0.0017686207289166886,0.0039867346367179635,0.0033839102686139435,0.007659360652992701
59,300,205,0.45,0.6,0.017,0.01961,0.0008487487277550755,0.001355793393087161,0.0016452033423131032,0.0026392361495595805
60,300,205,0.6,0.25,-0.0252,0.01082,0.001981641758736298,0.0044514251515319425,0.002960765395392949,0.006654862828668542
61,300,205,0.6,0.35,-0.0146,0.01643,0.0011918516622098935,0.002589024417915113,0.0018529544946895421,0.004032192772085298
62,300,205,0.6,0.45,-0.0195,0.023280000000000002,0.0006944390698785743,0.0013520278655759018,0.0010971389157449004,0.0021423402875561793
63,300,205,0.6,0.6,0.0029,0.026139999999999997,0.00032692954233060935,0.0004783457962957226,0.0005236274246409391,0.0007680049728952713
64,310,100,0.25,0.25,0.0157,0.004393,0.031108363821300927,0.04711964472024673,0.11865747272651482,0.17973333795616364
65,310,100,0.25,0.35,0.0127,0.005961999999999999,0.014433524578487523,0.020625998944156336,0.057617445945646946,0.08234070703222704
66,310,100,0.25,0.45,0.0253,0.008822,0.007061924855079234,0.009262823980096138,0.02869036114327612,0.0376324781542647
67,310,100,0.25,0.6,0.031,0.01096,0.002572552949433734,0.0029190180851708216,0.010558079266738725,0.011980108485386092
68,310,100,0.35,0.25,-0.0023,0.0035,0.02895555390687467,0.04703051664055669,0.06392373282869161,0.10381275584786119
69,310,100,0.35,0.35,-0.01,0.005418,0.01404462335192166,0.021366747862610905,0.03289444155975761,0.050031767416347885
70,310,100,0.35,0.45,-0.0035,0.008103,0.006984737561263357,0.009635307244301368,0.01674463906466355,0.02309162587616909
71,310,100,0.35,0.6,0.0016,0.0101,0.0025636106180247967,0.0029857311362611614,0.006239995677025148,0.007265052550975457
72,310,100,0.45,0.25,-0.0179,0.004627,0.01306635945210924,0.025168138668723937,0.022961039786561836,0.044229998217483316
73,310,100,0.45,0.35,-0.0199,0.007129000000000001,0.006280562682565588,0.011297142642003575,0.011599946380467567,0.020872665530307363
74,310,100,0.45,0.45,-0.0218,0.01061,0.0030505717038052777,0.004883286339353011,0.0057478755143674344,0.009204268994292171
75,310,100,0.45,0.6,-0.0068,0.01321,0.0010574071134003746,0.0013510591155324702,0.0020222390395307046,0.0025837183387523656
76,310,100,0.6,0.25,-0.0245,0.006028,0.003559512210196843,0.007017997605864901,0.005236366590117084,0.010327323029626247
77,310,100,0.6,0.35,-0.0176,0.009328,0.0016433660101124782,0.0031045008201239154,0.0025136368344151165,0.004755112585312949
78,310,100,0.6,0.45,-0.0205,0.01381,0.0007531668677392381,0.001291183034166727,0.0011705760572758846,0.0020077743523658842
79,310,100,0.6,0.6,-0.0173,0.01681,0.00022653680728948426,0.000313286439276722,0.0003566804214080739,0.0004936084965449808
80,310,105,0.25,0.25,-0.0359,0.004079999999999999,0.030518068934360234,0.04652934699993353,0.11640642736683209,0.1774822876609809
81,310,105,0.25,0.35,-0.0486,0.006194,0.014054623342069918,0.020247097490049486,0.05610514582790399,0.0808284194668438
82,310,105,0.25,0.45,-0.0737,0.008927,0.00682694858371324,0.009027847777115459,0.027735939460386255,0.03667806609377032
83,310,105,0.25,0.6,-0.1047,0.01069,0.002452909021641199,0.0027993741338475354,0.010067067257586437,0.011489099287104737
84,310,105,0.35,0.25,-0.0249,0.003943,0.027879300023165743,0.04595434769302464,0.06154821069020655,0.10143368382469113
85,310,105,0.35,0.35,-0.0311,0.006242,0.01331909801107755,0.020641275920117132,0.031192055061279755,0.04833464069523856
