,Unnamed: 0.1,had1,had2,z1,z2,mins,maxx,fit_line,conv,valid_min,valid_max
0,0,300.0,100.0,0.25,0.15,-0.017518498073513213,-0.0005629858233712992,,-0.013264811376060507,True,True
1,1,300.0,100.0,0.25,0.222,-0.0349029465231648,-0.005660951827039947,,-0.028411882820320287,True,True
2,2,300.0,100.0,0.25,0.294,-0.05163208101002676,-0.012542625986167143,,-0.04322263212115403,True,True
3,3,300.0,100.0,0.25,0.3670000000000001,-0.06552803522385414,-0.019074001475125623,,-0.056038924285563535,True,True
4,4,300.0,100.0,0.25,0.439,-0.07830779380478674,-0.025321795329133027,,-0.06747864485608124,True,True
5,5,300.0,100.0,0.25,0.511,-0.09159068456901569,-0.03131307749494035,,-0.07908649708466621,True,True
6,6,300.0,100.0,0.25,0.583,-0.10595111830225852,-0.03790442222580024,,-0.09176388208534143,True,True
7,7,300.0,100.0,0.25,0.6559999999999999,-0.12149280104129194,-0.045084949742090805,,-0.10557780142580038,True,True
8,8,300.0,100.0,0.25,0.728,-0.13845176761498612,-0.0528736423923419,,-0.12072331654156016,True,True
9,9,300.0,100.0,0.25,0.8,-0.15418050633613672,-0.060014875700633075,,-0.13479724927122194,True,True
10,10,300.0,100.0,0.35,0.15,-0.010601166868695512,-0.0031699427548522304,,-0.00891994656238228,True,True
11,11,300.0,100.0,0.35,0.222,-0.02297773936371533,-0.0077547848057896406,,-0.019762397400481132,True,True
12,12,300.0,100.0,0.35,0.294,-0.03495054155319212,-0.01254316270468924,,-0.030442029705512182,True,True
13,13,300.0,100.0,0.35,0.3670000000000001,-0.04524286747856686,-0.016811891832464454,,-0.03963322030268246,True,True
14,14,300.0,100.0,0.35,0.439,-0.05431165635512081,-0.02057696536885883,,-0.047599098279696064,True,True
15,15,300.0,100.0,0.35,0.511,-0.06318946672954853,-0.0243702378563349,,-0.0554041303460357,True,True
16,16,300.0,100.0,0.35,0.583,-0.07272069734194993,-0.028479527163409925,,-0.06377547181550873,True,True
17,17,300.0,100.0,0.35,0.6559999999999999,-0.08295815050761883,-0.03296965769546085,,-0.07277105481261101,True,True
18,18,300.0,100.0,0.35,0.728,-0.0943880101035291,-0.03792175309231689,,-0.08281407892687716,True,True
19,19,300.0,100.0,0.35,0.8,-0.10518081589372978,-0.042583345131583204,,-0.09229968628830193,True,True
20,20,300.0,100.0,0.45,0.15,-0.012381035042103576,-0.006121819168122322,,-0.010660377338150749,True,True
21,21,300.0,100.0,0.45,0.222,-0.025195946345459037,-0.012862214225846384,,-0.021884997915905414,True,True
22,22,300.0,100.0,0.45,0.294,-0.03716329157022714,-0.01914918377725054,,-0.03212107409412733,True,True
23,23,300.0,100.0,0.45,0.3670000000000001,-0.04705566733925609,-0.024331875254651678,,-0.04045415507333172,True,True
24,24,300.0,100.0,0.45,0.439,-0.055517851732990724,-0.02874410529181451,,-0.04744030992191662,True,True
25,25,300.0,100.0,0.45,0.511,-0.06378015935456431,-0.03288512098724652,,-0.05415705642879263,True,True
26,26,300.0,100.0,0.45,0.583,-0.07266286677963424,-0.03726298846017905,,-0.06129574601349778,True,True
27,27,300.0,100.0,0.45,0.6559999999999999,-0.08262042735263929,-0.04209897564395135,,-0.06924496904242024,True,True
28,28,300.0,100.0,0.45,0.728,-0.09378435412848835,-0.04749246443264494,,-0.07812624893845528,True,True
29,29,300.0,100.0,0.45,0.8,-0.1048528964303616,-0.052855041373726465,,-0.08692149529051729,True,True
30,30,300.0,100.0,0.6,0.15,-0.014610080560686207,-0.008757269375268968,,-0.012715643591705407,True,True
31,31,300.0,100.0,0.6,0.222,-0.027742616141356667,-0.01729719723157573,,-0.024205123673824654,True,True
32,32,300.0,100.0,0.6,0.294,-0.03862318061941714,-0.02498015616808872,,-0.03378100639173976,True,True
33,33,300.0,100.0,0.6,0.3670000000000001,-0.04666947914633278,-0.031270297715039544,,-0.04092249257119844,True,True
34,34,300.0,100.0,0.6,0.439,-0.05277557359223809,-0.036671966374040126,,-0.04634022762376156,True,True
35,35,300.0,100.0,0.6,0.511,-0.058876177856926296,-0.04159508066913201,,-0.05129618078097768,True,True
36,36,300.0,100.0,0.6,0.583,-0.06532271548187263,-0.045007391260521175,,-0.05628878576942326,True,True
37,37,300.0,100.0,0.6,0.6559999999999999,-0.07274334958013189,-0.0484956691989415,,-0.061883128255699416,True,True
38,38,300.0,100.0,0.6,0.728,-0.08262964961481642,-0.05274668968173034,,-0.06916316938059873,True,True
39,39,300.0,100.0,0.6,0.8,-0.09400288242252987,-0.05731861510096251,,-0.07739680654764018,True,True
40,40,300.0,105.0,0.25,0.15,-0.010226681227751167,0.0069820351082121165,,-0.0016960171968606838,True,True
41,41,300.0,105.0,0.25,0.222,-0.01637854007936674,0.017804881822780207,,0.0025180521930663192,True,True
42,42,300.0,105.0,0.25,0.294,-0.019231498896207934,0.02946922794255962,,0.009593273050436715,True,True
43,43,300.0,105.0,0.25,0.3670000000000001,-0.019546561639375487,0.039988547580904005,,0.017438673690240446,True,True
44,44,300.0,105.0,0.25,0.439,-0.018145290149894435,0.049499432709405815,,0.0257307712016771,True,True
45,45,300.0,105.0,0.25,0.511,-0.015405071015936014,0.05905953955773365,,0.03510080724391309,True,True
46,46,300.0,105.0,0.25,0.583,-0.011468933496487685,0.06942143262474608,,0.04605329972007845,True,True
47,47,300.0,105.0,0.25,0.6559999999999999,-0.006705321142389791,0.08054152585567363,,0.058269606130980325,True,True
48,48,300.0,105.0,0.25,0.728,-0.001316325684741387,0.09260994004568922,,0.07178542190901525,True,True
