,Unnamed: 0,Unnamed: 0.1,had1,had2,z1,z2,mins,maxx,fit_line,conv
103,103,103,310.0,100.0,0.45,0.3670000000000001,-0.022313563676403744,-0.004737439312942005,,-0.01823840445883633
104,104,104,310.0,100.0,0.45,0.439,-0.022445268010894824,-0.004143624606900869,,-0.017943823252969792
105,105,105,310.0,100.0,0.45,0.511,-0.02186675689384373,-0.003029553852406445,,-0.01636122135959129
106,106,106,310.0,100.0,0.45,0.583,-0.0203108975917918,-0.0012946710576912808,,-0.01355529047355442
107,107,107,310.0,100.0,0.45,0.6559999999999999,-0.017854267350843535,0.004554532132586009,,-0.009674278717755157
108,108,108,310.0,100.0,0.45,0.728,-0.015322513486111227,0.011678545764068333,,-0.004724835505043439
109,109,109,310.0,100.0,0.45,0.8,-0.01288420299763133,0.018738218466565145,,0.0002370659243355904
110,110,110,310.0,100.0,0.6,0.15,-0.013929180615024062,-0.0056125344938104385,,-0.011802476081244209
111,111,111,310.0,100.0,0.6,0.222,-0.025269875689279464,-0.010166375438941024,,-0.02144246512247544
112,112,112,310.0,100.0,0.6,0.294,-0.03363248412314032,-0.013511688787592242,,-0.028577332404174663
113,113,113,310.0,100.0,0.6,0.3670000000000001,-0.03882756682486966,-0.015580394108089719,,-0.03304022670711209
114,114,114,310.0,100.0,0.6,0.439,-0.041633011581367174,-0.01668308857133773,,-0.0354865121330997
115,115,115,310.0,100.0,0.6,0.511,-0.04293716201780757,-0.017147347120858896,,-0.036642586283535804
116,116,116,310.0,100.0,0.6,0.583,-0.04266951083992231,-0.016928263257451115,,-0.036482898552261236
117,117,117,310.0,100.0,0.6,0.6559999999999999,-0.04112460373025298,-0.01599864484307658,,-0.034981142948114795
118,118,118,310.0,100.0,0.6,0.728,-0.037851147195049076,-0.014204899121536652,,-0.031943256267808015
119,119,119,310.0,100.0,0.6,0.8,-0.03329286081008977,-0.011756626202022159,,-0.027765130761846283
120,120,120,310.0,105.0,0.25,0.15,-0.019770251925179335,0.006444994878077695,,-0.013264811376060507
121,121,121,310.0,105.0,0.25,0.222,-0.04000818338539784,0.011916840767128447,,-0.028411882820320287
122,122,122,310.0,105.0,0.25,0.294,-0.057871470865536616,0.015050657313445973,,-0.04322263212115403
123,123,123,310.0,105.0,0.25,0.3670000000000001,-0.07177339773973933,0.01591765438122958,,-0.056038924285563535
124,124,124,310.0,105.0,0.25,0.439,-0.08384735711706384,0.015109808756900416,,-0.06747864485608124
125,125,125,310.0,105.0,0.25,0.511,-0.09724231793896801,0.012992791531051304,,-0.07908649708466621
126,126,126,310.0,105.0,0.25,0.583,-0.11184105496639672,0.009822345776488578,,-0.09176388208534143
127,127,127,310.0,105.0,0.25,0.6559999999999999,-0.1277995339854828,0.005847887407861409,,-0.10557780142580038
128,128,128,310.0,105.0,0.25,0.728,-0.14661757595678024,0.0012304399412401332,,-0.12072331654156016
129,129,129,310.0,105.0,0.25,0.8,-0.1640648707727386,-0.003061044398186612,,-0.13479724927122194
130,130,130,310.0,105.0,0.35,0.15,-0.01123222513815099,0.00015536929672339576,,-0.00891994656238228
131,131,131,310.0,105.0,0.35,0.222,-0.02379076497708277,-0.0003623130126289511,,-0.019762397400481132
132,132,132,310.0,105.0,0.35,0.294,-0.03605321368951635,-0.0014011788269055374,,-0.030442029705512182
133,133,133,310.0,105.0,0.35,0.3670000000000001,-0.04648538172217165,-0.0028426185833771932,,-0.03963322030268246
134,134,134,310.0,105.0,0.35,0.439,-0.05549212587124833,-0.004249408288003411,,-0.047599098279696064
135,135,135,310.0,105.0,0.35,0.511,-0.06454146303115366,-0.005922923687000054,,-0.0554041303460357
136,136,136,310.0,105.0,0.35,0.583,-0.07404399007762279,-0.007939148030612719,,-0.06377547181550873
137,137,137,310.0,105.0,0.35,0.6559999999999999,-0.08476165941503805,-0.010286796411198031,,-0.07277105481261101
138,138,138,310.0,105.0,0.35,0.728,-0.09679972840537897,-0.012967362247101995,,-0.08281407892687716
139,139,139,310.0,105.0,0.35,0.8,-0.10819004414848796,-0.015490292049180216,,-0.09229968628830193
140,140,140,310.0,105.0,0.45,0.15,-0.012599272327965374,-0.003804188337439373,,-0.010660377338150749
141,141,141,310.0,105.0,0.45,0.222,-0.025696101325834154,-0.008138365556386074,,-0.021884997915905414
142,142,142,310.0,105.0,0.45,0.294,-0.03768764378845414,-0.01226277915988988,,-0.03212107409412733
143,143,143,310.0,105.0,0.45,0.3670000000000001,-0.047566056965694443,-0.01572659097391678,,-0.04045415507333172
144,144,144,310.0,105.0,0.45,0.439,-0.05589990332871185,-0.018780963622326566,,-0.04744030992191662
145,145,145,310.0,105.0,0.45,0.511,-0.06409878171199393,-0.021848066678713775,,-0.05415705642879263
146,146,146,310.0,105.0,0.45,0.583,-0.07309557819691934,-0.0251930098628317,,-0.06129574601349778
147,147,147,310.0,105.0,0.45,0.6559999999999999,-0.08329484488873971,-0.028972187205439547,,-0.06924496904242024
148,148,148,310.0,105.0,0.45,0.728,-0.09486853255516084,-0.03322913098311774,,-0.07812624893845528
149,149,149,310.0,105.0,0.45,0.8,-0.1063172116357178,-0.03747361963564362,,-0.08692149529051729
150,150,150,310.0,105.0,0.6,0.15,-0.014854791212022378,-0.0065796826849812634,,-0.012715643591705407
151,151,151,310.0,105.0,0.6,0.222,-0.028155971902379263,-0.013083293401781406,,-0.024205123673824654
152,152,152,310.0,105.0,0.6,0.294,-0.03927520939017849,-0.018996061910832487,,-0.03378100639173976
153,153,153,310.0,105.0,0.6,0.3670000000000001,-0.047557593932277216,-0.023880654579674938,,-0.04092249257119844
154,154,154,310.0,105.0,0.6,0.439,-0.05383105706387179,-0.02810695649656085,,-0.04634022762376156
155,155,155,310.0,105.0,0.6,0.511,-0.05955700639831783,-0.032566299125087295,,-0.05129618078097768
156,156,156,310.0,105.0,0.6,0.583,-0.06545270807062267,-0.03718055870454107,,-0.05628878576942326
157,157,157,310.0,105.0,0.6,0.6559999999999999,-0.07299034599689237,-0.04135318847495869,,-0.061883128255699416
158,158,158,310.0,105.0,0.6,0.728,-0.08313850165418168,-0.04542643140542254,,-0.06916316938059873
159,159,159,310.0,105.0,0.6,0.8,-0.09485309228894387,-0.04987589479223786,,-0.07739680654764018
