,Unnamed: 0,Unnamed: 0.1,had1,had2,z1,z2,mins,maxx,fit_line,conv
103,103,103,310.0,100.0,0.45,0.3670000000000001,-0.022987057891284707,-0.0047306005737098485,,-0.01823840445883633
104,104,104,310.0,100.0,0.45,0.439,-0.023215070791481673,-0.003908339861089024,,-0.017943823252969792
105,105,105,310.0,100.0,0.45,0.511,-0.02205835157840517,-0.0024791423214575335,,-0.01636122135959129
106,106,106,310.0,100.0,0.45,0.583,-0.0203108975917918,-0.00036801769041849814,,-0.01355529047355442
107,107,107,310.0,100.0,0.45,0.6559999999999999,-0.017854267350843535,0.0023450497678253156,,-0.009674278717755157
108,108,108,310.0,100.0,0.45,0.728,-0.015322513486111227,0.008534459589062503,,-0.004724835505043439
109,109,109,310.0,100.0,0.45,0.8,-0.01288420299763133,0.015980506371208028,,0.0002370659243355904
110,110,110,310.0,100.0,0.6,0.15,-0.01416280531936883,-0.0056125344938104385,,-0.011802476081244209
111,111,111,310.0,100.0,0.6,0.222,-0.025732809788420234,-0.010166375438941024,,-0.02144246512247544
112,112,112,310.0,100.0,0.6,0.294,-0.03432400501455396,-0.013511688787592242,,-0.028577332404174663
113,113,113,310.0,100.0,0.6,0.3670000000000001,-0.03976500549129684,-0.015580394108089719,,-0.03304022670711209
114,114,114,310.0,100.0,0.6,0.439,-0.04279145673246009,-0.01668308857133773,,-0.0354865121330997
115,115,115,310.0,100.0,0.6,0.511,-0.04430041608951348,-0.017147347120858896,,-0.036642586283535804
116,116,116,310.0,100.0,0.6,0.583,-0.0442530331493291,-0.016928263257451115,,-0.036482898552261236
117,117,117,310.0,100.0,0.6,0.6559999999999999,-0.04266152654826233,-0.01599864484307658,,-0.034981142948114795
118,118,118,310.0,100.0,0.6,0.728,-0.039300160714073246,-0.014204899121536652,,-0.031943256267808015
119,119,119,310.0,100.0,0.6,0.8,-0.034625261846049735,-0.011611989547332426,,-0.027765130761846283
120,120,120,310.0,105.0,0.25,0.15,-0.021181402879241654,0.006176822425102011,,-0.013264811376060507
121,121,121,310.0,105.0,0.25,0.222,-0.04109292858522842,0.010189724131594682,,-0.028411882820320287
