,Unnamed: 0.1,had1,had2,z1,z2,mins,maxx,fit_line,conv,valid_min,valid_max
0,0,300.0,200.0,0.25,0.15,-0.013370321272408867,-0.0009669847153983007,,-0.010766465843826132,True,True
1,1,300.0,200.0,0.25,0.222,-0.027478576294464978,-0.001059328667066793,,-0.023279191063894044,True,True
2,2,300.0,200.0,0.25,0.294,-0.04190813389289128,-0.0005456098391356298,,-0.035371548736102154,True,True
3,3,300.0,200.0,0.25,0.3670000000000001,-0.05430140181450202,0.0005156411544745606,,-0.045260336044371005,True,True
4,4,300.0,200.0,0.25,0.439,-0.06407990470957896,0.0017914912703129394,,-0.0529820917240666,True,True
5,5,300.0,200.0,0.25,0.511,-0.07200721792516164,0.0030268681972175394,,-0.05918996041329756,True,True
6,6,300.0,200.0,0.25,0.583,-0.0784844662546859,0.004082765528673653,,-0.06423184074139954,True,True
7,7,300.0,200.0,0.25,0.6559999999999999,-0.08388371220942983,0.004912747251816987,,-0.06842069405444452,True,True
8,8,300.0,200.0,0.25,0.728,-0.08875550129212567,0.005586349449194332,,-0.07217095749360697,True,True
9,9,300.0,200.0,0.25,0.8,-0.0929798908932304,0.006098687703837417,,-0.07545629601967087,True,True
10,10,300.0,200.0,0.35,0.15,-0.008962233970455922,-0.0037610261226501233,,-0.007437040928287167,True,True
11,11,300.0,200.0,0.35,0.222,-0.01925297902941513,-0.007803544184619295,,-0.015650772608340833,True,True
12,12,300.0,200.0,0.35,0.294,-0.028274364555007345,-0.010981306596762497,,-0.02293149812148858,True,True
13,13,300.0,200.0,0.35,0.3670000000000001,-0.03485849448187657,-0.012701385567949681,,-0.028432613585520364,True,True
14,14,300.0,200.0,0.35,0.439,-0.03940982740248778,-0.013359456224633007,,-0.03242192780531078,True,True
15,15,300.0,200.0,0.35,0.511,-0.04277149926633101,-0.013478201118014699,,-0.035459572714431835,True,True
16,16,300.0,200.0,0.35,0.583,-0.04570196596139635,-0.01347490130564449,,-0.037871042407754484,True,True
17,17,300.0,200.0,0.35,0.6559999999999999,-0.048414479119063394,-0.01351257968818952,,-0.03985841215469873,True,True
18,18,300.0,200.0,0.35,0.728,-0.050832806792129794,-0.013620094348170908,,-0.04161775326091372,True,True
19,19,300.0,200.0,0.35,0.8,-0.05289503622512766,-0.013793318739529688,,-0.04312380519338533,True,True
20,20,300.0,200.0,0.45,0.15,-0.012425921204783648,-0.0072451208255017345,,-0.009878543184652169,True,True
21,21,300.0,200.0,0.45,0.222,-0.024865263501072918,-0.013852957392189207,,-0.019408038634558544,True,True
22,22,300.0,200.0,0.45,0.294,-0.03482124900270707,-0.01894849954851265,,-0.02696999102052048,True,True
23,23,300.0,200.0,0.45,0.3670000000000001,-0.04150168267492794,-0.022303966879838415,,-0.03206185924562641,True,True
24,24,300.0,200.0,0.45,0.439,-0.04575526720247778,-0.024423061424091626,,-0.03534039951628083,True,True
25,25,300.0,200.0,0.45,0.511,-0.04874820575131552,-0.02582835730223639,,-0.03759770356947744,True,True
26,26,300.0,200.0,0.45,0.583,-0.051086401808577014,-0.026811059401104613,,-0.03928852956374925,True,True
27,27,300.0,200.0,0.45,0.6559999999999999,-0.053115111099704085,-0.02758791572133539,,-0.040693864218476566,True,True
28,28,300.0,200.0,0.45,0.728,-0.05484338518619857,-0.028183624253592502,,-0.0418416324497101,True,True
29,29,300.0,200.0,0.45,0.8,-0.05638928972059522,-0.028698821605764816,,-0.042844980533728885,True,True
30,30,300.0,200.0,0.6,0.15,-0.020295003969049506,-0.008730357900130449,,-0.016678038198158683,True,True
31,31,300.0,200.0,0.6,0.222,-0.039402498404353954,-0.016686735897236248,,-0.0322042286164426,True,True
32,32,300.0,200.0,0.6,0.294,-0.05448986449855903,-0.022893494409446397,,-0.04444084143925512,True,True
33,33,300.0,200.0,0.6,0.3670000000000001,-0.06475261537455618,-0.027014080399155545,,-0.05258381969294418,True,True
34,34,300.0,200.0,0.6,0.439,-0.07130003861073794,-0.02963274844612631,,-0.057792110584438186,True,True
35,35,300.0,200.0,0.6,0.511,-0.0762169029906708,-0.031477368051024135,,-0.06156742221672435,True,True
36,36,300.0,200.0,0.6,0.583,-0.08008697238814222,-0.032856795506177504,,-0.06446229831038908,True,True
37,37,300.0,200.0,0.6,0.6559999999999999,-0.08350189381228995,-0.03403285995239484,,-0.06697637030668177,True,True
38,38,300.0,200.0,0.6,0.728,-0.08636277362073623,-0.03498423162759242,,-0.06905305016687865,True,True
39,39,300.0,200.0,0.6,0.8,-0.08876191686764867,-0.03576337630772284,,-0.0707749344810757,True,True
40,40,300.0,205.0,0.25,0.15,-0.01642604198164579,0.0065904462152214256,,-0.010988658748361314,True,True
41,41,300.0,205.0,0.25,0.222,-0.020936516002661727,0.01973754859016484,,-0.01164599470134082,True,True
42,42,300.0,205.0,0.25,0.294,-0.01817384379028818,0.03525839607330583,,-0.004189694417840406,True,True
43,43,300.0,205.0,0.25,0.3670000000000001,-0.015895905123351598,0.04945160975884164,,0.005192686146643825,True,True
44,44,300.0,205.0,0.25,0.439,-0.014059199023621283,0.061259553386775564,,0.015202365521458644,True,True
45,45,300.0,205.0,0.25,0.511,-0.0119444168515211,0.07100244639836899,,0.02447622411137512,True,True
46,46,300.0,205.0,0.25,0.583,-0.009875992535334383,0.07902889640049164,,0.03235432768462684,True,True
47,47,300.0,205.0,0.25,0.6559999999999999,-0.00800495813583648,0.0856684990446911,,0.03874830469856165,True,True
48,48,300.0,205.0,0.25,0.728,-0.005752575555246145,0.09160403479665398,,0.04420202600400912,True,True
49,49,300.0,205.0,0.25,0.8,-0.0043361834766204995,0.09667319858910466,,0.04864419550197058,True,True
50,50,300.0,205.0,0.35,0.15,-0.0102746879410189,0.0014499746741281974,,-0.007440646698243625,True,True
51,51,300.0,205.0,0.35,0.222,-0.017044964907119153,0.004878877774574822,,-0.011542583357651086,True,True
52,52,300.0,205.0,0.35,0.294,-0.019380124727304254,0.00875791346893733,,-0.01203467403609292,True,True
53,53,300.0,205.0,0.35,0.3670000000000001,-0.018330234780949185,0.012017256806323517,,-0.01026186918429473,True,True
54,54,300.0,205.0,0.35,0.439,-0.01572622020839876,0.01450610619678733,,-0.006342180304983772,True,True
55,55,300.0,205.0,0.35,0.511,-0.013107743720285708,0.016536180855718816,,-0.0029278420790872593,True,True
56,56,300.0,205.0,0.35,0.583,-0.009932428847931584,0.019026400270346418,,0.00014929543250220706,True,True
57,57,300.0,205.0,0.35,0.6559999999999999,-0.008145751946702105,0.02138917089081255,,0.002692435630716439,True,True
58,58,300.0,205.0,0.35,0.728,-0.007292596850213667,0.023539882752072215,,0.00484970965812181,True,True
59,59,300.0,205.0,0.35,0.8,-0.006543662495768644,0.02537776589161907,,0.006565436789735982,True,True
