Unnamed: 0,had1,had2,z1,z2,conv,UP,DO,ST,UPb,DOb,STb
14,300.0,100.0,0.35,0.439,-0.055173979909961555,0.01721564781830525,0.010271428055384182,-0.0011109086236283999,-0.055285446912022834,-0.005465954678916772,-0.0031066764186116927
15,300.0,100.0,0.35,0.511,-0.0698010192151004,0.01833374775190516,0.012924252179558764,-0.001169969400806267,-0.06929705561943905,-0.005823104656991522,-0.003271840969341415
16,300.0,100.0,0.35,0.583,-0.08716877807834003,0.018334741462030745,0.015893779274947607,-0.0011548565037217667,-0.08504469190766988,-0.005820647942484983,-0.0032295774744051944
17,300.0,100.0,0.35,0.6559999999999999,-0.10723316458887619,0.017103404836640457,0.01910974141909665,-0.0010629404793864878,-0.10220860465051229,-0.005431972464248407,-0.0029725326201107995
18,300.0,100.0,0.35,0.728,-0.12863921859264024,0.014478872834340354,0.02233830859635219,-0.0008893560154545596,-0.11962476016975197,-0.0045998515616053025,-0.0024871004709090664
19,300.0,100.0,0.35,0.8,-0.1472424071958403,0.011357567998015175,0.02509539309990521,-0.0006906629943552647,-0.13467452351216017,-0.003609070082496063,-0.0019314517793220126
20,300.0,100.0,0.45,0.15,-0.0007232597768374783,-0.0010465557561390405,-0.0006209270138737538,0.0015559883030354204,0.004232592741077208,0.001349855468934676,0.0014616787506748902
21,300.0,100.0,0.45,0.222,-0.015016771509294681,0.000723872474244731,0.0005098534155411192,-0.0010353733794160685,-0.0034677166118898526,-0.0009295326402832603,-0.0009726186660623424
22,300.0,100.0,0.45,0.294,-0.025937834819080633,0.002071005414949693,0.0016883032174273838,-0.0029674396432943398,-0.011443374028534369,-0.0026612535623474916,-0.0027875810261890387
23,300.0,100.0,0.45,0.36700000000000005,-0.03498933329652267,0.0028248163259788272,0.002634746346124863,-0.004046560022281405,-0.017786188517849057,-0.0036320347234234784,-0.0038012951552146754
24,300.0,100.0,0.45,0.439,-0.04362858514945783,0.003341734035042856,0.003590853106272315,-0.00474666851839311,-0.024139568842566076,-0.004297576336881211,-0.004458969579846989
25,300.0,100.0,0.45,0.511,-0.05328734031958585,0.003727044302398878,0.004731424687089988,-0.005232727491228454,-0.031693606267179215,-0.00479360866985407,-0.004915568174310921
26,300.0,100.0,0.45,0.583,-0.06481149857516916,0.003950204632587476,0.0061666658826795406,-0.005472642846742831,-0.04122870742584631,-0.005077527694130991,-0.0051409420903177905
27,300.0,100.0,0.45,0.6559999999999999,-0.0780643489351273,0.003940300408666887,0.007928474944567518,-0.005385270733579261,-0.05298966983041077,-0.0050662042011064634,-0.005058865662774203
28,300.0,100.0,0.45,0.728,-0.09199752547328573,0.0035734837374533784,0.00992909496146067,-0.004826696556062064,-0.06644571092360468,-0.004596005668176474,-0.004534147061509754
29,300.0,100.0,0.45,0.8,-0.10434217866762568,0.0029684424240984217,0.011812629275510345,-0.003969060724102555,-0.0792199112101618,-0.003818563109179481,-0.0037284931443517014
