Unnamed: 0,had1,had2,z1,z2,conv,UP,DO,ST,UPb,DOb,STb
16,300.0,200.0,0.35,0.583,-0.04048056608173479,0.003220454945273266,-0.002796113681333508,-0.017264764894271204,-0.022441529889055352,-0.0004830704527378683,-0.0006331103688771668
17,300.0,200.0,0.35,0.6559999999999999,-0.04224838002452725,0.002771942646754705,-0.0024112565173280537,-0.017668326807769717,-0.023998847630496284,-0.0004165806223362439,-0.0005459990348220546
18,300.0,200.0,0.35,0.728,-0.04377470017025349,0.002229082903126998,-0.0019379575781767692,-0.018097801237440807,-0.025202518325221954,-0.0003348111526818041,-0.00043747035142917344
19,300.0,200.0,0.35,0.8,-0.04501643240310984,0.0016985671047577758,-0.0014760423449863731,-0.018522725663492674,-0.02612177509119773,-0.00025500838846894666,-0.00033437437836856437
20,300.0,200.0,0.45,0.15,0.000782418028315822,-2.6248532977867613e-05,7.686957711222216e-05,0.0006683321769280857,3.319325821300332e-05,7.065999099622211e-06,2.3462310531258876e-05
21,300.0,200.0,0.45,0.222,-0.015869371599727178,0.0003789930567314962,-0.0011012504546966439,-0.013976595066298456,-0.0007417332974334888,-0.00010122905593698092,-0.0003195201840989031
22,300.0,200.0,0.45,0.294,-0.027253541464525764,0.00050579019002754,-0.0014697820521286046,-0.024297743136401696,-0.001433728721474804,-0.0001351051878667166,-0.00042443363379065824
23,300.0,200.0,0.45,0.36700000000000005,-0.03443502565039282,0.0005402949468240218,-0.0015690736989565678,-0.030769734693934566,-0.002043036604850204,-0.000144232266659698,-0.0004517897394181427
24,300.0,200.0,0.45,0.439,-0.03859802080531653,0.0005441436772953133,-0.001580092635557126,-0.034404897931808724,-0.002559476270246903,-0.00014524514846578202,-0.00045417162663325983
25,300.0,200.0,0.45,0.511,-0.04116291210775775,0.0005261535693581251,-0.0015274388517388547,-0.036585849132547164,-0.0029937788297889883,-0.00014040511157435413,-0.0004402684347818766
26,300.0,200.0,0.45,0.583,-0.042685519139477525,0.0004832517699091472,-0.0014030348039003257,-0.03791215746200842,-0.003321717077358053,-0.00012896965267059155,-0.0004023464327298895
27,300.0,200.0,0.45,0.6559999999999999,-0.04372982915587676,0.00041817221863982187,-0.0012146361700606089,-0.03891375526349118,-0.0035592110845786428,-0.0001116516885670807,-0.0003487471678190581
