Unnamed: 0,had1,had2,z1,z2,conv,UP,DO,ST,UPb,DOb,STb
0,300.0,100.0,0.25,0.15,-0.00823442413360024,-0.006204489497737361,0.003563232526813658,7.9300028108904e-05,0.005432157601514401,0.0007918674486307742,0.0006830367539374676
1,300.0,100.0,0.25,0.222,-0.02551184792475583,0.004880472449487975,-0.003524885760213404,-7.715718043825985e-05,-0.005015694290016215,-0.0006837116712400434,-0.0006645797148664447
2,300.0,100.0,0.25,0.294,-0.041535903844300726,0.011874819693604972,-0.00981846587321274,-0.00016887490918056128,-0.014038924297670185,-0.0015971669278001836,-0.0014545741349519582
3,300.0,100.0,0.25,0.36700000000000005,-0.05473009638918309,0.014944364132558013,-0.014316000712575798,-0.0002076617113876245,-0.020174310727696262,-0.0020310629147544303,-0.0017886573894842787
4,300.0,100.0,0.25,0.439,-0.06614472300157515,0.015842013297371418,-0.017529772235602002,-0.00021628754673019729,-0.02451953671679034,-0.002156625846737661,-0.0018629544952091172
5,300.0,100.0,0.25,0.511,-0.07748384158747659,0.015296428802123467,-0.020168388023875928,-0.00020747302242374703,-0.02797024798042158,-0.0020988455398324624,-0.0017870321504967986
6,300.0,100.0,0.25,0.583,-0.08961516121673327,0.013862712909189235,-0.022535565872194623,-0.0001858484960981347,-0.031172427040802322,-0.0019058147616467858,-0.0016007731210977538
7,300.0,100.0,0.25,0.6559999999999999,-0.10260129820124672,0.011850069145703905,-0.024807543536205585,-0.0001563804449410973,-0.03433242476714022,-0.001624953881720653,-0.001346955279072223
8,300.0,100.0,0.25,0.728,-0.11636491681722201,0.009373046576665373,-0.027031031340976404,-0.00012183356452663527,-0.03754895508079551,-0.0012827807814357927,-0.0010493918403234475
9,300.0,100.0,0.25,0.8,-0.12867055842525432,0.007042580680400782,-0.02894493138744447,-9.010391666993473e-05,-0.04045860571364397,-0.0009585847412370514,-0.0007760941354871203
10,300.0,100.0,0.35,0.15,-0.0012691932698410198,-0.004009983223205655,0.005000129397270451,0.0004457696238228601,0.0034050302332557236,0.0006070888271681004,0.000759416953168192
11,300.0,100.0,0.35,0.222,-0.01678816957546252,0.002870054402219368,-0.004191731525563429,-0.00030858010870494346,-0.0028827784836527753,-0.0004281162232924162,-0.0005256997189520033
12,300.0,100.0,0.35,0.294,-0.03014703352178765,0.007741041626385348,-0.01312134485288482,-0.000809350227987418,-0.008981203096989588,-0.0011544536790163706,-0.0013788159877588012
13,300.0,100.0,0.35,0.36700000000000005,-0.040734703063502756,0.009966187444603437,-0.019406061948159737,-0.0010481924410547575,-0.013175426689937136,-0.0014936147633102439,-0.0017857096297706778
14,300.0,100.0,0.35,0.439,-0.04945276787527382,0.010639175674208287,-0.023877196097042107,-0.0011105685871579552,-0.016135161162189084,-0.001595656171133643,-0.0018919741670844366
15,300.0,100.0,0.35,0.511,-0.057708231524242745,0.01044221105122726,-0.027690959913994697,-0.0010778987197771737,-0.018640727311905705,-0.0015666799852735141,-0.0018363175009034744
16,300.0,100.0,0.35,0.583,-0.06619127873657701,0.009601850824738018,-0.03131287911521138,-0.000978272891515502,-0.02103583936716859,-0.001439907038785295,-0.001666594085686198
17,300.0,100.0,0.35,0.6559999999999999,-0.07530203057029256,0.008307505972974298,-0.03492005560786925,-0.0008351025342698109,-0.02344918880933684,-0.0012462855801924017,-0.0014226878375414615
18,300.0,100.0,0.35,0.728,-0.08511867057180998,0.006653326646138162,-0.03861879883107442,-0.0006610269378692725,-0.0259651169954283,-0.0009984509347232386,-0.0011261311589913663
19,300.0,100.0,0.35,0.8,-0.0938476960035637,0.005046251410771708,-0.04194963313927508,-0.0004963394439328551,-0.028264473857781088,-0.0007574492963900681,-0.0008455681322926294
20,300.0,100.0,0.45,0.15,-0.0006698058582032908,-0.0012566738099956604,0.005206675397632531,0.002013104458392949,0.0010543747916722363,0.0003362571829938961,0.0009926103585446132
21,300.0,100.0,0.45,0.222,-0.018417550911442968,0.0008506190826888008,-0.004183729724656435,-0.0013098010994720582,-0.0008453713002356793,-0.00022659331876020216,-0.0006458294469264476
22,300.0,100.0,0.45,0.294,-0.032193221176589404,0.002399454174764567,-0.013646754404435135,-0.003702653499292122,-0.0027486185024544296,-0.0006396375042181131,-0.001825683809986088
23,300.0,100.0,0.45,0.36700000000000005,-0.04238862648724659,0.003082984343064616,-0.02008126973334762,-0.0047581983488444056,-0.004027077891528979,-0.0008223914475123963,-0.0023461459982276355
24,300.0,100.0,0.45,0.439,-0.050259656070548914,0.0033618979543995164,-0.02522848559365379,-0.005144807468886836,-0.005038224559810197,-0.0008969801343672217,-0.002536773074563397
25,300.0,100.0,0.45,0.511,-0.057221839556720076,0.003384118585095081,-0.0300030215422599,-0.005118825028833706,-0.005970355597838384,-0.0009030041999675475,-0.0025239617974190456
26,300.0,100.0,0.45,0.583,-0.0644371673370623,0.003207013857679735,-0.034965085559828794,-0.0047867006075926356,-0.006944470610521921,-0.000855224058027224,-0.0023601997335703086
27,300.0,100.0,0.45,0.6559999999999999,-0.07218702464202861,0.0028719558912902606,-0.04035973683660352,-0.004228738842812162,-0.008013200832044414,-0.0007660788341271746,-0.0020850830474570333
28,300.0,100.0,0.45,0.728,-0.08087725209507587,0.0023904242135562,-0.04638831399944941,-0.0034784620909590943,-0.00922192973068739,-0.0006378364991336112,-0.0017151407563058439
29,300.0,100.0,0.45,0.8,-0.08925572818112072,0.0018772574928416818,-0.05217476153617856,-0.002704165821628891,-0.010394511225997159,-0.0005010020261683709,-0.00133335505496516
30,300.0,100.0,0.6,0.15,-0.0005133064075952215,-9.996459924037335e-05,0.0023865365263651874,0.007326604017314315,8.292640729753004e-05,4.888325454968161e-05,0.0006014234750658906
31,300.0,100.0,0.6,0.222,-0.020313736530141912,6.579587258554262e-05,-0.001941421829501027,-0.004889394246014751,-6.458498516925335e-05,-3.333327929767064e-05,-0.00040135872929069336
32,300.0,100.0,0.6,0.294,-0.034076039106464735,0.0001930454086570211,-0.006421611995627493,-0.014025684760261314,-0.00021852790205642827,-9.560208234376821e-05,-0.0011513350590205886
33,300.0,100.0,0.6,0.36700000000000005,-0.0433466689725109,0.0002557571201966104,-0.00971896812087323,-0.01843640625485434,-0.0003303065086759153,-0.0001263074113403508,-0.001513400682132885
34,300.0,100.0,0.6,0.439,-0.04960984450482919,0.0002898914894896374,-0.012677454757586719,-0.020684175748504174,-0.0004295480973077395,-0.0001430315261962763,-0.0016979147266783863
35,300.0,100.0,0.6,0.511,-0.05478221105487271,0.000306621818766017,-0.01583400121959138,-0.021606494116365203,-0.0005348806296541495,-0.00015122051778118363,-0.0017736256449435463
