Unnamed: 0,had1,had2,z1,z2,conv,UP,DO,ST,UPb,DOb,STb
24,300.0,100.0,0.45,0.439,-0.05263222900887092,0.004105997485540712,-0.021425836406364317,-0.007045781991213215,-0.00767160748798216,-0.0013658289542159295,-0.003863087128206659
25,300.0,100.0,0.45,0.511,-0.06564813496453241,0.004584692858639387,-0.028264831802902585,-0.0077760178312660504,-0.010084269064008415,-0.0015252233716125249,-0.004263463506269633
26,300.0,100.0,0.45,0.583,-0.0816320720104672,0.004862379395179285,-0.036864091599904225,-0.008137758354046397,-0.013127163065171166,-0.0016166161738715775,-0.004461799923582323
27,300.0,100.0,0.45,0.6559999999999999,-0.10055185843293198,0.0048519315606587055,-0.047414257415837345,-0.008010632964708341,-0.016878344453991785,-0.0016135696811708765,-0.004392099150008495
28,300.0,100.0,0.45,0.728,-0.12118845532908605,0.004400929174038778,-0.059388701648645875,-0.007180840821198302,-0.02116801710767566,-0.0014640550866414986,-0.003937137677644136
29,300.0,100.0,0.45,0.8,-0.13999725325882748,0.003655941700940716,-0.07065824445571495,-0.005905080206239653,-0.025238848574688756,-0.0012164464658590138,-0.003237658980110503
30,300.0,100.0,0.6,0.15,-0.00035690037183346436,-0.0001359061283156783,0.0021900971563731833,0.005822477419884088,0.00014770741939294194,8.70941215666605e-05,0.0010715002447823062
31,300.0,100.0,0.6,0.222,-0.01771197188730862,8.828943886412814e-05,-0.0017591268191302074,-0.0038364209965583394,-0.00011355944467799694,-5.863535247943103e-05,-0.0007060097859481389
32,300.0,100.0,0.6,0.294,-0.030269238897638523,0.0002621884154098614,-0.005882662717394968,-0.011127977986751435,-0.0003886947615925012,-0.0001700371934347147,-0.0020478621516017217
33,300.0,100.0,0.6,0.36700000000000005,-0.04035906470728039,0.000362630932525381,-0.009298400713709229,-0.01527629772467015,-0.0006135785791982323,-0.00023461753689933595,-0.0028112701125215
34,300.0,100.0,0.6,0.439,-0.04966698468866457,0.0004406454475771618,-0.013002971179148927,-0.018373725229770568,-0.0008554296034854054,-0.00028482805952846017,-0.0033812842303223424
35,300.0,100.0,0.6,0.511,-0.06040634175845101,0.000511561290013156,-0.017825699402703666,-0.021066092465502808,-0.0011691586728524305,-0.0003305247353923843,-0.003876755821552382
36,300.0,100.0,0.6,0.583,-0.07365967812983547,0.0005759654225169635,-0.024674758415276287,-0.023394048298429403,-0.0016157432139528166,-0.0003718063277828133,-0.0043051654253929575
37,300.0,100.0,0.6,0.6559999999999999,-0.09057718618021997,0.0006271124844240523,-0.03462436987920526,-0.02512162611179193,-0.0022668556109593954,-0.00040486559440113814,-0.0046230885217671625
